Config,Score,Mean,f86dad4ba35369eb720a0c9ddc45037a,79b9e24dd9af185dbec18c9b0a32b1e2,9a413c250f82a93d513d4092ba654ee2,30e680ded3b9be6be0b5baac273f2646,cfc53adcc8ed18ca161bb6f8bc02b237,075ca0a158690a55b7254d9aaee2e103,8fcc57f6c75cb2ac48d19e3038ad3c6c,00f4aca773e5675f35263dcd46b15bde,9f3ef12b5b68f92eb9265721ea73bb03,25b7a69d04a5029cf4ba2f483b5bec45,1b02025658c2a23e1fd3ce0a9c3633cb,a8dc92a9c0434576b47c82c94ab5c446,3f341c57c37d86350af5233b8e15e52e,711ff7681711949f44b07a0d530dc729,305ad7d773d6c72be9b1efbf7bf482e0,558113ad4d50130351db8c426230a50f
backbone=0,15802.575810194016,987.660988137126,109.0826427936554,304.0306429862976,438.5514464378357,439.1687252521515,442.043315410614,449.1227967739105,463.8293080329895,728.8061723709106,802.1100277900696,811.709258556366,814.1214737892151,2000,2000,2000,2000,2000
backbone=2,15609.059093475342,975.5661933422089,19.492666244506836,151.8924217224121,439.2337658405304,512.747838973999,450.9347445964813,449.34981393814087,428.65772128105164,729.6023471355438,802.7383089065552,812.2940526008606,812.11541223526,2000,2000,2000,2000,2000
bump=0,15362.909752368927,960.1818595230579,37.191309452056885,2000,416.3283226490021,520.0786514282227,428.2541470527649,420.58066058158875,480.9863109588623,2000,673.3174519538879,885.2056157588959,584.0649497509003,2000,2000,995.1705977916718,983.7846360206604,937.9470989704132
chrono=0,12464.15641283989,779.0097758024931,19.502312421798706,49.482611656188965,468.85452485084534,518.983900308609,452.1942822933197,452.866327047348,445.86884665489197,104.99499678611755,173.85476922988892,222.00734543800354,562.4778764247894,993.0686197280884,2000,2000,2000,2000
congruence=0,14361.232960224152,897.5770600140095,138.92997217178345,118.2903344631195,434.96321535110474,462.38503313064575,425.94374656677246,489.4346067905426,520.5491456985474,223.8248167037964,249.39493370056152,589.596186876297,707.9209687709808,2000,2000,2000,2000,2000
eliminate=0,13628.080392837524,851.7550245523453,36.815831661224365,140.15501976013184,454.7301607131958,491.2951443195343,462.77944254875183,453.65463519096375,468.26950907707214,245.59928703308105,167.07981204986572,246.23384976387024,461.4677007198334,2000,2000,2000,2000,2000
extract=0,13494.21332526207,843.3883328288794,48.17345714569092,83.66194319725037,430.2879011631012,506.4753201007843,414.23549127578735,441.07630610466003,433.1130139827728,725.2757897377014,810.6570498943329,272.6136965751648,338.3724687099457,990.2708873748779,2000,2000,2000,2000
factor=0,15066.840395450592,941.677524715662,68.81281280517578,244.8495898246765,436.82531213760376,431.15791368484497,440.0636975765228,442.2064166069031,507.9636957645416,2000,352.4119486808777,594.6608879566193,550.447505235672,2000,2000,2000,997.4406151771545,2000
fastel=0,13524.996024608612,845.3122515380383,18.706815242767334,84.30857276916504,463.294860124588,429.9136893749237,429.37016248703003,537.1061499118805,418.5513017177582,371.0948247909546,309.6474254131317,763.4470903873444,722.4815576076508,2000,2000,2000,977.0735747814178,2000
forward=0,13996.342529773712,874.771408110857,18.38498091697693,354.89099287986755,451.2793662548065,441.21646904945374,433.2103314399719,439.88776755332947,447.8055009841919,18.840164184570312,506.3808948993683,631.8472108840942,252.5988507270813,2000,2000,2000,2000,2000
lucky=0,12537.212692260742,783.5757932662964,77.23935627937317,135.09197807312012,413.83536863327026,471.8372006416321,483.4184579849243,442.2462317943573,461.00300002098083,147.6777982711792,421.2271103858948,115.12663435935974,369.1596772670746,2000,2000,999.3498785495758,2000,2000
phase=0,13176.981007814407,823.5613129884005,53.46523714065552,95.13621425628662,438.0773284435272,445.8447606563568,454.79894375801086,494.7023947238922,464.22123169898987,565.4557580947876,855.3364205360413,246.7011342048645,168.6824495792389,894.559134721756,2000,2000,2000,2000
phasesaving=0,13402.747208833694,837.6717005521059,49.190897703170776,100.59646916389465,453.49984765052795,474.96311712265015,452.2394986152649,414.7163255214691,457.06788969039917,543.751987695694,365.63934540748596,135.69228148460388,994.9622011184692,2000,2000,960.4273476600647,2000,2000
preprocess=0,13691.78832435608,855.736770272255,39.39920711517334,54.589521646499634,433.40091848373413,468.46391344070435,465.62968254089355,429.1134035587311,419.5401086807251,27.752121686935425,477.4655351638794,19.602994918823242,856.8309171199799,2000,2000,2000,2000,2000
probe=0,11249.834104061127,703.1146315038204,11.204161882400513,246.69669938087463,467.11417531967163,453.17680406570435,475.84427094459534,476.79929661750793,385.13749861717224,150.34249782562256,361.66525530815125,658.9587516784668,707.6191296577454,2000,2000,975.49809217453,944.992871761322,934.7845988273621
randec=0,15582.71837759018,973.9198985993862,46.26547598838806,49.82726311683655,437.94625425338745,506.68454456329346,446.51122641563416,453.88769364356995,434.6551969051361,625.4098598957062,954.5896909236908,741.9651970863342,2000,884.9759747982025,2000,2000,2000,2000
reluctant=0,12334.62857890129,770.9142861813307,67.06115674972534,52.544270753860474,498.42479515075684,459.0151948928833,477.5278329849243,440.55117177963257,430.95559883117676,604.2251889705658,372.2151827812195,333.29124903678894,658.525963306427,946.0710093975067,2000,2000,2000,994.2199642658234
reorder=1,16344.04835987091,1021.5030224919319,79.89904356002808,65.91034293174744,439.63629508018494,445.40272331237793,441.538800239563,446.2151229381561,428.4844307899475,2000,764.7770354747772,420.01067543029785,812.1738901138306,2000,2000,2000,2000,2000
reorder=0,14063.15316414833,878.9470727592707,40.137256383895874,98.53711485862732,465.86646580696106,717.2209668159485,568.6038262844086,559.827511548996,503.91152000427246,63.47286891937256,67.2963719367981,225.20435190200806,753.0749096870422,2000,2000,2000,2000,2000
rephase=0,15520.928945302963,970.0580590814352,701.2483429908752,197.32872605323792,466.8875353336334,508.98312640190125,436.73524832725525,447.4453356266022,445.81338453292847,2000,206.79202890396118,522.0278427600861,615.2075350284576,972.4598393440247,2000,2000,2000,2000
