Config,Score,Mean,0a02751cacf5e1cdfcc842a7f220199f,1545660e72158c7e90da5ad4c877a124,62c763bdf8d351b15df3a4d62a03eba0,f70788e8446c1bc42684316de0a6c164,e06be7a69dbd6d6866a2799cd40c4bfe,31bb67fe67e57dbeb8c4819b01892588,8d4b50ec0cf99097e9ab0835937afee5,282a02a1743eb47c6b340e52ecce40a2,812926407774771b3bd9885f7bfa4841,88e89266e58f1f125ebc4e0f66e2c060,c6e03256680b96b52e3345a497333c2b,26b648475cfd06695a17ac95f4469744,778e0fd8f034b7cfd539b1b523ed4c4a,38ca761a5808eace8bc8f1fcfdb5b5a8,0ae0c5a4fb9001d63669a0aa5b592167,5ab3040d8617bf9f4d4cef4e56dcfd03
backbone=0,9831.76172709465,614.4851079434156,0.9020977020263672,1.2946906089782715,1.661820411682129,5.684870004653931,5.716652154922485,19.61935544013977,31.055063247680664,97.33897185325623,148.1872980594635,378.5767002105713,553.0997066497803,588.6245007514954,2000,2000,2000,2000
backbone=2,9758.406894922256,609.900430932641,0.7948555946350098,1.093703031539917,1.1034162044525146,4.93738317489624,4.98785138130188,17.386784315109253,28.318962812423706,84.36832904815674,126.23072719573975,366.81709694862366,552.0103528499603,570.3574323654175,2000,2000,2000,2000
bump=0,11207.351662158966,700.4594788849354,0.7276749610900879,1.1079719066619873,1.1071631908416748,4.932240724563599,4.992495059967041,17.40460181236267,28.35087537765503,83.79396200180054,126.48239731788635,366.6934177875519,2000,571.7588620185852,2000,2000,2000,2000
chrono=0,9757.651698112488,609.8532311320305,0.7263894081115723,1.0920767784118652,1.0976967811584473,4.9344565868377686,4.994449615478516,17.379453659057617,28.300026655197144,83.6243646144867,126.13036036491394,365.99347972869873,552.1804285049438,571.1985154151917,2000,2000,2000,2000
congruence=0,21655.164014339447,1353.4477508962154,2000,2000,1.1052272319793701,2000,2000,2000,2000,85.39251923561096,127.40511178970337,299.5539336204529,669.4189486503601,472.28827381134033,2000,2000,2000,2000
eliminate=0,9746.202012300491,609.1376257687807,0.7382259368896484,1.089473009109497,1.1028344631195068,4.925403118133545,4.994782447814941,17.400273084640503,28.30016016960144,84.50792217254639,126.55125617980957,365.7293996810913,540.2727386951447,570.5895433425903,2000,2000,2000,2000
extract=0,9731.437328338623,608.2148330211639,0.7379875183105469,1.08424711227417,1.1033852100372314,4.938908338546753,5.0147786140441895,17.408746480941772,28.31749176979065,83.46053314208984,127.57727456092834,366.1785044670105,524.7823464870453,570.8331246376038,2000,2000,2000,2000
factor=0,9497.858005285263,593.6161253303289,0.7291302680969238,1.0972404479980469,1.1067993640899658,4.9316442012786865,5.001662492752075,17.401124477386475,28.318113327026367,83.5254898071289,126.45121836662292,293.6615343093872,554.0456833839417,381.58836483955383,2000,2000,2000,2000
fastel=0,9456.330492019653,591.0206557512283,0.7259182929992676,1.0850493907928467,1.1032185554504395,4.95225977897644,4.992465496063232,17.367462396621704,28.35679602622986,83.41021156311035,126.28586840629578,256.3944945335388,497.4308741092682,434.2258734703064,2000,2000,2000,2000
forward=0,9759.653839588165,609.9783649742603,0.7289564609527588,1.087784767150879,1.1001062393188477,4.947777986526489,4.993485450744629,17.3672833442688,28.283722162246704,83.53022694587708,127.39892768859863,366.6852924823761,553.4363400936127,570.0939359664917,2000,2000,2000,2000
