Config,Score,Mean,8bcd3f3e269fa3c9516667b626d61602,8d31ec9edeac705ffd1b23f0cc4f3256,70ce0cff914efdc48f2a8fe86b5c68c6,8b797110ff321ee673eab1542069f192,f26f199564d6ffac7e700c2e66470ec0,5918f1624d4dfd964227356786a4e9ec,4a6a797c6b4a8055d10b74edda9a5e30,f57aba96bfed8f8a8b860eba1a8f1ea5,a811388cc92def6ef2d639dc062d456c,7d58f2f0c79cbcad0496ced184ba0680,deef4e5f8bf88393cea9589dff97d70c,a98d77ba9d3fbe8b7c55cbf75b2b43a8,a09a2d7397732447bdcc9651973767b7,71cf538aa0751d27f144de9c8d82e458,428da12ab8f5f68ae261e6468c2fef73,00b46ace235e3915a439c77a231a5657
backbone=0,26657.035279512405,1666.0647049695253,164.4756727218628,175.683420419693,316.8761863708496,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
backbone=2,27087.77115869522,1692.9856974184513,164.47674107551575,604.2106602191925,319.0837574005127,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
bump=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
chrono=0,26146.81007361412,1634.1756296008825,542.0268847942352,245.58135151863098,910.048540353775,2000,449.15329694747925,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
congruence=0,26804.43681716919,1675.2773010730743,193.67600202560425,4.129352807998657,606.6314623355865,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
eliminate=0,28722.62413930893,1795.164008706808,106.41708517074585,616.2070541381836,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
extract=0,25976.275748729706,1623.5172342956066,150.90440797805786,182.70636987686157,963.9790832996368,2000,2000,2000,2000,2000,678.6858875751495,2000,2000,2000,2000,2000,2000,2000
factor=0,29163.182013511658,1822.6988758444786,348.3284695148468,814.8535439968109,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
fastel=0,27334.711233854294,1708.4194521158934,318.1755850315094,21.778019189834595,994.7576296329498,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
forward=0,25631.945386648178,1601.9965866655111,48.392101764678955,559.7156727313995,646.3099586963654,2000,2000,2000,2000,2000,377.52765345573425,2000,2000,2000,2000,2000,2000,2000
lucky=0,26569.908619880676,1660.6192887425423,257.6002221107483,226.05663108825684,86.25176668167114,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
phase=0,27344.01573061943,1709.0009831637144,466.9109380245209,535.0804126262665,2000,2000,2000,2000,2000,2000,342.0243799686432,2000,2000,2000,2000,2000,2000,2000
phasesaving=0,25168.609176158905,1573.0380735099316,457.70906472206116,52.001062870025635,526.9509873390198,2000,2000,2000,2000,2000,131.94806122779846,2000,2000,2000,2000,2000,2000,2000
preprocess=0,26238.917268514633,1639.9323292821646,28.553096532821655,33.77326822280884,176.59090375900269,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
