Config,Score,Mean,eecdcc36d35f06224cc972cbb08de804,faeb113864d97ea4cb3f01f95d2fe92f,cea96962ebd736646af54d950943d909,68649ac2830edad5d0dc7e3d13935132,71758ed7637888d4fd4593ec820677bc,c1324a6876269ee93890e266fe214557,1a40d2d8c589799a0d267cae03fcd4c5,bca01a49805df3399a0438191019e417,751402d0738e5622b599c651283cb48a,d84a89fb1bc1ff37dc4737867257b290,c1b5c3d1016de7baeb0ddb3a2ab2d891,a18b6fbdfee43c007e07dedf15477797,9de6ddddf7fde06bf2efd955e2bd1a83,a4941208671f6ebfd118e4e563538c31,f35ed23733431177436a1e7797c07dfe,c0069efa0c924e416878d9426f1ef92e
backbone=0,9710.227462053299,606.8892163783312,131.73216795921326,221.24378085136414,221.4399631023407,227.7744436264038,232.90655732154846,244.4020893573761,245.0061948299408,359.82123470306396,420.09028244018555,441.54253363609314,495.3079490661621,709.0443665981293,763.6059515476227,996.309947013855,2000,2000
backbone=2,10714.428923368454,669.6518077105284,131.69264245033264,221.5138382911682,221.3967170715332,227.587495803833,232.9976315498352,244.2714786529541,245.05233883857727,359.9755756855011,420.1500539779663,441.6148557662964,495.00090980529785,709.5797307491302,763.5956547260284,2000,2000,2000
bump=0,14123.673893928528,882.729618370533,629.4600958824158,872.0540292263031,142.8804166316986,833.5401980876923,235.6730661392212,495.667916059494,256.1610794067383,801.1777062416077,771.382709980011,430.7183880805969,2000,512.5635030269623,142.39478516578674,2000,2000,2000
chrono=0,8158.903525114059,509.9314703196287,406.05819725990295,116.45466995239258,216.34161376953125,227.28449177742004,112.37300276756287,233.62578082084656,120.15438985824585,443.1624050140381,253.1654405593872,229.62871861457825,2000,255.15034317970276,427.5247678756714,696.1231060028076,2000,421.85659766197205
congruence=0,10466.962662220001,654.1851663887501,630.4299712181091,165.63449668884277,120.41694021224976,230.15396118164062,119.6230878829956,245.68925738334656,455.2516362667084,424.43895173072815,693.9497838020325,123.41692900657654,2000,121.38267397880554,2000,721.0084888935089,2000,415.5664839744568
eliminate=0,12236.113923311234,764.7571202069521,368.2669610977173,205.55448389053345,84.307363986969,2000,81.26231956481934,652.9233872890472,260.3482894897461,383.58346152305603,695.3914706707001,372.1314570903778,772.6659557819366,2000,226.57051062583923,133.10826230049133,2000,2000
extract=0,9674.321034908295,604.6450646817684,129.75572967529297,219.0023148059845,219.01433658599854,225.0281252861023,230.3996512889862,241.3562207221985,242.48234033584595,356.67201352119446,418.2201464176178,438.912255525589,492.829571723938,705.8740472793579,760.384286403656,994.3899953365326,2000,2000
factor=0,9486.715387821198,592.9197117388248,150.0983545780182,235.9977388381958,227.96082997322083,220.2453215122223,85.26239275932312,244.71066427230835,390.073605298996,245.6166923046112,178.5719976425171,420.5920479297638,2000,380.66058897972107,420.05401396751404,286.87113976478577,2000,2000
fastel=0,13269.671411037445,829.3544631898403,942.1613161563873,401.3541522026062,375.24864745140076,250.00413990020752,54.122652769088745,624.3312349319458,111.81463027000427,2000,276.40324115753174,409.8151845932007,2000,711.0020503997803,426.20727825164795,687.2068829536438,2000,2000
forward=0,9706.400763988495,606.6500477492809,131.5440797805786,220.96635174751282,220.94385933876038,227.42861604690552,232.60861086845398,243.58727598190308,244.3588047027588,359.6130361557007,421.45424461364746,441.4153461456299,495.0390877723694,708.218017578125,763.7401287555695,995.4833045005798,2000,2000
lucky=0,12955.674499750137,809.7296562343836,2000,412.7917423248291,241.001389503479,430.1335756778717,104.6198320388794,115.58736896514893,236.17928838729858,713.5986251831055,387.4834017753601,423.5388813018799,997.9757483005524,461.83464765548706,430.9299986362457,2000,2000,2000
