Config,Score,Mean,72b5ad031bf852634bc081f9da9a5a60,246afd75cb97a21144f368c00252a656,a4b05fbc5be28207b704e1fae4b7c8a0,965ca988015c9aee5a1a7b2136c1fe5d,dd169198070f9aa35015de65e8209a05,41a8365f60db55b71d949df6954e0db7,b09585f2346c207e9e14a3daf0de46cf,fd2af7622798171f23a4b8d2616df55e,11db226d109e82f93aaa3b2604173ff9,37d40a1092b58ad28285b9453872d211,4029fbae284eaf924b37b6f43d3a67fb,ae9b7950ef1513068bb9339893ec8c50,558ce551d2b933b7a5f1c7d2a6044930,824c21545e228872744675ae4ee32976,af1e84bc2ab44d87d1c4c0cbf9e601c5,c9af5b23c87350f5d817acc9ca7b69bb
backbone=0,3736.580302000046,233.53626887500286,1.2823798656463623,3.119781494140625,3.2951488494873047,8.504005670547485,16.126991748809814,19.024658679962158,22.33026647567749,26.140804290771484,37.353827238082886,100.96499848365784,138.5281116962433,202.07684016227722,333.74556136131287,387.3339560031891,436.75296998023987,2000
backbone=2,3736.7715280056,233.54822050035,1.2933688163757324,3.12247896194458,3.295262098312378,8.492648124694824,16.135866403579712,19.081669330596924,22.30997371673584,26.159955263137817,37.46485137939453,101.04560923576355,138.61193799972534,201.6871199607849,333.62860345840454,387.63661646842957,436.8055667877197,2000
bump=0,8912.71802520752,557.04487657547,11.928418159484863,11.15749216079712,113.93112683296204,166.27919673919678,20.316149711608887,2000,6.108793020248413,528.4024784564972,414.4408977031708,279.9920711517334,2000,59.83712124824524,2000,646.1124489307404,530.0180904865265,124.19374060630798
chrono=0,3736.4675250053406,233.5292203128338,1.2928364276885986,3.1232452392578125,3.291189432144165,8.4927396774292,16.14309000968933,19.03363800048828,22.32367706298828,26.1611111164093,37.39006972312927,100.92812967300415,138.4015429019928,201.79139924049377,333.71988677978516,387.56846356391907,436.8065061569214,2000
congruence=0,12804.73290681839,800.2958066761494,12.063614845275879,5.010645866394043,150.2700617313385,72.18180632591248,17.270458698272705,2000,91.42078375816345,2000,2000,573.0398242473602,2000,164.36729526519775,371.93586683273315,943.983945608139,403.18860363960266,2000
eliminate=0,643.8337368965149,40.23960855603218,1.2934703826904297,3.2259929180145264,3.3985049724578857,6.619018316268921,9.765923500061035,20.39914059638977,23.481549501419067,17.999573945999146,21.70069980621338,46.227031230926514,75.4649670124054,85.26348567008972,132.56483721733093,55.819403886795044,45.30286169052124,95.30727624893188
extract=0,3736.861889600754,233.5538681000471,1.279952049255371,3.1151583194732666,3.2929742336273193,8.472550868988037,16.133942127227783,19.026452779769897,22.301721811294556,26.149211883544922,37.43746376037598,100.92417907714844,138.38105130195618,201.86491298675537,333.50927233695984,388.0761687755585,436.89687728881836,2000
factor=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
fastel=0,2596.8733422756195,162.30458389222622,1.1485984325408936,3.259335994720459,4.011646270751953,5.598063707351685,13.297146797180176,412.9991729259491,16.855732202529907,22.77895712852478,27.41707992553711,36.02615022659302,147.12283062934875,321.3690664768219,782.8148691654205,483.65739703178406,60.797967195510864,257.7193281650543
forward=0,2439.121278524399,152.44507990777493,1.2927868366241455,3.1224730014801025,3.1900205612182617,8.422346591949463,12.916064262390137,21.10397958755493,25.78437852859497,24.652690649032593,33.2771258354187,138.7927029132843,126.77141523361206,165.31165266036987,343.44916248321533,340.3524236679077,400.9176938533783,789.7643618583679
lucky=0,2517.9028272628784,157.3689267039299,1.2900114059448242,2.7703394889831543,4.212121963500977,7.7980804443359375,21.60072088241577,17.562089920043945,17.965425729751587,21.81369709968567,29.10496425628662,116.00782465934753,113.96462297439575,198.51976251602173,573.9419648647308,209.6343388557434,301.01932168006897,880.6975405216217
