Config,Score,Mean,ddd3b43476c18cf483aac233d4dc1c68,291c2b4fa2d8b009cd2a8331891ba667,d3529338d35aa27e8024932d3b5f64b5,3a7a64e1d6cf5ce969b2b05b5464f707,1b86f59ce4c43f19f0ad1238f8c362b4,44ad104c3b0c83b4cfc260583dee2397,9631e4082abf03e560b889c5715d3979,bdc85226a8d910a8b7d6a8730c7a4572,b44611ea7852dd30215cc1cb09e1ab79,98c6da979a0a22d384d465a1da17111e,090eefb9bc472f6478e70baf2c6d2403,a83665715cf54e10f6d5382b97fd909c,1d42a7c3616ce163e292340cfcd34f97,339b1cfda231aaca601cd6339c07ca2c,ea5b47b3ffb3b8cb77a2cff83cc1ffba,fdc5aa7c150fd1c49ad3b50433277528
backbone=0,13296.692855358124,831.0433034598827,25.082346439361572,40.49494385719299,41.05572271347046,43.07562232017517,46.27544379234314,88.63803315162659,94.25858974456787,134.87785267829895,150.91311764717102,632.021183013916,2000,2000,2000,2000,2000,2000
backbone=2,12196.302111387253,762.2688819617033,18.740829706192017,51.24676036834717,74.36334943771362,43.97435736656189,51.8282585144043,68.87231516838074,92.07618308067322,97.82109475135803,94.6440658569336,612.6865684986115,2000,990.0483286380768,2000,2000,2000,2000
bump=0,4337.937688112259,271.1211055070162,15.861129760742188,24.20135188102722,19.9211323261261,23.52276062965393,22.566917419433594,21.595818996429443,25.15108823776245,32.27524423599243,24.260272979736328,409.98654794692993,251.788982629776,617.9556357860565,937.4073717594147,690.4224388599396,745.3775639533997,475.64343070983887
chrono=0,12007.482264757156,750.4676415473223,36.28332567214966,34.344407081604004,41.970019817352295,87.80280542373657,92.34271693229675,72.65078973770142,50.004520416259766,103.60770654678345,38.034831047058105,2000,681.9800384044647,2000,2000,2000,2000,768.4611036777496
congruence=0,14573.985482931137,910.8740926831961,40.12810277938843,48.574883699417114,33.988935708999634,29.8521990776062,57.75887632369995,39.4886589050293,109.82117009162903,128.73702263832092,85.63563370704651,2000,2000,2000,2000,2000,2000,2000
eliminate=0,13429.24531006813,839.3278318792582,18.729912757873535,97.67298913002014,60.78204870223999,41.602736473083496,40.74513626098633,70.35933661460876,40.98382616043091,108.09124970436096,43.34269428253174,906.9353799819946,2000,2000,2000,2000,2000,2000
extract=0,14645.93791103363,915.3711194396019,18.730717420578003,87.42012596130371,53.11819791793823,57.752013206481934,47.676462173461914,65.47617650032043,148.98598408699036,113.31448769569397,53.463746070861816,2000,2000,2000,2000,2000,2000,2000
factor=0,14570.665776252747,910.6666110157967,39.06125235557556,103.57886838912964,61.572667598724365,59.39395833015442,65.22793841362,95.81922435760498,44.2146098613739,53.56057906150818,48.23667788505554,2000,2000,2000,2000,2000,2000,2000
fastel=0,13630.252392292023,851.8907745182514,34.098756074905396,88.65079545974731,50.96097445487976,89.4645791053772,84.71648597717285,43.71430325508118,69.58553647994995,147.83241319656372,49.27231407165527,971.9562342166901,2000,2000,2000,2000,2000,2000
forward=0,13515.97379374504,844.748362109065,18.731719970703125,50.609182357788086,61.06486797332764,85.2383804321289,43.62939929962158,79.99806308746338,65.14922022819519,109.45631623268127,45.49045443534851,2000,2000,956.6061897277832,2000,2000,2000,2000
