Config,Score,Mean,ef330d1b144055436a2d576601191ea5,cb2e8b7fada420c5046f587ea754d052,02c6fe8483e4f4474b7ac9731772535d,9dcbf221b8d2bb01f30bcca283f3608d,2a53e9c6a25a50d753a94ead66065826,d6402b482a5dc102a5b09360689e2be8,0fa9521ff633b27be11525a7b0f7d8b6,dc7817dfa2817916b266c1cfacd2ee66,cbd0933002d6c4ea99ceb47bb0c3f4c9,29ab150158d641568f888e8401d2ac13,2d6d26e1c5b4f2763c03697a6d00d3cf,4517202fdd0ccc8a97d83684b021ea96,45a09efb026036ff4b8d19024a7563a9,4e366e723d75fe39bf6db9a24ffb059b,a64f3c1afd7e0f6165efbe9fc2fc8003,a5fc113e7d4899f4e4af14b87b6fd6ae
backbone=0,15361.512354135513,960.0945221334696,5.139949083328247,45.75310182571411,59.37462663650513,110.49576592445374,130.76317262649536,164.5466229915619,220.17416954040527,847.1009986400604,872.9112100601196,905.2527368068695,2000,2000,2000,2000,2000,2000
backbone=2,14941.916668653488,933.869791790843,6.365037679672241,45.65038204193115,56.62608051300049,110.77508902549744,130.44407272338867,346.482351064682,24.148233652114868,452.64941477775574,876.4629490375519,892.3130581378937,2000,2000,2000,2000,2000,2000
bump=0,24439.854603767395,1527.4909127354622,2.782208204269409,192.1171042919159,54.915029525756836,2000,190.04026174545288,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
chrono=0,15577.975892543793,973.623493283987,4.5298779010772705,45.60218024253845,55.705832719802856,114.76874923706055,144.2529079914093,198.93385124206543,312.734295129776,891.9968318939209,876.2389011383057,933.2124650478363,2000,2000,2000,2000,2000,2000
congruence=0,16246.060838222504,1015.3788023889065,5.134422302246094,2000,46.73238706588745,108.18055963516235,125.32504200935364,186.16140913963318,72.96992921829224,540.9418008327484,214.8611433506012,945.7541446685791,2000,2000,2000,2000,2000,2000
eliminate=0,14560.948543548584,910.0592839717865,5.2452778816223145,50.647809743881226,54.72230911254883,102.2233018875122,117.13640809059143,242.26054406166077,85.66870450973511,734.3006954193115,267.6554465293884,901.0880463123322,2000,2000,2000,2000,2000,2000
extract=0,15876.997184038162,992.3123240023851,6.321363210678101,35.1691632270813,55.60246729850769,180.91108417510986,130.03912568092346,223.19610905647278,835.4183492660522,641.1508917808533,870.7605500221252,898.4280803203583,2000,2000,2000,2000,2000,2000
factor=0,16979.54651117325,1061.221656948328,5.375818729400635,2000,431.123174905777,85.76109170913696,131.52287077903748,272.02837109565735,65.3500304222107,586.9343943595886,566.1710138320923,835.2797453403473,2000,2000,2000,2000,2000,2000
fastel=0,15885.4026491642,992.8376655727625,5.095649242401123,33.76292586326599,198.73203015327454,44.8136830329895,120.49728870391846,250.8986623287201,532.1621370315552,504.36990332603455,195.0703694820404,2000,2000,2000,2000,2000,2000,2000
forward=0,16231.834688663483,1014.4896680414677,6.076539754867554,39.07469177246094,56.33733820915222,91.50662755966187,117.00274848937988,204.0550835132599,316.3206386566162,719.7384588718414,681.7225618362427,2000,2000,2000,2000,2000,2000,2000
lucky=0,17351.654629707336,1084.4784143567085,4.379558324813843,44.63467454910278,57.577367544174194,70.35497689247131,118.4915120601654,159.6149706840515,403.93823528289795,2000,492.6633343696594,2000,2000,2000,2000,2000,2000,2000
phase=0,16455.715366125107,1028.4822103828192,4.731747627258301,46.786704778671265,58.88539147377014,49.1359601020813,115.37994122505188,219.29875922203064,411.130939245224,949.6579430103302,600.7079794406891,2000,2000,2000,2000,2000,2000,2000
phasesaving=0,17595.3830037117,1099.7114377319813,2.423506259918213,54.71013832092285,56.30609178543091,184.86447834968567,139.36393547058105,189.2566487789154,559.7185552120209,2000,408.73964953422546,2000,2000,2000,2000,2000,2000,2000
preprocess=0,17226.543065547943,1076.6589415967464,3.190052032470703,39.42135834693909,204.30296397209167,63.810582399368286,114.94174003601074,310.021852016449,787.4637463092804,864.8896658420563,838.501104593277,2000,2000,2000,2000,2000,2000,2000
probe=0,18217.050372838974,1138.5656483024359,4.05150294303894,2000,362.2849373817444,85.96253681182861,119.52759885787964,102.01183795928955,2000,543.3147904872894,161.940922498703,837.9562458992004,2000,2000,2000,2000,2000,2000
randec=0,16403.95640039444,1025.2472750246525,3.62070369720459,42.107529640197754,53.60246706008911,191.7919454574585,119.22936058044434,271.37562084198,44.4191038608551,2000,790.541538476944,887.2681307792664,2000,2000,2000,2000,2000,2000
reluctant=0,14363.041601419449,897.6901000887156,7.04717755317688,54.834755182266235,58.75244975090027,208.41628408432007,119.51012516021729,297.8995132446289,224.2676329612732,432.3304560184479,73.36746191978455,886.6157455444336,2000,2000,2000,2000,2000,2000
reorder=1,14555.39426612854,909.7121416330338,4.7796995639801025,43.50920343399048,56.5779025554657,275.25828075408936,123.35424947738647,149.0916109085083,110.01592183113098,548.0716094970703,455.61017990112305,789.1256082057953,2000,2000,2000,2000,2000,2000
reorder=0,14664.817891597748,916.5511182248592,3.3629889488220215,48.35917925834656,52.5819296836853,69.44589376449585,124.59769535064697,391.8429012298584,229.93054127693176,804.1457669734955,53.657532930374146,886.8934621810913,2000,2000,2000,2000,2000,2000
rephase=0,15150.126603603363,946.8829127252102,4.758220672607422,56.784987926483154,54.643836975097656,38.04540252685547,125.46804404258728,178.8699893951416,401.07743430137634,717.9078447818756,750.3998262882233,822.1710166931152,2000,2000,2000,2000,2000,2000
restart=0,19148.10097336769,1196.7563108354807,23.50051760673523,57.38063955307007,56.12558174133301,303.4097099304199,154.223450422287,297.974662065506,255.48641204833984,2000,2000,2000,2000,2000,2000,2000,2000,2000
stable=0,19752.45429611206,1234.5283935070038,4.100377321243286,70.87551975250244,63.14412546157837,2000,194.80857753753662,162.68519854545593,2000,305.97227907180786,2000,950.868218421936,2000,2000,2000,2000,2000,2000
