Config,Score,Mean,e46bdd62b3789b64f7fbb3bd6c99484e,3f4174289e971950c290f27892169bc5,5b3d8a4465726adfcb58b9cdb1cc33f1,34e5fd58b65bf305cc773f0dbfb47917,b5b1803491a265b02d595c1fb62d5991,67904554c73addf89fe675bd8e494641,4f38f4b005cc54122135c8c21aec4b85,f090d0d6eaff3b92c817f5db6fa47544,b6c6f1081dbb672e8294685d03326b09,4380f8ed143d97a65f8888b2feeddb80,dd6ef995af0267ce71076250a1226801,aa0d6b8c63f57956b9aed350f38e0571,48ac8814180bdc90bf96a4caea64dae2,262009b8df6350761c7dfc8761f0af79,18416a9ac0909dce5fa96345f784c87e,8c7477dc33a412514998a2fd6b32dbf5
backbone=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
backbone=2,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
bump=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
chrono=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
congruence=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
eliminate=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
extract=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
factor=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
fastel=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
forward=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
lucky=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
phase=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
phasesaving=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
preprocess=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
probe=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
randec=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
reluctant=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
reorder=1,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
reorder=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
rephase=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
restart=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
stable=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
stable=2,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
substitute=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
sweep=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
target=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
target=2,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
transitive=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
vivify=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
warmup=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
