Config,Score,Mean,65b1e2253626af4a72b954f8186a5880,c40838cb3ed9babe51dc41185e70a3dd,685d37e93ba26197925353e58026ae10,08455b2e1e6fda910989f0481a20f1c3,28857e681fc6a9077d5a7d0e9c7a19ad,6dca14e1af1795565d1e502ddc7d376b,8252d67358381873e07bb637ad177b83,9e7f2b92c6e46d03ddcafd798aa80cb6,bc7dc7a83b442a2bf4cf8cae3f0e0faa,e5a72ac8f4880702a4deacc7854318e8,6e31e88a5dadaa3876eb5ff4293134c2,5a72cb588bcda7b1b54a1eac6b19ab2e,29505dfcf090c4cfdfb59268160be81d,45faf223af97fe9177daa3ad4002cf2f,a292411f3f563a47c05a78f8295163dc,6549f23728c52d5319f30371ff709622
backbone=0,6953.74293589592,434.608933493495,222.43401765823364,250.16691493988037,272.124968290329,298.4811899662018,323.9796404838562,345.52137994766235,376.9310929775238,399.4178297519684,428.9316871166229,438.77947473526,492.33787202835083,554.1538133621216,581.3379230499268,628.2302014827728,650.3780407905579,690.5368893146515
backbone=2,5705.576434373856,356.598527148366,175.67305445671082,196.82924509048462,211.36938953399658,232.5746715068817,254.8294186592102,273.0976622104645,303.98300862312317,320.9288091659546,340.5161364078522,352.5600185394287,405.3021333217621,451.30027747154236,489.8211421966553,537.1154580116272,561.8845961093903,597.7914130687714
bump=0,13397.9117166996,837.369482293725,277.30275893211365,270.01865816116333,348.48632049560547,321.3924984931946,325.02371525764465,365.4277482032776,605.5003461837769,584.2006256580353,980.9092123508453,724.6518225669861,2000,2000,781.8819415569305,2000,916.980988740921,896.1350800991058
chrono=0,5722.696122169495,357.6685076355934,177.984605550766,197.11205983161926,214.7725019454956,234.5805938243866,257.92109751701355,275.13983058929443,307.19611048698425,320.7707607746124,333.9741370677948,352.9854083061218,409.2237641811371,459.6757299900055,503.10005021095276,534.2018504142761,554.6063787937164,589.451242685318
congruence=0,9861.000251054764,616.3125156909227,207.21448016166687,240.12507581710815,270.62161135673523,299.4134669303894,324.3387393951416,372.87229347229004,400.9557509422302,784.9913418292999,516.6428864002228,887.2258937358856,649.3341612815857,812.2346940040588,725.1407606601715,694.4090709686279,675.48002409935,2000
eliminate=0,5706.197723388672,356.637357711792,175.65912199020386,196.7914423942566,211.0083351135254,232.4070954322815,253.76300573349,273.99279403686523,304.12756848335266,321.04826045036316,340.1325087547302,352.8299903869629,405.5512418746948,451.35051107406616,490.81720900535583,536.9618837833405,562.1204767227173,597.6362781524658
extract=0,5706.63173365593,356.6644833534956,175.52175569534302,196.51060438156128,210.99908876419067,232.87222695350647,254.00556302070618,273.33958745002747,304.29723930358887,320.9492390155792,340.41998982429504,352.4313540458679,405.81345105171204,450.76077222824097,490.41021966934204,537.1640710830688,562.9374167919159,598.1991543769836
factor=0,5726.312482833862,357.8945301771164,159.2280592918396,178.30338525772095,197.82020545005798,219.033700466156,240.95073294639587,261.5722644329071,291.39825773239136,317.31056213378906,369.2012417316437,373.87027764320374,411.3811764717102,470.1973774433136,505.3920588493347,544.8524618148804,570.4673926830292,615.3333284854889
fastel=0,7495.023783922195,468.4389864951372,200.86076521873474,231.2787585258484,268.2054626941681,267.2700605392456,319.62726497650146,352.8822293281555,434.3357985019684,452.1265711784363,447.24223351478577,459.7381613254547,547.5164952278137,575.0379691123962,599.2376549243927,745.7206733226776,653.2133996486664,940.7302858829498
forward=0,5706.559629917145,356.65997686982155,175.680499792099,196.6271412372589,210.90210723876953,232.64234495162964,254.53568816184998,273.26867151260376,304.4917211532593,321.24555826187134,340.5745017528534,352.64294934272766,405.2328395843506,451.11995339393616,490.41963267326355,536.3834810256958,563.1858768463135,597.6066629886627
lucky=0,7658.32506108284,478.6453163176775,219.30200791358948,240.228924036026,266.49674463272095,300.21499729156494,325.352014541626,344.17850518226624,393.8589744567871,431.73073744773865,436.3360755443573,530.9266545772552,614.964625120163,604.6441223621368,660.8966703414917,702.2357249259949,792.6622879505157,794.295994758606
phase=0,5789.637144804001,361.85232155025005,177.38519835472107,203.34439516067505,209.89151573181152,234.69522190093994,254.15277791023254,272.8578305244446,298.82440161705017,329.3512954711914,334.5973653793335,369.9727771282196,440.2743082046509,458.54768991470337,511.9200026988983,518.3197951316833,564.3887469768524,611.1138226985931
phasesaving=0,5713.952353239059,357.1220220774412,175.40593147277832,195.6394305229187,213.2045726776123,232.92679381370544,255.39787077903748,273.51138281822205,305.0367193222046,327.5819528102875,336.30129408836365,345.34855031967163,406.0138862133026,458.9667999744415,500.565025806427,527.7299513816833,559.4044823646545,600.9177088737488
preprocess=0,20000.692363739014,1250.0432727336884,401.3335916996002,545.8732442855835,485.82040143013,460.6928153038025,555.094450712204,904.0003094673157,804.7414042949677,894.7823014259338,948.3538451194763,2000,2000,2000,2000,2000,2000,2000
probe=0,24657.57452607155,1541.0984078794718,332.09969115257263,509.731413602829,662.6768805980682,493.2875006198883,659.7790400981903,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
randec=0,5689.1373653411865,355.57108533382416,177.16966366767883,195.35221147537231,209.07049345970154,233.1730020046234,255.15403199195862,274.4956533908844,298.71648478507996,319.919588804245,340.5726754665375,350.98781728744507,407.06843185424805,460.60540795326233,484.5570640563965,526.1541044712067,557.2009606361389,598.9397740364075
reluctant=0,5697.710544586182,356.10690903663635,175.66065502166748,196.45374393463135,211.169757604599,233.48760056495667,254.24142742156982,273.1591761112213,301.48148679733276,321.166921377182,340.72785329818726,352.87308263778687,404.804354429245,451.030642747879,490.4393286705017,532.1401124000549,562.2067034244537,596.6676981449127
reorder=1,5706.659208774567,356.6662005484104,175.2023730278015,196.59193015098572,212.66149425506592,232.45262026786804,254.26356840133667,273.1112549304962,304.1775231361389,320.9730055332184,340.0633409023285,351.83063793182373,405.6729381084442,452.2005066871643,489.83965492248535,538.0119683742523,562.3647429943085,597.2416491508484
reorder=0,5705.152750253677,356.57204689085484,175.57795453071594,196.5140790939331,211.20355367660522,232.57380270957947,254.0348470211029,273.4452006816864,303.72094988822937,321.3132300376892,340.59966468811035,352.4865040779114,405.5333535671234,451.3870975971222,489.3635091781616,537.6360368728638,562.5072724819183,597.2556941509247
rephase=0,5700.290023088455,356.26812644302845,176.38327193260193,194.15727281570435,212.1572561264038,230.20630598068237,254.2588005065918,272.07448387145996,299.6042227745056,319.4751501083374,338.199120759964,355.66008472442627,401.3896906375885,454.8084354400635,503.4030795097351,528.9109287261963,567.8728332519531,591.7290859222412
restart=0,5716.353821277618,357.27211382985115,176.19865703582764,195.69187307357788,214.5973927974701,237.41922783851624,255.05854392051697,275.1977734565735,307.6815094947815,319.2592692375183,344.64653420448303,357.85452580451965,408.61895751953125,460.3781068325043,497.267790555954,524.6703555583954,551.4593455791473,590.3539583683014
stable=0,5706.619105577469,356.6636940985918,178.46775317192078,195.92087054252625,213.58087611198425,233.33204102516174,253.72283792495728,271.6831693649292,298.5883274078369,328.0554983615875,339.63245034217834,348.39723539352417,408.3230652809143,462.08721804618835,492.17501521110535,528.5460424423218,551.3051445484161,602.8015604019165
