Config,Score,Mean,0c9da400944b002f90fd385d4fdab385,74931e82fd208ed949fa44bccd80df6b,accf33a84bdf211bebbd2111fb7f6b91,4282ea42fd414bfd2c4bf81fe8a43e24,9cd3acdb765c15163bc239ae3a57f880,328da7966b09b2f6e99c93c4e877fbff,f18c7c7b8666458fd04ea7a253ae1e20,2b60f9be1439f63b7f174c6b8ca7fedf,8d2dfc50c1759dc11a6564d5c368c6df,63732c330adb8de8dd47ce1693b86d0e,41f4cb4992a481c9d43e2e1a4e2349ac,2e808d215e4155379a847b146ef38b34,6543793076c30fc7cdfa5a3c819cedc7,c7bf3517f47d583ae567de3db3708969,48539e7e4baae6db72cda7e8a9cecfa0,ee57608ea4b74f25aebca809d59711c9
backbone=0,22464.673291683197,1404.0420807301998,77.62610244750977,78.54863142967224,81.06865191459656,95.94170451164246,131.488201379776,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
backbone=2,22415.206928014755,1400.9504330009222,76.55504155158997,77.47580361366272,79.59424066543579,94.49188876152039,87.08995342254639,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
bump=0,24461.455847024918,1528.8409904390574,79.07730746269226,90.70813798904419,105.4554123878479,186.21498918533325,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
chrono=0,22412.59140062332,1400.7869625389576,74.39087295532227,74.1788260936737,79.80209422111511,94.48772716522217,89.73188018798828,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
congruence=0,22437.63480949402,1402.3521755933762,75.91731476783752,76.07338953018188,78.45864176750183,94.32764315605164,112.85782027244568,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
eliminate=0,22397.01539850235,1399.8134624063969,68.86435389518738,72.18009781837463,77.72390246391296,91.34203720092773,86.90500712394714,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
extract=0,22384.582407712936,1399.0364004820585,76.70584559440613,77.70610189437866,79.54867315292358,94.28005051612854,56.34173655509949,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
factor=0,22421.13445353508,1401.3209033459425,76.48716020584106,76.89962911605835,79.4901134967804,94.14131307601929,94.11623764038086,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
fastel=0,21368.556363105774,1335.5347726941109,76.5960841178894,77.0209047794342,79.31232571601868,94.28207635879517,128.9444797039032,2000,912.4004924297333,2000,2000,2000,2000,2000,2000,2000,2000,2000
forward=0,22427.488789319992,1401.7180493324995,71.65060019493103,70.50278830528259,82.15885996818542,101.13350343704224,102.04303741455078,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
