Config,Score,Mean,8751f8d1570611ba079dfd862b14c514,9e18c079efdc17ceade5c7a330b507d2,2b7e863462991fd008f9898eca63ebf4,bcd753d08904860fa93a794557185e04,b5cede38496a803dcfa155a5f4295c47,83cf6bfa7945b54e8c4ac659d1a4359e,35b19a3332597c1e5a3668f75ca72971,d5efaaee0197822c2676e45bac5068b2,f20c2aa0f9cced05a74031e0a3afaa1a,323223c497a22051f5a3ef508ccbaa7c,e966bddd11e46b735f8520f8304e368e,33cfa309d10e1d4fe30f1302807f42ce,97a17306a2882e0fd1aa3981a267df0d,177a4ad8fd76ad8240387998112c3168,0945c95ba9b82c32d12fc9d9e5229c5a,2537f10a45d7ab430334dc1de6bfbdf0
backbone=0,11084.333060026169,692.7708162516356,98.14596319198608,103.18248796463013,120.21713733673096,124.24559092521667,128.53830218315125,158.98193907737732,161.0280454158783,224.29891777038574,224.8285527229309,504.78838872909546,531.939240694046,704.13849401474,2000,2000,2000,2000
backbone=2,9788.332945108414,611.7708090692759,97.322829246521,102.40426707267761,119.69034481048584,123.58836913108826,127.72645473480225,326.02416229248047,379.252934217453,2000,371.17094564437866,385.49358105659485,345.5822856426239,357.39959478378296,2000,718.086677312851,2000,334.59049916267395
bump=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
chrono=0,8756.79786992073,547.2998668700457,112.69652462005615,122.1176860332489,148.1989016532898,2000,102.6493194103241,236.57993841171265,427.58215856552124,117.94021248817444,290.4312527179718,111.43379402160645,336.6679139137268,460.94604563713074,2000,178.71516275405884,2000,110.83895969390869
congruence=0,11904.64667892456,744.040417432785,208.8759410381317,192.78615808486938,205.76720118522644,2000,2000,354.60391664505005,288.9271423816681,305.633287191391,92.6528480052948,760.7838099002838,130.07873845100403,721.4830045700073,2000,435.54675364494324,2000,207.50787782669067
eliminate=0,8720.454411506653,545.0284007191658,94.81053614616394,93.84102463722229,283.81355118751526,2000,157.14891028404236,89.81055307388306,274.9082946777344,314.2678999900818,86.28943014144897,548.480212688446,240.62067914009094,244.16791987419128,2000,149.03039693832397,2000,143.26500272750854
extract=0,6541.118204832077,408.8198878020048,91.24292802810669,92.41859436035156,102.79089331626892,106.77720952033997,110.49837064743042,129.12057209014893,218.4249963760376,132.7076554298401,142.1992905139923,130.96381211280823,187.61881351470947,146.2923400402069,2000,670.7437033653259,2000,279.31902551651
factor=0,10379.992188215256,648.7495117634535,442.00246238708496,173.80877590179443,177.35599875450134,2000,157.51431608200073,481.7755093574524,567.9121797084808,960.7530572414398,135.13481640815735,183.20834183692932,222.61114692687988,169.9489688873291,2000,354.21268105506897,2000,353.7539336681366
fastel=0,8483.022746801376,530.188921675086,138.68932390213013,312.27051162719727,129.1627116203308,2000,321.8936972618103,124.73545932769775,328.8953483104706,121.0466468334198,98.99476289749146,297.02794790267944,138.29686212539673,136.94664430618286,2000,159.4404456615448,2000,175.6223850250244
forward=0,9014.719114303589,563.4199446439743,98.31613063812256,115.88183307647705,290.4897119998932,2000,259.8894441127777,125.56050276756287,239.18842315673828,195.78112363815308,260.0874252319336,147.97034621238708,451.0367922782898,471.99516892433167,2000,184.24599599838257,2000,174.27621626853943
