Config,Score,Mean,70ef2b6bdc4101a0e35cf3d165571fe3,28e45a3e488ddac73b6116cc6f3e67e0,543e67dd5abc272c37775b1b742a1d9a,0e5ffe8651c6d9c3cccc3f6cb72be39a,8cf6b81061285343c4f33c51afdb3fbb,1165e12b6addad01b491c4616306186c,4106867bc76b8794330a205cf8a303ad,096e485489025895cdc59887baafa08b,a931fb0e1490883ee7719eab96ed558a,3b59c5d9b6729f39c8483446701f4ed0,ad69e0a0880cd377e26260f7e4bc6d51,88d151d4e3c6ba9bd78454de141cd108
backbone=0,21160.366479873657,1430.0305399894714,45.148152112960815,144.63173246383667,165.24991869926453,805.3366765975952,2000,2000,2000,2000,2000,2000,2000,2000
backbone=2,21304.27898979187,1442.0232491493225,45.3646936416626,142.10276794433594,166.160058259964,950.6514699459076,2000,2000,2000,2000,2000,2000,2000,2000
bump=0,26141.754251003265,1845.1461875836055,2000,141.75425100326538,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
chrono=0,22356.3954744339,1529.6996228694916,29.272512435913086,141.76420068740845,185.3587613105774,2000,2000,2000,2000,2000,2000,2000,2000,2000
congruence=0,22419.461013317108,1534.9550844430923,50.315282583236694,124.68820929527283,244.45752143859863,2000,2000,2000,2000,2000,2000,2000,2000,2000
eliminate=0,21221.17782187462,1435.0981518228848,42.900612592697144,142.0949215888977,637.935962677002,2000,398.24632501602173,2000,2000,2000,2000,2000,2000,2000
extract=0,20045.11645436287,1337.0930378635724,69.8085265159607,142.61498355865479,95.70401573181152,798.8861134052277,2000,2000,2000,2000,2000,2000,2000,938.1028151512146
factor=0,19990.116104125977,1332.5096753438313,23.549082279205322,113.42119908332825,298.3764476776123,684.8082287311554,2000,2000,2000,2000,2000,2000,2000,869.9611463546753
fastel=0,21214.737576007843,1434.5614646673203,76.86236763000488,75.40866208076477,207.29103565216064,2000,2000,2000,2000,2000,2000,2000,2000,855.1755106449127
forward=0,22353.446537733078,1529.4538781444232,45.321491956710815,142.13363981246948,165.9914059638977,2000,2000,2000,2000,2000,2000,2000,2000,2000
lucky=0,22742.449110984802,1561.8707592487335,10.506324768066406,140.40003538131714,591.5427508354187,2000,2000,2000,2000,2000,2000,2000,2000,2000
phase=0,20355.514771699905,1362.9595643083255,53.02194595336914,140.9871163368225,286.2404909133911,881.6888530254364,2000,2000,2000,2000,2000,2000,2000,993.5763654708862
phasesaving=0,20255.28026175499,1354.6066884795825,42.70995593070984,141.8890242576599,274.77158641815186,820.3537211418152,2000,2000,2000,2000,2000,2000,2000,975.5559740066528
preprocess=0,20104.033052682877,1342.0027543902397,4.091925621032715,14.137707233428955,152.1072382926941,941.9227328300476,2000,2000,2000,2000,2000,2000,2000,991.7734487056732
probe=0,20131.52153301239,1344.2934610843658,17.976141452789307,14.096278429031372,650.6444323062897,746.2014727592468,2000,2000,2000,2000,2000,2000,2000,702.603208065033
randec=0,20085.67392015457,1340.4728266795476,66.07067894935608,142.10822892189026,79.47405862808228,2000,815.1538193225861,2000,2000,2000,2000,2000,2000,982.8671343326569
reluctant=0,20673.648874282837,1389.4707395235698,49.457165002822876,141.93144130706787,577.6073985099792,907.5039169788361,2000,2000,2000,2000,2000,2000,2000,997.1489524841309
reorder=1,21124.208538532257,1427.0173782110214,42.54112005233765,141.97338008880615,125.87354016304016,813.8204982280731,2000,2000,2000,2000,2000,2000,2000,2000
reorder=0,21226.739341259003,1435.5616117715836,61.46862053871155,142.04983019828796,52.559885025024414,2000,2000,2000,2000,2000,2000,2000,2000,970.6610054969788
rephase=0,24185.331314325333,1682.1109428604443,43.51913905143738,141.81217527389526,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
restart=0,24216.43112230301,1684.7025935252507,74.65596151351929,141.77516078948975,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
stable=0,22159.26827096939,1513.272355914116,579.3691670894623,141.49502801895142,2000,878.0768003463745,560.3272755146027,2000,2000,2000,2000,2000,2000,2000
stable=2,22257.23290538788,1521.4360754489899,16.736334562301636,142.3567750453949,98.13979578018188,2000,2000,2000,2000,2000,2000,2000,2000,2000
substitute=0,19960.436218500137,1330.0363515416782,28.404590129852295,137.32146954536438,63.28295373916626,749.0533587932587,2000,2000,2000,2000,2000,2000,2000,982.3738462924957
sweep=0,19997.700355529785,1333.1416962941487,43.28230834007263,139.50686168670654,159.75101566314697,687.0089380741119,2000,2000,2000,2000,2000,2000,2000,968.1512317657471
target=0,23124.433624982834,1593.7028020819027,96.1908311843872,141.9114158153534,2000,2000,886.3313779830933,2000,2000,2000,2000,2000,2000,2000
target=2,22311.77837586403,1525.9815313220024,41.780672550201416,141.89939665794373,128.0983066558838,2000,2000,2000,2000,2000,2000,2000,2000,2000
transitive=0,20138.093703985214,1344.8411419987679,45.16577434539795,142.025408744812,165.2530858516693,818.444623708725,967.20481133461,2000,2000,2000,2000,2000,2000,2000
vivify=0,21370.23414683342,1447.5195122361183,9.072880744934082,141.85482692718506,270.4605755805969,948.8458635807037,2000,2000,2000,2000,2000,2000,2000,2000
warmup=0,22613.26337838173,1551.1052815318108,15.410011053085327,141.35333776474,456.5000295639038,2000,2000,2000,2000,2000,2000,2000,2000,2000
