Config,Score,Mean,c801a020a6c8bc3c287fea495203b114,43e492bccfd57029b758897b17d7f04f,1afa2d7a3d817c3149da432eece66da8,7f1c7da531539f3be4a1e0e916913086,a08e66296d00f480e9ccadd79fa8b904,0d3fcbb89bfb8e821058ba3ea4284de1,576ebc1333f2c466c2dec98792721e1f,29e61b1317804fb897e84237613d42bb,5432e4dd44480fadbd66647db1750c80,94dd280b1562ee7dae44b303b8fed233,6fc528fc3d0fd5a2c50992feb8bf0357,5a068ba62fe30e435a76e2ec80896ef4,3593875d75d6e836a3ac328c5426c1b5,dafc03ea784fee849febca7b64230558,cc30e4eedbcf9c3bc110894d08781246,fb45d41807bcbbbe689de282c1310798
backbone=0,21800.602330207825,1362.537645637989,0.5104331970214844,24.487720727920532,72.50202822685242,240.30254673957825,513.7445421218872,949.0550591945648,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
backbone=2,22199.970679998398,1387.4981674998999,0.45575594902038574,159.47525072097778,70.31112480163574,240.27060985565186,2000,833.5825262069702,895.8754124641418,2000,2000,2000,2000,2000,2000,2000,2000,2000
bump=0,28317.588255882263,1769.8492659926414,0.5362486839294434,2000,317.05200719833374,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
chrono=0,19646.12486553192,1227.882804095745,0.4562036991119385,83.28331685066223,69.09294199943542,178.41508531570435,457.28443789482117,519.1497836112976,338.4430961608887,2000,2000,2000,2000,2000,2000,2000,2000,2000
congruence=0,20797.601710796356,1299.8501069247723,0.4627063274383545,27.141101121902466,82.68030428886414,244.20952129364014,944.9538474082947,630.0844967365265,868.0697336196899,2000,2000,2000,2000,2000,2000,2000,2000,2000
eliminate=0,22523.53758406639,1407.7210990041494,0.45452284812927246,27.071381092071533,70.3567099571228,209.45442533493042,216.20054483413696,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
extract=0,23000.317272663116,1437.5198295414448,0.4544699192047119,27.338422536849976,70.42239451408386,201.81128525733948,2000,2000,700.2907004356384,2000,2000,2000,2000,2000,2000,2000,2000,2000
factor=0,22399.040562152863,1399.940035134554,0.32419586181640625,155.68996834754944,102.17689371109009,910.3008017539978,2000,708.0127596855164,522.5359427928925,2000,2000,2000,2000,2000,2000,2000,2000,2000
fastel=0,22972.836119174957,1435.8022574484348,0.2581508159637451,92.86912488937378,68.59724235534668,273.54411602020264,2000,2000,537.5674850940704,2000,2000,2000,2000,2000,2000,2000,2000,2000
forward=0,20262.763226270676,1266.4227016419172,0.4592711925506592,60.77957534790039,70.37876391410828,325.08570742607117,748.2141988277435,566.1109282970428,491.7347812652588,2000,2000,2000,2000,2000,2000,2000,2000,2000
lucky=0,21609.480203151703,1350.5925126969814,0.44879603385925293,7.261207818984985,81.87665295600891,220.17050981521606,751.592456817627,2000,548.1305797100067,2000,2000,2000,2000,2000,2000,2000,2000,2000
phase=0,22642.483902215958,1415.1552438884974,0.43473267555236816,26.609690189361572,83.46585631370544,321.73481845855713,2000,2000,210.23880457878113,2000,2000,2000,2000,2000,2000,2000,2000,2000
phasesaving=0,22855.342203378677,1428.4588877111673,0.4863917827606201,79.70497226715088,81.72576594352722,339.3146860599518,2000,2000,354.11038732528687,2000,2000,2000,2000,2000,2000,2000,2000,2000
preprocess=0,22863.007319927216,1428.937957495451,0.43152737617492676,86.98638081550598,90.16909050941467,346.22774267196655,2000,339.19257855415344,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
probe=0,22939.803822278976,1433.737738892436,0.25275754928588867,17.90883708000183,124.2549409866333,298.41887974739075,2000,2000,498.9684069156647,2000,2000,2000,2000,2000,2000,2000,2000,2000
randec=0,21369.544419527054,1335.5965262204409,0.455920934677124,50.57994627952576,82.84486269950867,511.04901123046875,2000,572.8354556560516,151.7792227268219,2000,2000,2000,2000,2000,2000,2000,2000,2000
reluctant=0,21483.32153391838,1342.7075958698988,0.4557149410247803,89.6191155910492,70.46660876274109,257.0494530200958,521.7207357883453,2000,544.0099058151245,2000,2000,2000,2000,2000,2000,2000,2000,2000
reorder=1,22974.961714982986,1435.9351071864367,0.459153413772583,65.14762663841248,70.3829231262207,291.4057593345642,2000,2000,547.5662524700165,2000,2000,2000,2000,2000,2000,2000,2000,2000
reorder=0,19310.281015634537,1206.8925634771585,0.45674991607666016,63.16061615943909,70.32319283485413,267.2194392681122,259.55211448669434,186.65668964385986,462.9122133255005,2000,2000,2000,2000,2000,2000,2000,2000,2000
rephase=0,23412.899747133255,1463.3062341958284,0.45499682426452637,14.243120193481445,92.21034622192383,483.030757188797,822.9605267047882,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
restart=0,24708.67570567131,1544.292231604457,0.5632669925689697,142.94267773628235,113.31585001945496,451.85391092300415,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
stable=0,25072.641931056976,1567.040120691061,0.4575343132019043,314.5980136394501,71.3347487449646,686.2516343593597,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
stable=2,21132.358504533768,1320.7724065333605,0.5297861099243164,33.37611150741577,80.05021405220032,278.3254656791687,177.2488214969635,2000,562.8281056880951,2000,2000,2000,2000,2000,2000,2000,2000,2000
substitute=0,19744.850546360016,1234.053159147501,0.4551839828491211,75.36995196342468,69.49202704429626,318.73533844947815,379.97347116470337,565.6263835430145,335.19819021224976,2000,2000,2000,2000,2000,2000,2000,2000,2000
sweep=0,21549.073720932007,1346.8171075582504,0.276505708694458,131.707777261734,69.93126773834229,267.52244806289673,879.1259179115295,2000,200.50980424880981,2000,2000,2000,2000,2000,2000,2000,2000,2000
target=0,24510.483566761017,1531.9052229225636,0.45744776725769043,145.09888815879822,75.70238399505615,289.2248468399048,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
target=2,21011.794957876205,1313.2371848672628,0.4594106674194336,40.58507704734802,70.37917971611023,283.834988117218,2000,121.41230010986328,2000,2000,2000,2000,495.12400221824646,2000,2000,2000,2000,2000
transitive=0,22005.70799970627,1375.3567499816418,0.4559047222137451,23.005131006240845,70.3266749382019,258.67634534835815,777.180671453476,2000,876.0632722377777,2000,2000,2000,2000,2000,2000,2000,2000,2000
vivify=0,22311.826647043228,1394.4891654402018,0.45674920082092285,20.017549753189087,70.33646082878113,719.9592380523682,697.2977826595306,803.7588665485382,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
warmup=0,23176.502725839615,1448.531420364976,0.4548642635345459,34.56756091117859,83.077791929245,352.74196910858154,2000,705.6605396270752,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
