Config,Score,Mean,79c109a8c1da53c6b636d3835f11a19d,20cae5fe475d571da703f89d5da4bb8f,a1276d5dcb822aa03806df58fa9ca1c8,06b138e8a6da806e88ac7da2919cef30,792495b57d6145fd21d7076eab2ab06a,f55acea8f0d207becbbbd26a11d97841,a0c7aea176b5a2b65c27c8af7039326b,dbe18c99e95ac42816b99b96d36a8732,2f219dfa21d996e1834aa247f934f304,3498eea73b78ddc444cbee48b121c541,385a678ba820d79c6fb5f497adaf32ec,46e119b7ff8d0781354bfe68139c99b5,a7bbcc6535cca5a37f015f29090e8797,40ae60a61929b6bfa2ac99ab4b9a0f7e,9777418f75e1dfbd7d34e9b0ba4bf0b5,89120de895868a3fccd74f30f78a5448
backbone=0,23932.96168231964,1495.8101051449776,127.46658182144165,188.71289014816284,367.0985035896301,540.0867366790771,709.5969700813293,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
backbone=2,24046.977674484253,1502.9361046552658,160.23646473884583,236.65333104133606,287.9994616508484,560.4871559143066,801.601261138916,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
bump=0,32000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
chrono=0,24086.249652147293,1505.3906032592058,132.86168432235718,248.92029428482056,296.4893493652344,589.6220414638519,818.356282711029,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
congruence=0,23982.407774209976,1498.9004858881235,129.2252495288849,189.27422785758972,335.9335856437683,663.6780853271484,664.2966258525848,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
eliminate=0,27305.316703796387,1706.5822939872742,250.35936093330383,428.9198908805847,626.0374519824982,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
extract=0,25150.727670907974,1571.9204794317484,138.6521406173706,184.8375723361969,266.20564889907837,561.0323090553284,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
factor=0,25341.07559776306,1583.8172248601913,142.6202609539032,156.2374198436737,444.2533507347107,597.9645662307739,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
fastel=0,23150.634561300278,1446.9146600812674,146.94131326675415,218.05573272705078,375.99751019477844,503.53961205482483,906.8085305690765,2000.0,2000.0,2000.0,999.291862487793,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
forward=0,26809.94581055641,1675.6216131597757,187.28360104560852,265.055855512619,357.6063539981842,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
lucky=0,23961.933700084686,1497.620856255293,150.07735681533813,161.26250982284546,352.95668506622314,575.0995149612427,722.5376334190369,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
phase=0,23816.35022044182,1488.5218887776136,160.42979311943054,178.2121229171753,274.9449610710144,402.78465723991394,799.9786860942841,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
phasesaving=0,25986.68980693817,1624.1681129336357,223.68606686592102,438.72422075271606,614.9695436954498,709.3099756240845,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
preprocess=0,24311.399438142776,1519.4624648839235,194.9218533039093,243.7340338230133,377.85735416412354,554.5620958805084,2000.0,2000.0,2000.0,2000.0,940.3241009712219,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
probe=0,25960.02397966385,1622.5014987289906,391.1643581390381,398.5475652217865,472.24935388565063,698.0627024173737,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
randec=0,23762.639388799667,1485.1649617999792,128.60301637649536,280.41516160964966,230.1032485961914,545.6745872497559,577.8433749675751,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
reluctant=0,24122.11946630478,1507.6324666440487,188.4243927001953,248.7319564819336,352.76371598243713,563.7936098575592,768.4057912826538,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
reorder=1,24309.77361679077,1519.3608510494232,136.47994804382324,212.6704342365265,352.4873251914978,789.3148584365845,818.8210508823395,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
reorder=0,24116.761490106583,1507.2975931316614,160.50551557540894,210.97845101356506,276.28293013572693,742.7952153682709,726.1993780136108,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
rephase=0,24270.692204475403,1516.9182627797127,161.22852420806885,163.67680740356445,358.9866564273834,643.2875709533691,943.512645483017,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
restart=0,26378.996988534927,1648.687311783433,514.8516139984131,439.6750702857971,426.4927110671997,997.9775931835175,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
stable=0,21963.38835644722,1372.7117722779512,79.92064213752747,126.32084250450134,163.02005410194397,292.48733377456665,450.0409610271454,2000.0,2000.0,2000.0,851.598522901535,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
stable=2,25829.009125471115,1614.3130703419447,301.4428172111511,313.98240542411804,518.4125816822052,695.1713211536407,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
substitute=0,24235.459133148193,1514.716195821762,141.87693285942078,198.9423656463623,404.32776975631714,714.6138563156128,775.6982085704803,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
sweep=0,24481.37726044655,1530.0860787779093,184.96294260025024,173.91915345191956,390.07446002960205,760.0449161529541,972.3757882118225,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
target=0,23985.544216394424,1499.0965135246515,148.73031759262085,186.02011680603027,332.9859194755554,713.1782846450806,604.6295778751373,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
target=2,26064.43706393242,1629.0273164957762,338.8422050476074,336.8339970111847,508.44894766807556,2000.0,880.3119142055511,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
transitive=0,24319.922944545746,1519.9951840341091,193.60678577423096,248.65424418449402,287.9683802127838,794.9871220588684,794.7064123153687,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
vivify=0,25397.37384080887,1587.3358650505543,199.40110516548157,226.9985477924347,329.5816307067871,641.392557144165,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
warmup=0,24083.919807195663,1505.244987949729,162.83878779411316,169.79714369773865,425.8746528625488,530.4422340393066,794.9669888019562,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
