Config,Score,Mean,a45b60e53917968f922b97c6f8aa8db3,f561c52b987bdb9031a477864070b759,ce49f590c98885f7ac95567f2b1e7dd5,bbfe2b27182d2ee7fefdb557f458ac9c,71270454196ae092b28d0a74300a85e1,b172b4c218f1e44e205575d2b51e82c4,67c533489a498495525efee429340958,4408f30395fb799e01b34b0dc7ee1d62,768956cc8d1f2d18ae1929f6bb26557a,0a4ed112f2cdc0a524976a15d1821097,973d699ec01b88da869233a79aaa1912,cd118ff851f95661b2a3adfc3e393c74,f88afbcd8b4c29a8c1b3518caa4e949c,f4064d73fd6e69caf154046e61fea7b8,18c0eb461bda29214bd43b84199a3b61,cdd131110acc861a5a01fae6c4936c91
backbone=0,26673.334450006485,1667.0834031254053,121.40934181213379,212.713933467865,339.2111747264862,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
backbone=2,26769.871148109436,1673.1169467568398,121.14239025115967,308.7078580856323,340.02089977264404,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
bump=0,27558.599964380264,1722.4124977737665,780.5958077907562,414.03265929222107,363.971497297287,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
chrono=0,26474.660080194473,1654.6662550121546,121.21384930610657,309.1804766654968,44.26575422286987,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
congruence=0,25006.741902589798,1562.9213689118624,96.5780439376831,746.4903771877289,131.4551272392273,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,32.21835422515869,2000.0,2000.0,2000.0,2000.0
eliminate=0,26248.49355864525,1640.530847415328,116.84486293792725,101.0048496723175,30.643846035003662,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
extract=0,26724.498317718506,1670.2811448574066,78.92032527923584,308.5656819343567,337.01231050491333,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
factor=0,30339.417809009552,1896.213613063097,2000.0,2000.0,339.417809009552,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
fastel=0,28194.80988383293,1762.1756177395582,88.46694993972778,2000.0,106.34293389320374,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
forward=0,26341.564096212387,1646.3477560132742,112.26636838912964,150.16228556632996,79.13544225692749,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
lucky=0,28349.327872037888,1771.832992002368,102.46836280822754,2000.0,246.85950922966003,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
phase=0,26335.146424293518,1645.9466515183449,103.24212551116943,163.39479112625122,68.50950765609741,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
phasesaving=0,26656.155755519867,1666.0097347199917,96.33496975898743,277.90571427345276,281.91507148742676,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
preprocess=0,26506.883243083954,1656.6802026927471,95.42604732513428,208.85159254074097,202.6056032180786,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
probe=0,29114.09943342209,1819.6312145888805,2000.0,959.5576159954071,154.54181742668152,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
randec=0,26418.012373209,1651.1257733255625,98.58858394622803,227.97701287269592,91.44677639007568,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
reluctant=0,26331.070187807083,1645.6918867379427,79.63160705566406,149.68705487251282,101.75152587890625,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
