Config,Score,Mean,f54b352934be08821aa75b3424112956,0d3160b80aa406bfc718c007265b9e73,aaa3654cc92d80da84ecf5d18040c634,02f6ca52f1ada872d82035088701b66a,1e0da402100982e53001a64281149dd9,878bcc11e1e243680f7946bcf428f465,c21cea390a50204944aa00babd56b53c,e8abb9c83efdd96a99990f3b914ea873,6008b958ff6877f32c26b72728df4523,573cc82ec61e01fd6e6308493ee56289,c03f7f84f6ac9e523c17e391c3895183,0f262afd5b117000f8b4734d175aadab,44fd38bd0c5fc7336be468161dee4eda,25cc054738293c0d9377d7b72b78a341,c8b129b9e4835b8a40d5ef0d27a45bef
backbone=0,13014.91211605072,800.994141070048,322.33249402046204,342.9317033290863,364.61519169807434,386.59676027297974,398.9998276233673,416.84090185165405,503.5240590572357,527.3542671203613,552.6407825946808,666.6080851554871,702.2574074268341,830.2106359004974,2000.0,2000.0,2000.0
backbone=2,10578.374151945114,638.5582767963409,298.01859402656555,410.0249662399292,375.7207827568054,358.17816615104675,303.42775082588196,279.71007347106934,900.8736746311188,333.92069697380066,611.4585483074188,512.3247654438019,350.607084274292,424.8374147415161,2000.0,2000.0,419.2716341018677
bump=0,31000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
chrono=0,12003.212948083878,733.5475298722585,279.4274642467499,406.5370252132416,322.0308566093445,376.966748714447,311.69790625572205,273.8993878364563,527.6619896888733,297.18159341812134,408.10119009017944,602.687502861023,711.7845814228058,485.23670172691345,2000.0,2000.0,2000.0
congruence=0,26782.01718354225,1718.8011455694834,562.7610712051392,2000.0,692.4799115657806,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,526.7762007713318,2000.0,2000.0,2000.0,2000.0
eliminate=0,10329.196691036224,621.9464460690816,298.0183539390564,409.87788701057434,376.10655069351196,358.13467741012573,303.44103479385376,279.495069026947,555.1104271411896,333.95089983940125,705.7080385684967,515.0230774879456,350.8086140155792,424.4368119239807,2000.0,2000.0,419.08524918556213
extract=0,10286.787997245789,619.119199816386,298.60231757164,410.2581865787506,376.3545358181,358.27654123306274,303.56487798690796,280.06293773651123,558.612779378891,334.1290559768677,659.8663289546967,512.4460396766663,350.7370398044586,424.74907636642456,2000.0,2000.0,419.1282801628113
factor=0,9643.033842802048,576.2022561868032,561.2231814861298,257.168639421463,198.99589776992798,329.4563603401184,221.9091444015503,301.9309959411621,304.8233833312988,252.31296801567078,659.8709125518799,429.92339277267456,349.29847502708435,399.64307928085327,2000.0,2000.0,376.4774124622345
fastel=0,12701.982449769974,780.1321633179982,417.27273297309875,320.0740773677826,349.9821755886078,404.7433388233185,958.2626168727875,201.59479928016663,599.7839691638947,237.87798714637756,726.8185927867889,529.8927047252655,550.3395874500275,405.3398675918579,2000.0,2000.0,2000.0
forward=0,10150.176363706589,610.0117575804393,298.1259834766388,409.76208996772766,376.50474667549133,358.52548146247864,303.69834542274475,279.5277030467987,517.1720368862152,334.67729663848877,563.0300951004028,513.2057456970215,352.020938873291,424.4539477825165,2000.0,2000.0,419.47195267677307
lucky=0,13437.574354171753,829.1716236114502,355.2810900211334,2000.0,288.6419198513031,2000.0,464.5541179180145,300.69019746780396,395.1817202568054,277.26051354408264,440.39173197746277,513.1574094295502,347.28283405303955,299.3688163757324,2000.0,2000.0,755.764003276825
phase=0,17299.049488067627,1086.6032992045084,560.1943292617798,713.3532540798187,764.2494068145752,421.057856798172,258.359436750412,284.6680066585541,953.7367241382599,562.4866313934326,2000.0,962.329781293869,818.6140608787537,2000.0,2000.0,2000.0,2000.0
