Config,Score,Mean,dd5fc8da5454a990a0e7999884158c64,6c52aca5b5fd284bf1940b84df90a367,4a8285a53f30b35016b0c85ea17ba155,46d75199933980fdb856f13e5b1817dd,ff9e9b01d50d01ecb6740472d7dd36cd,dd7164f2592c9675618c5c99af9b70f3,a6ed647f85f20be4aedd1e9ce31cbdcd,2b032f8a8976a302ad125eb50a3e8445,7dc0e1b5fedbd8351907f1316b58e68f,29d86d9a3b85c349e10ad68d7a713da2,a917b02a7c31e74c8ccf8b8f001abf37,aa6e6f67719ca43aef922f2ebabc409a,cccee4b0d4c70a5d5422663e2d8887da,e85e793a66a2c9d390f40acf29a5346b,6a674acad2aeac729ecb39ad9e4a2298
backbone=0,26016.89228463173,1667.7928189754487,277.08491468429565,335.3618597984314,404.4455101490021,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
backbone=2,26074.94988012314,1671.6633253415425,275.55934977531433,296.02307200431824,503.36745834350586,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
bump=0,31000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
chrono=0,24796.779717206955,1586.4519811471303,361.15766978263855,268.0235481262207,450.5575978755951,2000.0,2000.0,2000.0,2000.0,717.0409014225006,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
congruence=0,26063.46270799637,1670.8975138664246,381.6679289340973,299.7158784866333,382.0789005756378,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
eliminate=0,25992.75005531311,1666.183337020874,299.19806957244873,250.10312700271606,443.44885873794556,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
extract=0,23331.373061418533,1488.7582040945688,279.575825214386,220.3736593723297,456.1046543121338,2000.0,477.91449999809265,2000.0,2000.0,897.4044225215912,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
factor=0,26311.405005455017,1687.4270003636677,382.29444766044617,394.73761105537415,534.3729467391968,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
fastel=0,26047.220808029175,1669.8147205352784,367.03722953796387,304.28195977211,375.90161871910095,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
forward=0,25099.737053871155,1606.6491369247437,360.9218018054962,367.5402934551239,570.4546961784363,2000.0,800.8202624320984,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
lucky=0,24887.09093260765,1592.47272884051,297.6991801261902,297.33939933776855,431.16263222694397,2000.0,2000.0,2000.0,2000.0,860.889720916748,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
phase=0,25921.692328691483,1661.446155246099,293.506147146225,231.93614506721497,396.2500364780426,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
phasesaving=0,26133.472719430923,1675.5648479620615,289.5752065181732,285.3478000164032,558.549712896347,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
preprocess=0,24882.746092796326,1592.1830728530883,351.6268126964569,285.13171434402466,533.4476933479309,2000.0,2000.0,2000.0,2000.0,712.5398724079132,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
probe=0,24571.24816417694,1571.4165442784627,275.41481280326843,152.62951254844666,365.43626379966736,2000.0,2000.0,2000.0,2000.0,777.7675750255585,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
randec=0,24968.564149856567,1597.9042766571044,358.6346113681793,304.0657434463501,428.18749237060547,2000.0,877.6763026714325,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
reluctant=0,24975.66156744957,1598.3774378299713,288.9401397705078,341.4042193889618,500.3788070678711,2000.0,844.938401222229,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
reorder=1,25992.585505962372,1666.1723670641582,282.45026445388794,311.400267124176,398.73497438430786,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
reorder=0,26082.237166404724,1672.1491444269816,298.22147822380066,336.8467574119568,447.1689307689667,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
rephase=0,26058.855702877045,1670.590380191803,257.14937949180603,334.1057024002075,467.6006209850311,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
restart=0,29917.1790099144,1927.8119339942932,2000.0,917.1790099143982,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
stable=0,24553.700682401657,1570.2467121601105,170.24351525306702,158.09064149856567,331.36092042922974,2000.0,2000.0,2000.0,2000.0,894.0056052207947,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
stable=2,31000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
substitute=0,26073.819630861282,1671.5879753907523,314.7747759819031,309.65925574302673,449.38559913635254,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
sweep=0,24850.883736133575,1590.0589157422385,312.06814527511597,259.64922976493835,402.1361002922058,2000.0,2000.0,2000.0,2000.0,877.0302608013153,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
