Config,Score,Mean,303ba61141150f84b0d8b44839df59fd,1f44da3598ccf8bcbe9a90fb1b2f1ebd,4ffb80a0ad8b753fee1492101ffcbdbb,1ea68d0008f01c50a1e4fec77dd0775e,cd361d33986dccd7f2d86016d6c35241,b5028686db9bd1073fa09cbd8c805f47,2b8a711debc3a6edd01e7b4e305342d9,004b0f451f7d96f6a572e9e76360f51a,0982db5b0b15642e79e8242881529b39,02e4f23ed59566d343b605dc2cc30a01,2902c241b2196f5fd914509fdc124ba7,29e101b66dfddb440e974b9feec5b1aa,1ea7fe95e6158afe11f7b795b9aac939
backbone=0,19988.36164045334,1306.7970492656414,7.953248500823975,7.961284875869751,21.574332237243652,22.139365911483765,928.7334089279175,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
backbone=2,21056.18269968033,1388.9371307446406,7.30648398399353,7.286020040512085,20.508249282836914,21.08194637298584,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
bump=0,21055.286244630814,1388.8681726639088,7.164879322052002,7.195314884185791,20.400981903076172,20.525068521499634,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
chrono=0,19976.263332366943,1305.8664101820725,7.260356426239014,7.362679481506348,20.81033968925476,20.54265022277832,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,920.2873065471649,2000.0
congruence=0,21054.877951145172,1388.8367654727056,7.0782630443573,7.088456392288208,20.046093225479126,20.665138483047485,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
eliminate=0,18877.313426733017,1221.3318020563859,7.308934450149536,7.300684213638306,20.502553462982178,21.099942684173584,2000.0,2000.0,2000.0,927.1828382015228,2000.0,2000.0,2000.0,893.9184737205505,2000.0
extract=0,19577.57867860794,1275.1983598929185,7.301480770111084,7.286820411682129,20.450373888015747,21.09371042251587,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,521.4462931156158,2000.0
factor=0,26834.02617764473,1833.3866290495946,2000.0,2000.0,2000.0,2000.0,890.0831747055054,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,943.9430029392242,2000.0
fastel=0,19873.772204637527,1297.9824772798097,7.123364448547363,7.127311944961548,19.449313402175903,19.338961601257324,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,820.7332532405853,2000.0
forward=0,21056.164217948914,1388.9357090729934,7.306655168533325,7.294196128845215,20.484573364257812,21.07879328727722,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
lucky=0,19986.24618768692,1306.6343221297632,7.152141571044922,7.159187316894531,20.273963928222656,20.299034118652344,931.3618607521057,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
phase=0,21056.865760564804,1388.9896738896002,7.526474714279175,7.549893617630005,20.842977285385132,20.946414947509766,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
phasesaving=0,18833.11637043953,1217.9320284953485,7.101452350616455,7.0750041007995605,20.53258466720581,20.71810746192932,941.692224740982,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,835.9969971179962,2000.0
preprocess=0,19970.967123270035,1305.4590094823104,8.147234439849854,8.035959720611572,21.15193009376526,20.94657015800476,2000.0,912.6854288578033,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
probe=0,27965.26757287979,1920.40519791383,2000.0,2000.0,2000.0,2000.0,2000.0,965.2675728797913,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
randec=0,16802.823665380478,1061.7556665677291,7.310291051864624,7.272497653961182,20.5859158039093,21.014142274856567,969.3731038570404,596.4087994098663,2000.0,2000.0,2000.0,2000.0,2000.0,180.8589153289795,2000.0
reluctant=0,21056.20321035385,1388.9387084887578,7.294431209564209,7.305561780929565,20.520371198654175,21.08284616470337,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
reorder=1,19688.29721045494,1283.7151700349955,7.304961919784546,7.308858633041382,20.4496750831604,21.09403967857361,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,632.1396751403809,2000.0
reorder=0,19201.307639360428,1246.254433796956,7.304224252700806,7.3025312423706055,20.49430561065674,21.11242127418518,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,145.09415698051453,2000.0
rephase=0,19870.44774031639,1297.726749255107,7.423755884170532,7.282910346984863,20.61263394355774,20.65868043899536,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,814.4697597026825,2000.0
restart=0,21056.08358836174,1388.929506797057,7.175132989883423,7.221869468688965,20.84147596359253,20.845109939575195,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
stable=0,21055.82590651512,1388.9096851165477,7.426535129547119,7.371951341629028,20.311686992645264,20.71573305130005,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
stable=2,19796.08332490921,1292.0064096084009,7.222772836685181,7.212564945220947,20.9342942237854,21.058576583862305,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,739.6551163196564,2000.0
substitute=0,21055.61319589615,1388.8933227612422,7.207841157913208,7.217760324478149,20.2804114818573,20.907182931900024,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
sweep=0,18363.248678207397,1181.7883598621074,7.042222023010254,7.0445897579193115,20.344566583633423,20.545518398284912,988.1696240901947,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,320.10215735435486,2000.0
target=0,19904.98653769493,1300.383579822687,7.3047637939453125,7.241970777511597,20.772880792617798,20.902613162994385,848.7643091678619,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
target=2,18307.234855651855,1177.4796042809119,7.313318967819214,7.309299468994141,20.444534063339233,21.08535647392273,878.5427932739258,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,372.53955340385437,2000.0
transitive=0,18551.294571638107,1196.2534285875468,7.3102850914001465,7.299609899520874,20.539578914642334,21.097166299819946,971.9734780788422,523.0744533538818,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
vivify=0,21055.886546373367,1388.9143497210282,7.294612646102905,7.331249952316284,20.54233479499817,20.71834897994995,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
warmup=0,19999.16579079628,1307.62813775356,7.354076385498047,7.273643255233765,20.668163537979126,20.919706344604492,942.9502012729645,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
