Config,Score,Mean,1427381a809c64c721838894ece6756d,008e7716c69009090ff6bd0048dc55f8,2ef023ae6c46e4415734f9349a36d678,907e7dc703e16ad2c7e56a33fe3b3e5f,a552a058e6376a36b1f1b2724f228364,d1f4348ad66cae01386777daae51c024,727cd7c528ac106f134cc882c9202108,34fa0922e66aee3b6f6ffe1760f459d4,01dd5feb463fa80f73809718f6ff735b,dcf5b8224d1e0748871c83ee10067255
backbone=0,18109.624454975128,1210.9624454975128,80.91542625427246,221.02663469314575,529.6828200817108,597.8976426124573,680.1019313335419,2000.0,2000.0,2000.0,2000.0,2000.0
backbone=2,18346.20539999008,1234.620539999008,79.71693754196167,151.7868070602417,658.7525403499603,777.7054946422577,678.2436203956604,2000.0,2000.0,2000.0,2000.0,2000.0
bump=0,24213.08025956154,1821.3080259561539,213.0802595615387,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
chrono=0,18073.904490947723,1207.3904490947723,68.39055705070496,154.88924479484558,506.01434540748596,555.6836123466492,788.9267313480377,2000.0,2000.0,2000.0,2000.0,2000.0
congruence=0,18259.914110660553,1225.9914110660552,68.96152901649475,259.2394573688507,577.2940580844879,598.95525598526,755.4638102054596,2000.0,2000.0,2000.0,2000.0,2000.0
eliminate=0,18003.028098106384,1200.3028098106383,79.36962246894836,101.79254245758057,661.1797034740448,566.6330013275146,2000.0,2000.0,2000.0,594.0532283782959,2000.0,2000.0
extract=0,17169.763257980347,1116.9763257980346,79.61775064468384,193.64352869987488,711.4488842487335,635.689923286438,603.4441568851471,2000.0,2000.0,945.9190142154694,2000.0,2000.0
factor=0,18468.086335897446,1246.8086335897447,25.293229579925537,133.8675675392151,2000.0,549.6581377983093,787.6777505874634,2000.0,2000.0,971.5896503925323,2000.0,2000.0
fastel=0,17359.29496192932,1135.9294961929322,130.46520233154297,244.13544607162476,595.4521169662476,624.5244479179382,868.8415796756744,2000.0,2000.0,895.8761689662933,2000.0,2000.0
forward=0,18283.199062108994,1228.3199062108993,79.5992341041565,237.13608241081238,550.3411664962769,654.2863390445709,761.8362400531769,2000.0,2000.0,2000.0,2000.0,2000.0
lucky=0,18082.48451113701,1208.2484511137009,89.65656423568726,225.83489656448364,469.4694755077362,609.7230639457703,687.8005108833313,2000.0,2000.0,2000.0,2000.0,2000.0
phase=0,18120.444485664368,1212.0444485664368,79.84179592132568,215.0505726337433,501.5332260131836,552.5197446346283,771.4991464614868,2000.0,2000.0,2000.0,2000.0,2000.0
phasesaving=0,20695.512705802917,1469.5512705802917,79.99090027809143,164.25229406356812,451.26951146125793,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
preprocess=0,16166.210120916367,1016.6210120916367,7.142693281173706,179.5210576057434,705.2660698890686,504.7232584953308,815.9014530181885,2000.0,2000.0,964.784202337265,988.8713862895966,2000.0
probe=0,21416.65716290474,1541.665716290474,7.136996746063232,2000.0,2000.0,545.1220571994781,2000.0,2000.0,2000.0,864.398108959198,2000.0,2000.0
randec=0,17143.084312200546,1114.3084312200547,122.13100695610046,142.7065408229828,517.2331635951996,614.2861480712891,747.1152858734131,2000.0,2000.0,999.6121668815613,2000.0,2000.0
reluctant=0,19676.78810787201,1367.678810787201,109.94299793243408,185.0782504081726,585.5039167404175,796.2629427909851,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
reorder=1,17041.349210500717,1104.1349210500716,79.82900667190552,200.61610293388367,418.3920397758484,698.009731054306,704.2950036525726,2000.0,2000.0,940.2073264122009,2000.0,2000.0
reorder=0,15973.805250167847,997.3805250167846,79.81764936447144,234.44059014320374,541.6300032138824,518.981335401535,687.899744272232,2000.0,2000.0,990.7896463871002,920.2462813854218,2000.0
rephase=0,18360.59421467781,1236.059421467781,123.46100354194641,195.99196600914001,657.0732891559601,580.319041967392,803.7489140033722,2000.0,2000.0,2000.0,2000.0,2000.0
restart=0,24076.43004345894,1807.6430043458938,76.4300434589386,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
stable=0,15194.035287618637,919.4035287618638,80.3507034778595,186.73992800712585,381.04749870300293,572.3718140125275,627.1687042713165,2000.0,2000.0,793.5571355819702,552.7995035648346,2000.0
stable=2,24539.05631661415,1853.905631661415,539.056316614151,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
substitute=0,18303.999131917953,1230.3999131917953,104.32450199127197,187.2025122642517,546.1481583118439,733.0701088905334,733.2538504600525,2000.0,2000.0,2000.0,2000.0,2000.0
sweep=0,17044.980028629303,1104.4980028629302,131.80121111869812,200.1871190071106,514.9106450080872,512.3117887973785,744.854306936264,2000.0,2000.0,940.9149577617645,2000.0,2000.0
target=0,18291.75845336914,1229.175845336914,83.07221913337708,143.2687451839447,634.386697769165,666.9307682514191,764.1000230312347,2000.0,2000.0,2000.0,2000.0,2000.0
target=2,22328.57261133194,1632.857261133194,79.56157422065735,249.01103711128235,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
transitive=0,18303.26438331604,1230.326438331604,79.7105712890625,158.31996655464172,563.9793984889984,719.0441932678223,782.2102537155151,2000.0,2000.0,2000.0,2000.0,2000.0
vivify=0,19629.53318119049,1362.953318119049,127.2672472000122,166.51953125,599.6541230678558,736.0922796726227,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
warmup=0,17030.06708097458,1103.006708097458,79.45448875427246,214.65556931495667,495.3285274505615,623.7891218662262,640.9977781772614,2000.0,2000.0,975.8415954113007,2000.0,2000.0
