Config,Score,Mean,4fdcf4248a332c1c9a89d37439c879a9,303480ca7e8322d771c94caf4ebd4e95,828e1066a477e98e8d834528df3fc874,170b13af977e962321c493544b2bd0a9,e6d247292b525447a220323901842e4c,adf6dacdd64c93f9de1aa0eadf427faa,6f7a0e1cf94b6b26eafc08a827a692ce,71ec94c233016219e12d671594dc88e5,e2deb375e56da2360ecd08fc1179fb7d,556cf803f9de4b2ec688825b5ff7e325,385e2c7010a419a9bd47b9258c9d2903,6e5efd19744842d1fa5415173bffbf6b,5f6861053fb4ed4fc0b997cd6b505ef4,0fa8623240b5c14c1308f863a6dc88ab,fa50d69adc71fe4daf7f9088cd02864a,4d2f74ef97b6d40ebd71f85dcb75c543
backbone=0,15033.814588069916,939.6134117543697,7.270762205123901,22.94550085067749,35.1967933177948,43.73342156410217,49.35652565956116,81.52165603637695,143.91384363174438,321.1208441257477,328.75524067878723,2000,2000,2000,2000,2000,2000,2000
backbone=2,15258.239929914474,953.6399956196547,7.2777299880981445,17.369540691375732,35.20751142501831,51.349900007247925,49.24160885810852,69.78050518035889,136.0296812057495,564.3160362243652,327.6674163341522,2000,2000,2000,2000,2000,2000,2000
bump=0,25865.31522679329,1616.5822016745806,78.39643168449402,2000,663.8878247737885,2000,2000,2000,212.5209720134735,2000,910.5099983215332,2000,2000,2000,2000,2000,2000,2000
chrono=0,16722.918564081192,1045.1824102550745,7.275908946990967,27.431846857070923,35.17886519432068,50.72186470031738,63.378928661346436,78.0218780040741,136.01801204681396,2000,324.89125967025757,2000,2000,2000,2000,2000,2000,2000
congruence=0,15353.096711874008,959.5685444921255,5.822454452514648,18.149882555007935,30.142972707748413,41.4384388923645,54.29111194610596,72.67222023010254,92.62954115867615,720.6014351844788,317.3486547470093,2000,2000,2000,2000,2000,2000,2000
eliminate=0,15546.282529830933,971.6426581144333,11.802316188812256,37.05189275741577,32.01608633995056,61.622004985809326,56.903876066207886,90.0017602443695,100.08641314506531,854.9694428443909,301.82873725891113,2000,2000,2000,2000,2000,2000,2000
extract=0,16688.802412748337,1043.050150796771,8.618314027786255,20.252914428710938,32.967618227005005,55.66107749938965,53.86967206001282,80.42034006118774,110.21531748771667,2000,326.7971589565277,2000,2000,2000,2000,2000,2000,2000
factor=0,22554.637600660324,1409.6648500412703,2000,24.505152225494385,2000,57.476024866104126,2000,59.73807168006897,85.27658367156982,2000,327.6417682170868,2000,2000,2000,2000,2000,2000,2000
fastel=0,15530.89403796196,970.6808773726225,5.537035703659058,13.38020944595337,34.358152627944946,55.45838713645935,61.16438031196594,75.60785746574402,135.75619506835938,822.4779787063599,327.1538414955139,2000,2000,2000,2000,2000,2000,2000
forward=0,15160.003888845444,947.5002430528402,6.689114809036255,21.556262969970703,30.59126591682434,50.141550064086914,51.42082071304321,60.744380950927734,113.2307186126709,522.3345844745636,303.29519033432007,2000,2000,2000,2000,2000,2000,2000
lucky=0,15348.65320467949,959.2908252924681,7.8888185024261475,22.149044513702393,34.14783954620361,43.05176019668579,80.74233531951904,75.9520206451416,141.11442685127258,619.0288589000702,324.5781002044678,2000,2000,2000,2000,2000,2000,2000
phase=0,15438.274135351181,964.8921334594488,5.667222023010254,22.29742741584778,31.089187622070312,57.129937171936035,87.7026538848877,103.80419135093689,124.14218950271606,667.1159806251526,339.3253457546234,2000,2000,2000,2000,2000,2000,2000
phasesaving=0,15410.338088035583,963.146130502224,7.011716842651367,36.96041417121887,40.680208921432495,163.01742386817932,51.98860311508179,125.73691868782043,149.7763478755951,475.4493782520294,359.7170763015747,2000,2000,2000,2000,2000,2000,2000
preprocess=0,15026.68045759201,939.1675285995007,6.444255828857422,18.42429828643799,39.74715495109558,41.96331787109375,49.92700529098511,85.24460101127625,64.83870506286621,407.284556388855,312.8065629005432,2000,2000,2000,2000,2000,2000,2000
probe=0,22685.460186719894,1417.8412616699934,2000,20.57770562171936,2000,51.00682973861694,2000,112.81884551048279,139.54484272003174,2000,361.5119631290436,2000,2000,2000,2000,2000,2000,2000
randec=0,16707.556028604507,1044.2222517877817,5.584336996078491,36.367605447769165,42.51044416427612,41.737399101257324,58.59851312637329,85.47901558876038,136.46206831932068,2000,300.816645860672,2000,2000,2000,2000,2000,2000,2000
reluctant=0,15502.6382021904,968.9148876369,7.63500714302063,15.409604787826538,32.84599328041077,32.844735622406006,51.18686604499817,68.8516936302185,145.81570196151733,763.8987007141113,384.1498990058899,2000,2000,2000,2000,2000,2000,2000
reorder=1,15221.412184715271,951.3382615447044,8.229553461074829,31.00658369064331,31.381325244903564,53.55977702140808,60.27027988433838,78.48561239242554,128.58192324638367,512.2797155380249,317.6174142360687,2000,2000,2000,2000,2000,2000,2000
reorder=0,16702.351306438446,1043.8969566524029,5.256358861923218,23.011663913726807,36.88524031639099,53.03571701049805,53.79650115966797,78.93054795265198,103.38677048683167,2000,348.04850673675537,2000,2000,2000,2000,2000,2000,2000
rephase=0,15200.79817867279,950.0498861670494,7.506405591964722,20.633933067321777,30.810210704803467,57.923200607299805,49.443824768066406,74.49606585502625,77.36255621910095,545.0971522331238,337.5248296260834,2000,2000,2000,2000,2000,2000,2000
restart=0,17308.420917749405,1081.7763073593378,9.686680793762207,37.371806621551514,54.63427209854126,87.52249550819397,92.71214509010315,2000,123.58483839035034,566.4880249500275,336.420654296875,2000,2000,2000,2000,2000,2000,2000
stable=0,15267.616248846054,954.2260155528784,5.035186290740967,17.074403285980225,37.14273929595947,28.76451563835144,77.8627028465271,43.78424000740051,76.90331864356995,724.53462433815,256.5145184993744,2000,2000,2000,2000,2000,2000,2000
stable=2,15908.232278108597,994.2645173817873,6.905869722366333,46.071656465530396,29.972613096237183,52.449976205825806,83.40418148040771,252.49122619628906,130.92723298072815,980.1357645988464,325.8737573623657,2000,2000,2000,2000,2000,2000,2000
substitute=0,15351.01081418991,959.4381758868694,6.9356913566589355,29.0909481048584,33.97627806663513,56.953861951828,58.440574407577515,83.1002447605133,239.9475245475769,410.10955905914307,432.45613193511963,2000,2000,2000,2000,2000,2000,2000
sweep=0,15285.920994281769,955.3700621426105,5.993881464004517,21.687795639038086,32.55375695228577,55.44226431846619,65.53448486328125,88.78814101219177,133.14238619804382,559.5765912532806,323.20169258117676,2000,2000,2000,2000,2000,2000,2000
target=0,15626.246702432632,976.6404189020395,9.439101219177246,14.899105072021484,27.887955904006958,49.63297963142395,70.96314454078674,75.27456998825073,109.68626475334167,916.879467010498,351.5841143131256,2000,2000,2000,2000,2000,2000,2000
target=2,15315.853832960129,957.240864560008,8.563618659973145,17.59896159172058,34.10748815536499,60.473174810409546,58.6712863445282,121.11711955070496,74.50431108474731,592.0070369243622,348.81083583831787,2000,2000,2000,2000,2000,2000,2000
transitive=0,15101.412441015244,943.8382775634527,7.279189825057983,26.60207176208496,35.28409028053284,39.619088649749756,49.32660388946533,78.01398968696594,120.19932770729065,418.6100594997406,326.47801971435547,2000,2000,2000,2000,2000,2000,2000
vivify=0,17310.904016017914,1081.9315010011196,7.224639177322388,19.827348709106445,45.063610792160034,51.6101930141449,59.12943649291992,62.78240966796875,129.17338943481445,2000,936.0929887294769,2000,2000,2000,2000,2000,2000,2000
warmup=0,15474.56051826477,967.1600323915482,5.303125858306885,27.23224663734436,31.903208255767822,44.889994382858276,45.38071966171265,77.02213549613953,147.28210496902466,755.350843667984,340.1961393356323,2000,2000,2000,2000,2000,2000,2000
