Config,Score,Mean,f296fe701a562022c0de0cf565fbca7d,eddd68e14d69cce7190b99f4e7abdafb,57f4ea7ab160d996e38e69fac59869c4,ded23680dfeab2879c05bc0e4de21126,3a75ad246dbc750a7391ad887c5b0835,915a25bd189357e4c6d7771b69a6849f,a45a0358685867bd4f1c7f7c0b0e379c,195852083a05edee1902233698eec14a,f376d4c191518ed704326960b6b19a4b,c0e6e6eeebd48ca600cfc7d662fa804c,8b18bb75459a4161633ba2a3c8ee183e,5e1c11b77cdf3717b81b957120f0f477,aa9b67fd19d54ad51b93ee4ba5dc75fc,14e4cfcf0d83b2185fad41684d00d4dc,697c96ac45534726c7dbd96faa11a86a,af05a6b68a1cff165b684d9ff0ae3b3b
backbone=0,8419.670859098434,526.2294286936522,54.430959701538086,83.71883821487427,84.12199115753174,120.78863525390625,123.01052403450012,134.6301429271698,136.22818207740784,186.55752563476562,339.49118089675903,442.71253776550293,536.9102833271027,539.1125435829163,725.9945285320282,911.9629859924316,2000,2000
backbone=2,8420.923441410065,526.307715088129,54.42624282836914,83.8355233669281,84.08029389381409,120.67676568031311,122.72344064712524,134.67909502983093,136.37339520454407,186.62612318992615,339.6197850704193,443.2907030582428,537.0291743278503,538.4917459487915,726.125569820404,912.9455833435059,2000,2000
bump=0,20142.685000181198,1258.9178125113249,141.91222715377808,188.00031566619873,236.46389293670654,341.65282464027405,2000,322.2537751197815,66.90412092208862,845.4978437423706,2000,2000,2000,2000,2000,2000,2000,2000
chrono=0,8421.502173662186,526.3438858538866,54.4264657497406,83.8462541103363,84.06154894828796,120.68706130981445,122.63009786605835,134.6107439994812,136.2898290157318,186.93539929389954,339.3121705055237,444.5841176509857,537.3626091480255,538.4760100841522,725.5705182552338,912.7093477249146,2000,2000
congruence=0,8902.074061632156,556.3796288520098,62.80216097831726,117.75425910949707,98.09917116165161,134.40867805480957,494.47951650619507,162.3651843070984,90.48399376869202,689.779399394989,407.7267153263092,478.0106632709503,704.066002368927,50.297837018966675,733.0164458751678,678.7840344905853,2000,2000
eliminate=0,10515.034382343292,657.1896488964558,89.21223974227905,379.21474504470825,191.9200201034546,229.66648697853088,71.55481600761414,328.12405610084534,108.97012448310852,438.70958948135376,848.1691391468048,907.1510422229767,356.19175004959106,201.94181942939758,2000,2000,2000,364.20855355262756
extract=0,5644.063590764999,352.75397442281246,67.10124349594116,86.4636640548706,134.63995218276978,146.56473660469055,77.13557243347168,209.74895453453064,530.1318891048431,516.2063336372375,511.61567854881287,685.7592713832855,324.39647126197815,273.00050616264343,898.3971924781799,230.34793901443481,43.44574546813965,909.1084403991699
factor=0,10490.990948200226,655.6869342625141,110.2429051399231,45.715357065200806,221.0477373600006,289.67186093330383,207.04866218566895,329.2614276409149,228.82929968833923,343.3750669956207,923.7675001621246,2000,233.11506009101868,2000,2000,69.22968292236328,651.3350517749786,838.3513362407684
fastel=0,6306.557026147842,394.15981413424015,54.46833157539368,28.2919020652771,115.81183314323425,120.60653901100159,122.6248939037323,154.72538948059082,136.30079746246338,186.528822183609,339.38561391830444,484.2868683338165,434.97736954689026,589.5016384124756,911.0493183135986,248.59834504127502,2000,379.3993637561798
forward=0,8199.572190284729,512.4732618927956,64.42570090293884,176.63055992126465,106.88860177993774,172.37245392799377,894.9782583713531,164.5359025001526,342.8343737125397,364.0741617679596,411.43244099617004,511.6897144317627,56.2338445186615,122.36467909812927,730.5613441467285,80.55015420913696,2000,2000
lucky=0,7997.413701057434,499.83835631608963,54.25740838050842,18.7729754447937,90.65391731262207,146.04180145263672,52.77520775794983,158.26012015342712,72.9362211227417,683.2453155517578,404.3429696559906,494.571186542511,33.16693711280823,2000,679.6270051002502,335.47205781936646,773.2905776500702,2000
phase=0,7972.725734949112,498.2953584343195,55.53268527984619,189.09407448768616,96.71445083618164,132.54563736915588,188.83870577812195,173.38811564445496,123.72876238822937,249.328138589859,396.1694984436035,480.027902841568,457.9543423652649,2000,821.910046339035,160.84792518615723,2000,446.6454493999481
phasesaving=0,5850.33701133728,365.64606320858,56.61026906967163,241.94788002967834,115.62282633781433,135.7510950565338,89.87512588500977,221.5414981842041,64.77195501327515,440.09838128089905,400.66378378868103,545.4134981632233,257.3012161254883,347.292147397995,733.3839316368103,88.88194990158081,2000,111.1814534664154
preprocess=0,8714.707552909851,544.6692220568657,55.588834047317505,107.97589588165283,96.6835355758667,124.1213891506195,540.9080832004547,149.38731026649475,109.41634249687195,263.4499924182892,364.1489896774292,414.81041860580444,814.7496390342712,2000,718.5085546970367,2000,439.5464084148407,515.4121594429016
probe=0,14939.865123271942,933.7415702044964,95.77055335044861,77.87037587165833,232.87436175346375,332.86942768096924,134.11957454681396,348.2563319206238,359.1787476539612,129.2187464237213,928.0520141124725,2000,301.65498995780945,2000,2000,2000,2000,2000
randec=0,7678.465824604034,479.90411403775215,56.86412286758423,52.70335078239441,96.04799938201904,117.61244130134583,323.42315435409546,155.67191338539124,46.25269293785095,226.8521590232849,434.4438021183014,401.9991581439972,246.47839617729187,2000,792.5683696269989,219.16070127487183,508.3875632286072,2000
reluctant=0,8326.21763586998,520.3886022418737,65.08393001556396,32.8280143737793,102.04174542427063,134.6505959033966,7.156506776809692,133.96978378295898,41.10979914665222,832.8308818340302,416.8620927333832,542.3684651851654,307.2299256324768,2000,820.2219696044922,2000,668.1837186813354,221.68020677566528
reorder=1,11658.623036384583,728.6639397740364,61.60462665557861,32.21142506599426,110.55023169517517,142.4127926826477,453.94704151153564,154.84838032722473,54.6688334941864,2000,453.72498083114624,583.1452059745789,454.0473804473877,294.9902901649475,862.4718475341797,2000,2000,2000
reorder=0,5574.952971458435,348.4345607161522,54.137701988220215,159.14994025230408,93.8992531299591,146.91122150421143,995.9632773399353,148.64095211029053,8.011691808700562,504.02357745170593,378.7434093952179,468.2448799610138,213.00755190849304,970.9935739040375,644.9822845458984,276.5644760131836,194.8363654613495,316.8428146839142
rephase=0,7377.640615701675,461.1025384813547,74.59671664237976,5.708578824996948,112.42540001869202,137.17227935791016,127.3833019733429,187.82545804977417,328.2465479373932,378.6493983268738,404.6903965473175,477.99339509010315,2000,437.7632772922516,707.3456320762634,371.2894456386566,647.4333708286285,979.1174170970917
restart=0,4593.884152889252,287.11775955557823,54.83760619163513,58.452942848205566,97.6234962940216,132.8597309589386,102.3625876903534,147.29246139526367,0.890918493270874,506.30084705352783,412.41133642196655,579.8131132125854,460.09744811058044,20.301240921020508,625.7253930568695,958.632570028305,127.84805727005005,308.43440294265747
stable=0,13818.972224712372,863.6857640445232,105.10107421875,272.40212392807007,197.151447057724,263.40129137039185,87.86229538917542,274.341970205307,33.6959593296051,885.3194212913513,557.9723663330078,865.2064888477325,276.5177867412567,2000,2000,2000,2000,2000
stable=2,3163.363026380539,197.71018914878368,39.46991324424744,39.75450801849365,80.30257439613342,88.50254249572754,142.1114366054535,126.9565486907959,79.86314177513123,13.872095823287964,286.2803862094879,387.48350167274475,82.18698406219482,45.058640241622925,471.9379189014435,918.692305803299,285.84386920928955,75.04665923118591
substitute=0,5785.098380565643,361.5686487853527,54.37926173210144,162.12026023864746,88.59791159629822,118.48959946632385,102.36399340629578,141.67060136795044,54.329734802246094,2000,374.5039646625519,420.6305329799652,248.12956404685974,507.038645029068,928.3882811069489,326.39173007011414,152.9759488105774,105.08835124969482
