Config,Score,Mean,8b31606e10656ff7eb2936262b647443,3ff114cc7bee4f39fa56a0325e605c2d,9811b95bfd5888014d27e6dd384ff502,945d67baeb7860df648ab6ef4782d5ed,bd19da88800086971e554e9d66bc641d,7b9d8b9b31b530effd634f5a8f1f4411,db4a0d4ba26c46d66ad6cdcb0645a4d9,5cb1ca8fe8a9d9125ea9accd498445f1,e84b00b1f134e0e071a2baf54cfc90e8,7b4622a3ab523264378a560199de47ed,4611cd26b441b8c5866e4a2c5a7952dc,8270ae50e6f2881136868db6d3a88eee,953e9ff735bdf5ada27b0ab2b908b6af,aa4a861240c0c39b5aa44602133ae5e1,2a4680a801ad32ab8768030250daf0c8,ea827f81bd0e9735739adc0d9da1b446
backbone=0,18863.409647464752,1178.963102966547,292.8670105934143,486.2579972743988,518.3181757926941,645.9411599636078,648.1618876457214,678.2721478939056,844.9626834392548,854.062420129776,938.1535270214081,956.4126377105713,2000,2000,2000,2000,2000,2000
backbone=2,18866.111626386642,1179.1319766491652,292.65369629859924,486.7336368560791,517.12264752388,646.2314331531525,647.993088722229,677.5072410106659,845.8445188999176,853.0568060874939,943.6981701850891,955.2703876495361,2000,2000,2000,2000,2000,2000
bump=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
chrono=0,18900.548763751984,1181.284297734499,292.67609906196594,486.5003378391266,517.4556260108948,646.0342507362366,648.037309885025,678.1159162521362,845.4354605674744,853.1668894290924,962.5198266506195,970.6070473194122,2000,2000,2000,2000,2000,2000
congruence=0,18522.62614917755,1157.664134323597,178.9730863571167,511.31341552734375,537.932755947113,367.84612584114075,721.435964345932,722.7421295642853,815.2745778560638,804.0632667541504,942.8522310256958,920.1925959587097,2000,2000,2000,2000,2000,2000
eliminate=0,23410.827577590942,1463.176723599434,309.295250415802,602.6673045158386,624.8472435474396,196.02983689308167,847.5762133598328,830.4117288589478,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
extract=0,18457.43881893158,1153.5899261832237,288.69386315345764,576.7419612407684,544.1055209636688,29.490554571151733,669.9419310092926,788.4508395195007,811.6723675727844,856.4344475269318,937.9546542167664,953.9526791572571,2000,2000,2000,2000,2000,2000
factor=0,18019.897433042526,1126.243589565158,241.59119391441345,492.1210255622864,535.9983696937561,188.70594334602356,623.6054105758667,757.3479011058807,782.3266415596008,872.1990733146667,709.999819278717,816.0020546913147,2000,2000,2000,2000,2000,2000
fastel=0,19885.49830698967,1242.8436441868544,112.88871312141418,522.625650882721,599.1096241474152,2000,597.4475886821747,723.3743689060211,783.1575629711151,782.8258135318756,789.6472947597504,974.4216899871826,2000,2000,2000,2000,2000,2000
forward=0,20112.438619852066,1257.0274137407541,230.89164638519287,494.45788741111755,515.3550865650177,2000,701.9691450595856,721.9628384113312,858.1769452095032,848.6017117500305,814.343608379364,926.6797506809235,2000,2000,2000,2000,2000,2000
lucky=0,19976.203854322433,1248.512740895152,77.89443492889404,512.3473253250122,530.3411784172058,2000,609.4229185581207,672.8242003917694,983.0013077259064,771.1462986469269,874.7591903209686,944.4670000076294,2000,2000,2000,2000,2000,2000
