Config,Score,Mean,41457ee03686b32962c12445524f62a9,1156429862d3c03160406d6d1a786f11,cd86fbfd8b7e0d66ec5fe8fe85c014d3,ec84eecb124c63d4757e083dd0e5a9ff,99d134de6323a845a2828596a48bbb1d,fa5c6d6736a42650656c5bc018413254,578b5e6a2f0b295168cb6c5420810a72,d17aa530bbd09452b0f32daf4ab9c8f0,ff867fd35aa52058382a8b0c21cd1f38,751afd7ddf8f242ed7bd93517ba82149,2dd4b14a8a820e7baa073554ae2c6cb0,87ec32f70c5e3a279e636f7f62e70a19,a6d7268b35eec18656a85ad91b0413e9,03e9d1abe418a1727bbf2ead77d69d02,189e5991b041a89700513106988e720d,644fd765d26bd4a380922ccd0f594c58
backbone=0,30926.69923067093,1932.918701916933,926.699230670929,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
backbone=2,30722.232335805893,1920.1395209878683,722.232335805893,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
bump=0,30619.63904953003,1913.7274405956268,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,619.6390495300293,2000,2000,2000
chrono=0,30721.423900842667,1920.0889938026667,721.4239008426666,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
congruence=0,27200.41184735298,1700.0257404595613,710.7294156551361,2000,2000,789.0448451042175,2000,2000,2000,2000,2000,2000,2000,2000,738.1002323627472,2000,2000,962.5373542308807
eliminate=0,28001.06768989563,1750.0667306184769,673.6993656158447,2000,2000,576.8812673091888,2000,2000,2000,2000,2000,2000,2000,2000,750.4870569705963,2000,2000,2000
extract=0,28968.30625963211,1810.519141227007,721.6157522201538,2000,2000,246.6905074119568,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
factor=0,28358.54001879692,1772.4087511748075,959.2538526058197,2000,2000,502.22813153266907,2000,2000,2000,2000,2000,2000,2000,2000,897.058034658432,2000,2000,2000
fastel=0,29170.064158678055,1823.1290099173784,2000,2000,2000,240.51974177360535,2000,2000,2000,2000,2000,2000,2000,2000,929.5444169044495,2000,2000,2000
forward=0,29347.323388814926,1834.2077118009329,505.44853138923645,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,841.8748574256897,2000,2000,2000
lucky=0,28210.714403390884,1763.1696502119303,907.7692000865936,2000,2000,393.7464089393616,2000,2000,2000,2000,2000,2000,2000,2000,909.1987943649292,2000,2000,2000
phase=0,26731.36227607727,1670.7101422548294,747.4655158519745,2000,2000,180.94775247573853,2000,2000,2000,2000,2000,2000,2000,2000,837.0347096920013,2000,2000,965.9142980575562
phasesaving=0,29454.169146299362,1840.8855716437101,2000,2000,2000,696.4222238063812,2000,2000,2000,2000,2000,2000,2000,2000,757.746922492981,2000,2000,2000
preprocess=0,29358.526657104492,1834.9079160690308,2000,2000,2000,502.40293860435486,2000,2000,2000,2000,2000,2000,2000,2000,856.1237185001373,2000,2000,2000
probe=0,29042.760489463806,1815.1725305914879,2000,2000,2000,215.2043261528015,2000,2000,2000,2000,2000,2000,2000,2000,827.5561633110046,2000,2000,2000
randec=0,27687.937388420105,1730.4960867762566,824.50443816185,2000,2000,149.47639346122742,2000,2000,2000,2000,2000,2000,2000,2000,713.9565567970276,2000,2000,2000
reluctant=0,28280.30638360977,1767.5191489756107,866.4429838657379,2000,2000,551.7396624088287,2000,2000,2000,2000,2000,2000,2000,2000,862.1237373352051,2000,2000,2000
reorder=1,29262.079676151276,1828.8799797594547,2000,2000,2000,420.81889152526855,2000,2000,2000,2000,2000,2000,2000,2000,841.2607846260071,2000,2000,2000
reorder=0,29531.96217608452,1845.7476360052824,845.0369906425476,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,686.9251854419708,2000,2000,2000
rephase=0,29443.485362529755,1840.2178351581097,544.8392796516418,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,898.6460828781128,2000,2000,2000
restart=0,30683.044172763824,1917.690260797739,2000,2000,2000,683.0441727638245,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
stable=0,25652.15563106537,1603.2597269415855,189.57327842712402,2000,2000,262.71385502815247,2000,2000,2000,2000,2000,2000,2000,2000,659.2181899547577,2000,2000,540.6503076553345
stable=2,29263.034640550613,1828.9396650344133,2000,2000,2000,666.2733867168427,2000,2000,2000,2000,2000,2000,2000,2000,596.7612538337708,2000,2000,2000
substitute=0,28229.97029185295,1764.3731432408094,779.9503262042999,2000,2000,554.8259937763214,2000,2000,2000,2000,2000,2000,2000,2000,895.1939718723297,2000,2000,2000
sweep=0,30711.844872236252,1919.4903045147657,711.8448722362518,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
target=0,27580.18489074707,1723.761555671692,544.2722065448761,2000,2000,397.444454908371,2000,2000,2000,2000,2000,2000,2000,2000,638.4682292938232,2000,2000,2000
target=2,28985.36573457718,1811.5853584110737,2000,2000,2000,146.06407809257507,2000,2000,2000,2000,2000,2000,2000,2000,839.3016564846039,2000,2000,2000
transitive=0,30881.082757472992,1930.067672342062,881.082757472992,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
vivify=0,30926.862469911575,1932.9289043694735,926.8624699115753,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
warmup=0,28278.835710287094,1767.4272318929434,636.3993055820465,2000,2000,924.3280582427979,2000,2000,2000,2000,2000,2000,2000,2000,718.1083464622498,2000,2000,2000
