Config,Score,Mean,2d0c041c0fe72dc32527bfbf34f63e61,f50eaf02a8041510b64104998cc81d2f,3bf8ba6bb4e4ea9ad08b1b058661ba2e,f054205a7cef98e5021016f864c69816,e6cdc2687fa53506021f05b60ad0c6a2,1009c791cee542cdf19651fe25e6881a,abe802007c9aed4eab2e758fb130174b,f32bb347996c351bc3e9a91c58e8601d,b3f53d4c67b234d27e21f5e56bfd39e8,fee70cede2b5b55bfbdb6e48fbe7ce4f,1ce81dbba1292bf791e194b17aa2a219,91e0db01b254eb78f6643328045bfeb9,c2bfe541b7cff948fa3193e9ca0eddee,b3c587501567db72e6e66c6930cf15ed,03a43a7ea55217f53542ed3f029963af,5690b9b0380aa9508699e56cae5918b5
backbone=0,15520.200987815857,970.0125617384911,7.305759429931641,13.03229808807373,23.969598054885864,39.112913370132446,78.7688639163971,110.83561110496521,681.9357991218567,788.0580368041992,859.225711107254,917.956396818161,2000,2000,2000,2000,2000,2000
backbone=2,16373.50526356697,1023.3440789729357,7.313767671585083,13.013818979263306,30.06252670288086,46.82448148727417,78.86643362045288,32.898520946502686,749.6654019355774,2000,857.3680834770203,557.4922287464142,2000,2000,2000,2000,2000,2000
bump=0,27671.784698724747,1729.4865436702967,816.3127818107605,2000,2000,2000,137.12219953536987,2000,718.3497173786163,2000,2000,2000,2000,2000,2000,2000,2000,2000
chrono=0,17546.50542807579,1096.656589254737,7.313446283340454,122.76167583465576,41.366801738739014,163.3100826740265,81.45905900001526,42.750831604003906,750.56201338768,336.98151755332947,2000,2000,2000,2000,2000,2000,2000,2000
congruence=0,15536.542176246643,971.0338860154152,7.309459209442139,120.67641925811768,85.3839967250824,26.0233097076416,88.32678508758545,49.35308074951172,513.0420706272125,2000,2000,576.892557144165,2000,2000,69.53449773788452,2000,2000,2000
eliminate=0,15859.461101293564,991.2163188308477,180.2325143814087,35.75015592575073,134.12031507492065,236.61109566688538,186.65129446983337,321.0419476032257,481.72654938697815,2000,2000,174.57402515411377,2000,2000,108.75320363044739,2000,2000,2000
extract=0,14470.803464651108,904.4252165406942,7.307464361190796,151.85619974136353,57.7272367477417,95.53680682182312,135.34810709953308,90.21861696243286,364.33799052238464,232.03187012672424,2000,810.2629699707031,2000,2000,526.1762022972107,2000,2000,2000
factor=0,15448.097788095474,965.5061117559671,7.31159234046936,74.62859177589417,19.81886386871338,25.7624773979187,148.58591508865356,38.82477688789368,572.0513718128204,700.9458403587341,942.2431139945984,2000,2000,2000,917.9252445697784,2000,2000,2000
fastel=0,16719.76158595085,1044.9850991219282,7.318513631820679,40.089834451675415,33.72615885734558,84.08010482788086,82.87194323539734,47.70411705970764,811.2563571929932,2000,2000,695.1861746311188,2000,2000,917.528382062912,2000,2000,2000
forward=0,14858.694483995438,928.6684052497149,7.308581590652466,578.817141532898,44.09716057777405,104.30862760543823,84.54871964454651,44.1711483001709,695.8608989715576,2000,583.7710282802582,242.51985001564026,2000,2000,473.29132747650146,2000,2000,2000
lucky=0,15902.377168893814,993.8985730558634,245.91770219802856,396.83565974235535,82.10517144203186,82.01818037033081,279.24566531181335,30.32642936706543,552.9953908920288,984.7577617168427,2000,529.1216149330139,2000,2000,719.0535929203033,2000,2000,2000
phase=0,14588.220675945282,911.7637922465801,7.1103222370147705,70.52540063858032,26.68086838722229,100.92383098602295,34.604840993881226,70.28556728363037,685.7411773204803,336.484703540802,2000,2000,2000,2000,342.10212898254395,2000,2000,913.7618355751038
phasesaving=0,14885.41175699234,930.3382348120213,121.92662930488586,42.528931856155396,27.10419797897339,47.94369864463806,22.670642852783203,98.888507604599,2000,88.93839907646179,2000,63.95823287963867,2000,2000,371.4525167942047,2000,2000,2000
preprocess=0,17312.132226228714,1082.0082641392946,83.18771409988403,183.94294595718384,26.7687885761261,76.07455158233643,105.57371878623962,38.90391659736633,2000,496.44141697883606,2000,2000,2000,2000,301.2391736507416,2000,2000,2000
probe=0,16709.644389390945,1044.352774336934,179.9136037826538,12.635798454284668,36.521711111068726,111.84986352920532,184.00129222869873,28.67898917198181,2000,998.572051525116,2000,2000,2000,2000,250.3633952140808,2000,2000,907.1076843738556
randec=0,13458.573449850082,841.1608406156301,169.27065134048462,348.6058671474457,42.86196684837341,27.49933958053589,82.15181922912598,42.807536363601685,474.2674021720886,304.74129343032837,732.0269892215729,386.511203289032,2000,2000,2000,2000,2000,847.8293812274933
reluctant=0,15920.350017547607,995.0218760967255,126.12665009498596,65.03057670593262,31.994266748428345,46.406434774398804,94.04396462440491,42.951560735702515,572.6292953491211,622.3709771633148,2000,2000,2000,2000,318.79629135131836,2000,2000,2000
reorder=1,15299.404777526855,956.2127985954285,180.4034297466278,141.67253160476685,30.82684016227722,80.80116748809814,24.484293937683105,72.58650493621826,570.3986582756042,2000,2000,190.35780906677246,2000,2000,7.873542308807373,2000,2000,2000
reorder=0,17854.82699084282,1115.9266869276762,333.9672875404358,312.7672266960144,22.60533380508423,34.64239168167114,116.07150220870972,59.83065938949585,2000,2000,2000,513.5384130477905,2000,2000,461.40417647361755,2000,2000,2000
rephase=0,19292.995050668716,1205.8121906667948,2000,30.052489042282104,51.03705334663391,47.66033601760864,111.88335537910461,43.484930992126465,504.6907534599304,2000,2000,504.1861324310303,2000,2000,2000,2000,2000,2000
restart=0,18354.79076218605,1147.1744226366282,364.49206805229187,662.6450219154358,37.54885506629944,99.12014269828796,22.287611722946167,57.91202354431152,2000,661.2193739414215,2000,2000,2000,2000,2000,2000,2000,449.56566524505615
stable=0,16704.72163629532,1044.0451022684574,2000,718.6114146709442,127.59687757492065,167.9541745185852,74.17374992370605,63.029855251312256,251.1651623249054,2000,647.5001895427704,353.87757754325867,2000,2000,300.81263494491577,2000,2000,2000
stable=2,16990.09822654724,1061.8811391592026,203.55504417419434,311.37794280052185,25.561380624771118,72.33514881134033,131.6511390209198,23.668123722076416,804.9537391662598,904.1175076961517,2000,512.8782005310059,2000,2000,2000,2000,2000,2000
substitute=0,18198.753499269485,1137.4220937043428,58.24716925621033,12.839262247085571,46.573407888412476,64.10725212097168,78.54604482650757,65.8968620300293,973.4622709751129,899.0812299251556,2000,2000,2000,2000,2000,2000,2000,2000
sweep=0,19099.346802949905,1193.709175184369,7.1078104972839355,12.455678224563599,49.75784659385681,23.621129989624023,77.68637204170227,76.68226790428162,2000,2000,852.0356976985931,2000,2000,2000,2000,2000,2000,2000
target=0,18101.70500922203,1131.356563076377,332.6673364639282,381.9626841545105,40.10527181625366,78.4575583934784,40.49652981758118,41.48358392715454,712.617002248764,2000,2000,2000,2000,2000,473.9150424003601,2000,2000,2000
target=2,15579.742943286896,973.733933955431,79.02571487426758,54.71592473983765,39.8585102558136,50.67498159408569,40.28823232650757,26.054514408111572,2000,2000,882.3107962608337,2000,2000,2000,105.06528997421265,2000,2000,301.7489788532257
transitive=0,17589.11790895462,1099.3198693096638,7.319487571716309,67.00528502464294,40.61494851112366,43.53852915763855,24.410367488861084,56.93579435348511,589.9280245304108,2000,2000,759.365472316742,2000,2000,2000,2000,2000,2000
vivify=0,17778.782497167587,1111.1739060729742,82.0848662853241,756.5256116390228,14.696243524551392,21.922868967056274,79.37262058258057,48.69387745857239,2000,2000,2000,606.2384331226349,2000,2000,169.24797558784485,2000,2000,2000
warmup=0,13394.707326173782,837.1692078858614,33.68655252456665,708.3678197860718,22.133768320083618,13.758020877838135,69.49799418449402,57.214261054992676,958.6567673683167,147.939306974411,2000,486.43673300743103,2000,229.64055943489075,2000,2000,2000,667.375542640686
