Config,Score,Mean,425c81fc3af7f5124b6282583d80df11,1e74212168124b696531fed471b480b1,d1940d3d830eb16a7d2270ca4af4acba,16ca57f2cdffd5b0260fc771017e1f04,4f2d6659b5c9bf594ea12e3e1a85799f,9a06700729bf3426beb8a62040f92960,db15a85651e0d941a11bf8640625edd8,1eea3d913d346b900252d77fc0cb25c8,3184e52e950ac39095a801c418f68d50,a5dc6226e4c0bebb06926efe55640995,d11944fbca2dd6540f18bd05b6ccda0c,16c5482d8e658b54e20d59cfd4b1d588,8ffd718f763ed7a3f691cf46e57f8d98,7db30d12cb06f0dc2f30abff80d96d6a,23daec2c71ce3c1e346e6042f3dc42eb,04ded94454830d4ea960327e8b91f5a3
backbone=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
backbone=2,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
bump=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
chrono=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
congruence=0,30628.479656934738,1914.2799785584211,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,628.4796569347382
eliminate=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
extract=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
factor=0,29006.458951234818,1812.903684452176,2000,2000,940.9836137294769,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,65.47533750534058
fastel=0,30445.697143793106,1902.8560714870691,2000,2000,445.6971437931061,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
forward=0,30742.64084339142,1921.4150527119637,2000,2000,742.6408433914185,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
lucky=0,29134.917505979538,1820.9323441237211,2000,2000,899.05553150177,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,235.86197447776794
phase=0,28746.906616449356,1796.6816635280848,2000,2000,533.0407023429871,2000,2000,2000,2000,2000,2000,2000,2000,2000,213.86591410636902,2000,2000,2000
phasesaving=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
preprocess=0,30919.70708346367,1932.4816927164793,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,919.7070834636688
probe=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
randec=0,29498.653141498566,1843.6658213436604,2000,2000,725.1716196537018,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,773.4815218448639
reluctant=0,30685.318039655685,1917.8323774784803,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,685.3180396556854
reorder=1,28916.85888528824,1807.303680330515,2000,2000,465.1247351169586,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,451.7341501712799
reorder=0,28231.10926938057,1764.4443293362856,2000,2000,177.01917004585266,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,54.0900993347168
rephase=0,28867.74657344818,1804.2341608405113,2000,2000,458.07307171821594,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,409.6735017299652
restart=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
stable=0,28701.888615131378,1793.8680384457111,2000,2000,434.41905069351196,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,267.4695644378662
stable=2,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
substitute=0,29074.56298685074,1817.1601866781712,2000,2000,741.5545501708984,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,333.0084366798401
sweep=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
target=0,30303.815701961517,1893.9884813725948,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,303.81570196151733
target=2,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
transitive=0,29633.553744077682,1852.0971090048552,2000,2000,672.070111989975,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,961.4836320877075
vivify=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
warmup=0,30077.386483430862,1879.836655214429,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,77.38648343086243
