Config,Score,Mean,7429e380834066c206394139c9e1e17d,3ed56242f55e3653dbceeb4a70221787,71a3dd6156463c0c55c4b38394faa753,16c27d738cb45b766b8823ca4f428cf0,e99e266b422513a2898c13898a1de501,c9f511adbb3d6e1b37b410f972f270c6,82d9e8d2cfea101dfe52c8359b7bb163,be18894105e006399cc018abc14b204f,f16b7329ef5728f722c291156b3b098e,1a1c9d1dc1ae7fcff92e3c3499864b75,170a7d847694ee4cfa5c421757672882,695e287a447fcdd924985a6e73057a38,38833d6a1ff6a56ef22bd2dc1e3fdde7,1b0f4ff7984b8d4cf2873200fb1680fb,94571e8a1081385029d1ecd53ffcdf8e,0bad2ce307bf5b68db26fa34e252c9d4
backbone=0,20957.47584795952,1309.84224049747,12.167787790298462,88.1589822769165,386.2894673347473,395.75627541542053,424.1941788196564,713.9467384815216,936.9624178409576,2000,2000,2000,2000,2000,2000,2000,2000,2000
backbone=2,18856.247972726822,1178.5154982954264,12.04025912284851,88.16507315635681,826.4127190113068,395.173725605011,424.3039240837097,714.4929754734039,941.3365173339844,471.8481104373932,2000,982.4746685028076,2000,2000,2000,2000,2000,2000
bump=0,32000.0,2000.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
chrono=0,20879.301664114,1304.956354007125,87.41944718360901,428.4796850681305,454.4377942085266,357.1838262081146,124.30971813201904,700.1790924072266,2000,2000,2000,2000,2000,2000,2000,2000,2000,727.2921009063721
congruence=0,22911.273540973663,1431.954596310854,230.50755405426025,863.4188072681427,786.065104007721,2000,751.0190422534943,686.2030918598175,928.2917468547821,2000,2000,2000,2000,2000,2000,2000,2000,665.7681946754456
eliminate=0,23717.895452976227,1482.3684658110142,12.019199132919312,135.69944643974304,377.17656540870667,2000,263.50032687187195,929.4999151229858,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
extract=0,20258.765228509903,1266.172826781869,12.054681062698364,87.31538939476013,824.5141983032227,2000,229.72409915924072,713.4982919692993,940.842214345932,471.1617908477783,2000,979.6545634269714,2000,2000,2000,2000,2000,2000
factor=0,23498.281539916992,1468.642596244812,333.4130253791809,994.6212482452393,220.30523777008057,2000,324.3060128688812,630.259551525116,2000,2000,2000,995.3764641284943,2000,2000,2000,2000,2000,2000
fastel=0,23027.785247325897,1439.2365779578686,653.7367541790009,492.74007391929626,377.4572958946228,2000,375.4493260383606,760.4870119094849,2000,367.91478538513184,2000,2000,2000,2000,2000,2000,2000,2000
forward=0,24085.348234176636,1505.3342646360397,12.046936988830566,802.9724109172821,239.96095514297485,2000,316.3649859428406,714.0029451847076,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
