Score,62c763bdf8d351b15df3a4d62a03eba0,d3893e43819a907055a84e48a6ee97ba,c8e64404361f2426490d39459832c66a,282a02a1743eb47c6b340e52ecce40a2,aceab5a3452e2901e645065bda3e8847,812926407774771b3bd9885f7bfa4841,0cace8a29a1d6b225a8da561d35e8f5a,c6e03256680b96b52e3345a497333c2b,26b648475cfd06695a17ac95f4469744,210fe1c0ffefde5bcd03d59b1efa6984,88e89266e58f1f125ebc4e0f66e2c060,a14d9ee17051ec08a4334ba43089502c,385042a6042a0df5ddfec6e17f285ae7,e371cd7cdde3e7ccb9834290fd4a92d0,0a02751cacf5e1cdfcc842a7f220199f,778e0fd8f034b7cfd539b1b523ed4c4a,38ca761a5808eace8bc8f1fcfdb5b5a8,5ab3040d8617bf9f4d4cef4e56dcfd03,1545660e72158c7e90da5ad4c877a124,e06be7a69dbd6d6866a2799cd40c4bfe,0ae0c5a4fb9001d63669a0aa5b592167,8d4b50ec0cf99097e9ab0835937afee5,912ce8c21d8fb8abc491cb205ec23e9f,f70788e8446c1bc42684316de0a6c164,b76fa2f50a42120ec54fa98c29113326,3663000b31a5c80922afc6e48322accb,31bb67fe67e57dbeb8c4819b01892588,017ba03ed108f492c9293c7c95e5cae9,25447f441df2f134223d3e43319c99ad,f0426369f61595aee97055965ee7e6a3,dacb03ea801d459ef08db23a8b1d104f,e38601380bfbab35dd8c5927283533fb
70497.12475442886,2.596803665161133,4.798157453536987,82.73872971534729,130.7679886817932,166.49038743972778,177.18397068977356,181.8590431213379,188.73372626304626,397.6777153015137,568.6016483306885,768.9750173091888,989.902961730957,1005.0468029975891,1031.7518017292023,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
62698.635704517365,1.0314078330993652,3600,118.46052670478821,172.19171977043152,230.23544669151306,260.759507894516,287.84668827056885,3600,3600,3600,3600,408.370712518692,3600,3600,0.2187497615814209,3600,3600,3600,0.28767871856689453,1.4933781623840332,3600,8.430853843688965,0.3108229637145996,1.3842658996582031,3600,3600,5.500326871871948,3600,3600,2.1136186122894287,3600,3600
69250.61353564262,339.826434135437,276.3071575164795,3.9882965087890625,27.947025299072266,41.69391584396362,48.36800694465637,57.87445783615112,164.62400150299072,101.14962410926819,692.7357511520386,442.6732313632965,32.92768383026123,3600,938.0118772983551,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,1282.4860723018646,3600,3600,3600,3600,3600,3600
40488.73290491104,0.28350353240966797,0.5785770416259766,20.155049562454224,24.920112133026123,29.504446029663086,32.825523853302,36.851428270339966,3600,131.895902633667,160.35372495651245,96.57965517044067,168.60189938545227,3600,164.01356673240662,0.25394225120544434,3600,3600,3600,0.31230950355529785,1.6641969680786133,3600,9.328084468841553,0.33690810203552246,1.6166441440582275,3600,0.21873211860656738,6.121652841567993,3600,3600,2.317045211791992,3600,3600
40239.10470581055,2.0992777347564697,3600,4.871315956115723,29.590025901794434,38.89482498168945,43.99687957763672,52.34750294685364,167.19581484794617,638.9406502246857,802.4802496433258,436.0902361869812,40.11255097389221,1509.703617811203,304.166752576828,1.0335044860839844,3600,3600,3600,0.5737392902374268,6.02483868598938,3600,144.37280464172363,0.944303035736084,4.1106061935424805,3600,1.2922887802124023,7.330902338027954,3600,3600,2.932018995285034,3600,3600
90558.15514779091,0.28962111473083496,0.6115930080413818,434.9613115787506,21.535249710083008,29.385980367660522,33.63671016693115,37.734681844711304,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
81331.93081092834,0.2873265743255615,0.5938379764556885,13.881043910980225,22.328421115875244,29.107393503189087,33.785008907318115,36.78257989883423,199.45413661003113,3600,162.43840098381042,3600,3600,1633.272661447525,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
65220.90722298622,20.63847064971924,59.94045352935791,26.50269389152527,26.377183198928833,34.151944398880005,37.66710090637207,43.0768826007843,3600,239.87661504745483,650.5265762805939,252.35759902000427,457.1274416446686,289.5967297554016,427.3044922351837,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,808.158323764801,3600,3600,647.6047160625458
64731.752502441406,0.2886214256286621,0.6002068519592285,37.22834014892578,22.356881856918335,29.805774688720703,33.602214336395264,36.137916564941406,222.22878527641296,520.7746939659119,116.51148009300232,70.39701294898987,542.7715177536011,1767.6417300701141,120.40734028816223,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,10.999986171722412,3600,3600,3600,3600,3600,3600
82619.6825170517,20.865784168243408,233.2268409729004,50.478490114212036,3600,3600,3600,903.097484588623,3600,511.4338092803955,93.55998182296753,85.29376173019409,816.4883387088776,544.5795683860779,160.65845727920532,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
67517.29143190384,3600,3600,39.11578106880188,268.6404263973236,266.03991889953613,285.8071608543396,283.6054000854492,164.75280928611755,260.3780791759491,440.9043519496918,253.99504232406616,352.8443212509155,524.1952679157257,497.1618928909302,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,1.1937344074249268,3600,3600,1733.1917629241943,3600,3600,945.4654824733734
72384.00486588478,0.28638243675231934,0.5912833213806152,13.772587060928345,22.188655138015747,29.64187741279602,33.4403235912323,36.31087040901184,3600,53.80143475532532,46.024099826812744,29.69856286048889,67.77962255477905,3600,50.46916651725769,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72724.78203511238,0.2827603816986084,0.6028735637664795,36.65378212928772,22.09343719482422,30.145244121551514,33.66490578651428,37.50888156890869,243.97027587890625,3600,813.8981866836548,359.15044617652893,3600,1784.2110567092896,955.0198624134064,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,7.580322504043579,3600,3600,3600,3600,3600,3600
