Score,8d31ec9edeac705ffd1b23f0cc4f3256,8bcd3f3e269fa3c9516667b626d61602,70ce0cff914efdc48f2a8fe86b5c68c6,10196804504080e7107809a2e5b3bfcc,a811388cc92def6ef2d639dc062d456c,f26f199564d6ffac7e700c2e66470ec0,5918f1624d4dfd964227356786a4e9ec,8b797110ff321ee673eab1542069f192,4a6a797c6b4a8055d10b74edda9a5e30,f57aba96bfed8f8a8b860eba1a8f1ea5,7d58f2f0c79cbcad0496ced184ba0680,deef4e5f8bf88393cea9589dff97d70c,a98d77ba9d3fbe8b7c55cbf75b2b43a8,a09a2d7397732447bdcc9651973767b7,428da12ab8f5f68ae261e6468c2fef73,00b46ace235e3915a439c77a231a5657,71cf538aa0751d27f144de9c8d82e458,af5838e83024d2dee3942be8d8e35fec,7dc81d3cb9066f8bc06ceffbca237572,b157aeb75aec9158fed9e16d7fd2da57
55451.30411362648,24.59569811820984,81.6232922077179,154.18520975112915,168.99571704864502,1021.9041965007782,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
57412.19496631622,358.27398705482483,89.91086006164551,274.4917848110199,3600,992.7256948947906,1696.7926394939423,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
56656.40059423447,271.552161693573,40.364492416381836,429.9183053970337,3600,842.0464644432068,3600,3600,3600,3600,3600,1072.5191702842712,3600,3600,3600,3600,3600,3600,3600,3600,3600
69231.42972183228,3600,3600,3600,831.4297218322754,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
69085.43450188637,3600,3600,3600,3600,685.4345018863678,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
67526.68390274048,3600,1737.3428463935852,989.3410563468933,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
66061.12042450905,3600,1223.3867716789246,3600,37.7336528301239,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
68599.72305727005,199.72305727005005,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
