Score,71758ed7637888d4fd4593ec820677bc,751402d0738e5622b599c651283cb48a,af3d5273605b21b9d4c56dd46cbf366a,cea96962ebd736646af54d950943d909,faeb113864d97ea4cb3f01f95d2fe92f,1a40d2d8c589799a0d267cae03fcd4c5,9de6ddddf7fde06bf2efd955e2bd1a83,c1324a6876269ee93890e266fe214557,d84a89fb1bc1ff37dc4737867257b290,63159b6b10c3d6832bd5944e05d78b11,ed76b075cdf07435c6e4f6203dd10cb7,68649ac2830edad5d0dc7e3d13935132,bca01a49805df3399a0438191019e417,a18b6fbdfee43c007e07dedf15477797,a4941208671f6ebfd118e4e563538c31,eecdcc36d35f06224cc972cbb08de804,eec821f866557886a5b0352332943fa2,f35ed23733431177436a1e7797c07dfe,c1b5c3d1016de7baeb0ddb3a2ab2d891,c0069efa0c924e416878d9426f1ef92e
6108.829006195068,5.822761535644531,26.05692720413208,27.281805276870728,52.249677896499634,53.485034227371216,54.59779715538025,57.18367862701416,99.4824788570404,100.63229489326477,105.41646790504456,173.88072180747986,255.05733585357666,263.16701579093933,263.7923676967621,352.72229528427124,371.14935326576233,382.56200766563416,518.0015406608582,1459.8372249603271,1486.450219631195
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
3504.9705407619476,32.724979639053345,21.477458477020264,40.682599782943726,33.63853573799133,154.03425645828247,63.8460853099823,41.34594964981079,82.09888219833374,139.91780042648315,41.1421160697937,101.93721747398376,40.094738721847534,13.70809006690979,286.0897538661957,78.27008724212646,63.95675587654114,94.7013475894928,1670.0283312797546,430.06536650657654,75.21018838882446
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
14235.812466859818,68.89311194419861,136.9961018562317,98.15517258644104,39.816567182540894,35.23740363121033,39.213876247406006,81.67842316627502,219.5131344795227,155.31616020202637,142.24687552452087,73.74051928520203,141.5207679271698,255.63474369049072,141.92123413085938,3600,3600,79.13270688056946,3600,138.5734577178955,1588.222210407257
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
9897.625965356827,86.68895173072815,148.5726981163025,271.2915954589844,81.28167819976807,85.9403612613678,45.464569330215454,164.46725225448608,162.43587183952332,85.61286282539368,90.7629406452179,87.6345283985138,40.22260785102844,398.987655878067,92.04153680801392,1252.5694308280945,1065.2424654960632,87.78427767753601,1683.1383845806122,3600,367.4862961769104
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
7880.504687070847,13.6916823387146,68.11070275306702,78.36690998077393,45.63160419464111,41.3397011756897,73.75977778434753,754.2960104942322,86.9230170249939,85.41680550575256,92.0635895729065,230.8367030620575,137.52764463424683,95.34828877449036,93.94566488265991,3600,78.56361842155457,11.713059186935425,960.8410475254059,1224.1852886676788,107.94357109069824
15290.247374296188,68.46678853034973,81.21265959739685,78.90691232681274,79.59010434150696,135.5581455230713,36.8651065826416,249.21997570991516,149.76547741889954,152.89710927009583,76.45766520500183,42.01285934448242,80.39937257766724,262.6848855018616,75.05208110809326,3600,1690.8088026046753,36.9533634185791,1193.396065235138,3600,3600
11642.635839223862,47.582082748413086,86.70347499847412,50.61276412010193,21.917881727218628,144.35038471221924,46.81590914726257,231.67127346992493,88.77781939506531,48.42170763015747,88.01062846183777,232.9337821006775,88.64694881439209,95.05989503860474,53.29577922821045,3600,1525.8449220657349,147.79856991767883,3600,1228.523790359497,215.6682252883911
11201.864015102386,162.46064162254333,55.97748684883118,57.62691307067871,9.493483543395996,54.07912540435791,25.509865522384644,385.6699903011322,168.0133776664734,165.88438081741333,26.883141040802002,963.7844574451447,162.70060300827026,27.2435884475708,175.31515741348267,931.1070647239685,1504.0423531532288,26.466129541397095,1169.6561510562897,3600,1529.9501044750214
11627.048149347305,36.27902293205261,81.52609467506409,244.02324080467224,39.65537619590759,37.41198420524597,37.906590700149536,88.24874234199524,72.33147144317627,90.4809262752533,39.56256604194641,233.68164086341858,84.46206068992615,89.26472091674805,141.84699988365173,3600,351.6456387042999,256.58729457855225,1585.760721206665,3600,916.3730568885803
17428.373539447784,86.52988624572754,47.80490469932556,94.09292459487915,47.97431206703186,48.392491579055786,142.81841111183167,51.30911421775818,91.44653749465942,219.55649137496948,463.4376039505005,152.52410650253296,47.789499282836914,56.48177480697632,158.10271787643433,3600,1268.68306183815,51.429701805114746,3600,3600,3600
11476.724682331085,87.61343598365784,13.936761140823364,180.7592852115631,97.19946146011353,181.7399082183838,94.3405830860138,98.83060455322266,41.14012384414673,292.1692855358124,177.0815613269806,102.82319617271423,106.22579002380371,96.94931507110596,47.70540642738342,3600,853.5005521774292,97.59521865844727,3600,568.4550321102142,1138.6591613292694
7885.493840456009,13.793022394180298,67.8309338092804,78.37163186073303,45.58944535255432,41.24722599983215,73.8669822216034,759.167487859726,86.81211805343628,85.53244161605835,90.0207462310791,227.2326443195343,140.01164984703064,94.80722141265869,93.6688768863678,3600,77.27093195915222,11.825279951095581,960.3342161178589,1229.2639889717102,108.84699559211731
10642.594185352325,86.83202791213989,408.0432925224304,92.06206846237183,43.69671368598938,88.90585684776306,85.41931509971619,412.9862983226776,46.07260179519653,425.74258303642273,48.88760185241699,3600,43.99578642845154,89.11452531814575,283.7403769493103,770.4660205841064,95.25229358673096,84.12959718704224,3600,88.55461859703064,248.69260716438293
5215.768847465515,15.130156993865967,40.793782234191895,365.3507971763611,242.81806826591492,373.86756348609924,70.74449372291565,263.7268090248108,258.51493978500366,240.69219994544983,135.77663016319275,342.96530389785767,143.79117560386658,31.143218278884888,504.85561537742615,142.04645895957947,34.4153687953949,135.40978169441223,524.3148219585419,83.11800527572632,1266.2936568260193
5883.910198688507,33.24951529502869,76.59214997291565,244.27932119369507,85.68245244026184,139.98898839950562,36.13132953643799,144.13678336143494,239.3712718486786,13.507121562957764,35.29389047622681,411.55307960510254,34.89764356613159,364.6711006164551,251.74984192848206,808.7873604297638,427.73257279396057,15.30465579032898,1615.5961787700653,167.25401067733765,738.1309304237366
5587.165340662003,32.65657925605774,50.66989207267761,52.479039907455444,49.24604249000549,25.956172943115234,49.2681610584259,94.65745663642883,88.85552334785461,95.74030685424805,197.27915263175964,245.88870239257812,91.54642295837402,26.005033493041992,161.85726165771484,283.5803656578064,262.42836141586304,9.14135217666626,3600,93.17767643928528,76.73183727264404
7334.184274673462,79.47383689880371,133.34236645698547,71.33508610725403,82.63547396659851,81.86098194122314,75.47453665733337,145.07738137245178,142.50712895393372,91.92275810241699,94.21544623374939,96.6388909816742,37.56212520599365,40.857980489730835,162.13890075683594,128.08781743049622,210.77705311775208,93.6834876537323,3600,1026.400274515152,940.1927478313446
6549.430485486984,25.646305561065674,50.92795729637146,28.551049947738647,52.82275080680847,52.444133281707764,49.343114376068115,27.883787393569946,26.339696645736694,165.33390140533447,96.92967009544373,167.34614872932434,50.674192667007446,165.4919183254242,96.20579242706299,658.4623756408691,180.21426630020142,56.3604371547699,3600,653.7364954948425,344.71649193763733
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
8866.637355804443,94.82595562934875,93.38533139228821,57.430651903152466,25.384176015853882,96.02348685264587,23.451250314712524,873.6586940288544,94.16860055923462,53.64995574951172,102.31931471824646,918.668799161911,95.58125042915344,3.4884510040283203,28.079617738723755,179.43710064888,3600,98.53893375396729,1716.8522889614105,358.4042601585388,353.2892367839813
