Score,ddd3b43476c18cf483aac233d4dc1c68,3a7a64e1d6cf5ce969b2b05b5464f707,1b86f59ce4c43f19f0ad1238f8c362b4,b44611ea7852dd30215cc1cb09e1ab79,291c2b4fa2d8b009cd2a8331891ba667,d3529338d35aa27e8024932d3b5f64b5,93a87994c03a7752f85d863239555d48,44ad104c3b0c83b4cfc260583dee2397,9631e4082abf03e560b889c5715d3979,bdc85226a8d910a8b7d6a8730c7a4572,090eefb9bc472f6478e70baf2c6d2403,98c6da979a0a22d384d465a1da17111e,339b1cfda231aaca601cd6339c07ca2c,a83665715cf54e10f6d5382b97fd909c,d66ab8bce1b8979dbd26b3c220e817be,fdc5aa7c150fd1c49ad3b50433277528,ea5b47b3ffb3b8cb77a2cff83cc1ffba,d46c3fc9e953d4f84e8a18e52e29e7b7,1d42a7c3616ce163e292340cfcd34f97,150b5f8cac40bb4e0fcbdd65c3c04701
37354.56414413452,65.4296202659607,76.80255818367004,77.4943196773529,87.79655742645264,111.41791653633118,138.32736706733704,149.35788226127625,157.37086629867554,244.39514994621277,246.17190647125244,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
8072.138662099838,3.628697633743286,5.906488656997681,3.8892476558685303,4.069025039672852,6.635976552963257,4.161763668060303,3.6105220317840576,4.99806022644043,3.949984550476074,9.028206586837769,202.44624948501587,485.82123041152954,890.467963218689,706.5420787334442,261.5843105316162,617.8418028354645,1092.467303276062,835.1835265159607,1594.5382015705109,1335.3680229187012
40711.66582107544,201.8574993610382,456.56192779541016,329.17292833328247,514.4203424453735,602.6681036949158,446.0299367904663,289.9990029335022,293.3920729160309,469.99273467063904,1107.5712721347809,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
5936.789336919785,2.8748292922973633,3.9612245559692383,3.91774845123291,4.167683124542236,4.284412145614624,3.4740681648254395,3.7353808879852295,3.808377265930176,5.517605781555176,7.128515958786011,61.806458711624146,119.0578966140747,350.5691168308258,344.28887128829956,394.9916567802429,239.22265577316284,209.05794739723206,295.2220528125763,279.7028350830078,3600
37025.97819685936,51.93193817138672,117.10543060302734,152.57900595664978,91.9498770236969,87.81274580955505,75.88923478126526,73.38765001296997,76.66421341896057,89.055166721344,209.60293436050415,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36151.31188058853,7.212228059768677,14.567979097366333,13.584141254425049,15.678592920303345,17.981285095214844,12.119168281555176,11.052770853042603,12.601957321166992,19.997037410736084,26.516720294952393,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
38898.563695669174,98.46540331840515,332.84118461608887,260.88777470588684,282.72798013687134,304.264790058136,217.41022515296936,232.0734052658081,325.8184072971344,248.11336135864258,595.9611637592316,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
37939.873703956604,33.93847417831421,421.65227031707764,109.42959427833557,336.29628014564514,82.53962302207947,69.2300660610199,112.10024952888489,101.16999554634094,487.3195128440857,186.19763803482056,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
38186.523654699326,101.70832991600037,185.10249018669128,179.59463620185852,184.7527437210083,275.61239099502563,201.0433909893036,140.1732587814331,266.040890455246,362.13039922714233,290.36512422561646,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36833.78589630127,56.867979764938354,131.63054251670837,59.01133728027344,59.18313717842102,76.16717839241028,42.40738534927368,45.96598696708679,116.76779460906982,80.16542530059814,165.61912894248962,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
17016.708005666733,13.290303230285645,18.077803373336792,17.794801235198975,18.029361963272095,27.629612684249878,18.421059370040894,27.418590784072876,19.1312735080719,21.851529836654663,24.160853624343872,427.51814556121826,579.188066482544,1371.3157243728638,1237.4641976356506,513.691817522049,966.0572142601013,3600,915.6676502227783,3600,3600
54461.44330239296,29.442100048065186,3600,3600,3600,62.68237900733948,3600,3600,207.53778553009033,62.600611448287964,99.18042635917664,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36478.25148439407,40.31166481971741,48.46143460273743,27.39500093460083,45.444037675857544,65.44399905204773,19.375796794891357,64.08169651031494,55.61101222038269,65.27639508247375,46.850446701049805,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
34616.60527777672,61.22324204444885,56.32633924484253,55.506022930145264,72.84941077232361,54.249146938323975,41.65607810020447,100.14090347290039,85.63036465644836,40.90422701835632,154.9056749343872,1493.2138676643372,3600,3600,3600,3600,3600,3600,3600,3600,3600
41063.820724248886,41.90202760696411,43.53928732872009,53.74477958679199,46.371920585632324,1091.6540989875793,3600,30.100265979766846,40.88481593132019,51.99856209754944,63.62496614456177,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
