Score,65b1e2253626af4a72b954f8186a5880,c40838cb3ed9babe51dc41185e70a3dd,685d37e93ba26197925353e58026ae10,08455b2e1e6fda910989f0481a20f1c3,6dca14e1af1795565d1e502ddc7d376b,28857e681fc6a9077d5a7d0e9c7a19ad,9e7f2b92c6e46d03ddcafd798aa80cb6,6e31e88a5dadaa3876eb5ff4293134c2,67a5b7ccde980b37576b993c79e176b0,bc7dc7a83b442a2bf4cf8cae3f0e0faa,8252d67358381873e07bb637ad177b83,a9d081cbb33e6051be2512f2a2269d65,e5a72ac8f4880702a4deacc7854318e8,a292411f3f563a47c05a78f8295163dc,5a72cb588bcda7b1b54a1eac6b19ab2e,45faf223af97fe9177daa3ad4002cf2f,29505dfcf090c4cfdfb59268160be81d,6549f23728c52d5319f30371ff709622,15a2ec07aaca45d454a2fbfc0624e75e,bb8042839130ce5597c358c1955706ff
19139.57183098793,253.13459396362305,271.285124540329,285.4576508998871,318.1921191215515,455.9977400302887,478.51339387893677,699.7501871585846,847.6008186340332,914.1987040042877,918.939998626709,983.0261149406433,1014.6158702373505,1049.0305552482605,1202.8308129310608,1279.5814292430878,1476.9932720661163,1568.8171560764313,1634.2894904613495,1694.2186257839203,1793.0981731414795
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
17829.033919095993,120.83259439468384,181.91910362243652,280.8565402030945,228.59251952171326,220.22396898269653,241.66196131706238,509.21734642982483,810.9753580093384,658.1714224815369,512.1061613559723,665.3882069587708,1003.2482981681824,412.8688488006592,1068.4914894104004,731.6648435592651,701.5119068622589,988.0864896774292,3600,1293.2168593406677,3600
7190.906730175018,105.491872549057,144.22322797775269,112.65113258361816,96.5470917224884,139.58053922653198,145.71182107925415,219.36337518692017,339.8608891963959,251.63190460205078,343.1096785068512,299.82127475738525,349.4473135471344,412.5742778778076,446.27778840065,483.30236291885376,606.8324747085571,487.2772490978241,514.544440984726,889.0716686248779,803.5863466262817
26184.618572711945,315.7410018444061,590.3456382751465,343.86713576316833,426.53466725349426,576.9637005329132,357.0685646533966,592.8969166278839,1363.066100358963,1278.7781524658203,886.6284968852997,877.346028804779,789.8254153728485,882.2134864330292,1538.7073974609375,1351.641765832901,3600,1609.176745891571,1603.8173582553864,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
31102.582937002182,242.23551392555237,231.38522052764893,183.55366492271423,309.03955364227295,154.88258862495422,203.90118741989136,752.3165457248688,855.7942094802856,1643.1476860046387,582.6288447380066,507.41446471214294,3600,1066.7998304367065,1385.247490644455,1384.2361361980438,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
17201.41749548912,118.97410202026367,156.65393710136414,205.83399415016174,189.61191654205322,377.5564274787903,289.7008943557739,890.6846907138824,757.8617012500763,753.1688404083252,595.736912727356,507.1386616230011,691.6356520652771,630.886134147644,867.2607061862946,1075.38636136055,1192.2603454589844,999.4093434810638,1618.1299209594727,1683.526953458786,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
