Score,2b7e863462991fd008f9898eca63ebf4,d8f131a86243ef138af39abf52a479e5,35b19a3332597c1e5a3668f75ca72971,096ac97e4261eabca440fc7bc135d7c0,2537f10a45d7ab430334dc1de6bfbdf0,323223c497a22051f5a3ef508ccbaa7c,177a4ad8fd76ad8240387998112c3168,9e18c079efdc17ceade5c7a330b507d2,f20c2aa0f9cced05a74031e0a3afaa1a,33cfa309d10e1d4fe30f1302807f42ce,83cf6bfa7945b54e8c4ac659d1a4359e,e966bddd11e46b735f8520f8304e368e,8751f8d1570611ba079dfd862b14c514,b5cede38496a803dcfa155a5f4295c47,bcd753d08904860fa93a794557185e04,97a17306a2882e0fd1aa3981a267df0d,0945c95ba9b82c32d12fc9d9e5229c5a,d5efaaee0197822c2676e45bac5068b2,3e7dc7350195104b76b7d03ab5b0af8f
19734.968296051025,17.932008028030396,29.708099842071533,31.52149510383606,32.679096698760986,40.5791130065918,43.71765732765198,45.260127544403076,53.15478229522705,64.45080780982971,123.84313702583313,170.3175756931305,227.3106677532196,231.1113851070404,623.3823428153992,3600,3600,3600,3600,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
9924.870007276535,96.56726956367493,28.702358722686768,608.7611968517303,52.76818513870239,35.543851137161255,100.36852025985718,23.593567609786987,51.16322112083435,27.542643785476685,220.0628147125244,1075.249500989914,91.92042279243469,15.49906611442566,98.19671559333801,104.65752911567688,3600,3600,38.787189960479736,55.48595380783081
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
34147.45963597298,4.949213743209839,3600,5.070982456207275,3600,13.926026582717896,441.41124725341797,3600,50.738797426223755,72.92954063415527,3600,3600,52.47004508972168,183.25520300865173,844.1980156898499,3600,3600,3600,78.51056408882141,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
41557.011754751205,181.15525436401367,993.3030281066895,3600,303.0383780002594,3600,815.7734169960022,3600,160.28952264785767,3600,1519.0498464107513,814.5748920440674,210.95349025726318,558.8739259243011,3600,3600,3600,3600,3600,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
41566.20391845703,3600,255.14461946487427,3600,27.42637872695923,268.63693356513977,3600,79.89598250389099,3600,3600,305.91008853912354,16.869317054748535,3600,890.224356174469,3600,3600,3600,3600,122.09624242782593,3600
60429.97692537308,3600,3600,1059.4739036560059,3600,3600,3600,3600,3600,3600,1553.2323513031006,217.27067041397095,3600,3600,3600,3600,3600,3600,3600,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
25559.00814127922,785.583413362503,666.6931731700897,366.5342667102814,374.67914056777954,3600,654.468644618988,482.38297414779663,258.77579855918884,343.95373606681824,852.6122014522552,207.91387748718262,442.98389053344727,194.36081385612488,1096.896222114563,3600,3600,3600,831.1699886322021,3600
10891.608081817627,47.848005294799805,220.16462540626526,8.537854433059692,57.79081344604492,19.888062000274658,275.9582622051239,40.312570095062256,32.110591650009155,13.727941036224365,296.5316915512085,154.78113198280334,103.79046106338501,24.21417260169983,441.84289383888245,971.4493176937103,3600,3600,404.5202536582947,578.1394338607788
15795.978011608124,232.9619529247284,27.6772243976593,48.99090051651001,17.077922821044922,367.9546597003937,41.678083658218384,84.82510352134705,18.29597544670105,34.06460356712341,171.00043320655823,138.3785171508789,137.43944931030273,11.45668077468872,27.143712043762207,3600,3600,3600,37.03279256820679,3600
54902.233773231506,3600,267.34516644477844,3600,3600,3600,3600,3600,3600,121.4810779094696,3600,3600,90.0824875831604,3600,423.3250412940979,3600,3600,3600,3600,3600
33110.28070282936,3600,206.55460262298584,149.68033051490784,152.89595580101013,506.3718900680542,940.3701639175415,612.4296679496765,263.8271689414978,109.19160389900208,69.1750316619873,3600,967.6454606056213,332.1388268470764,3600,3600,3600,3600,3600,3600
62414.40061497688,3600,3600,3600,3600,170.69347143173218,3600,3600,3600,3600,3600,3600,3600,3600,1043.7071435451508,3600,3600,3600,3600,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
42872.11252307892,825.1223573684692,3600,3600,3600,1329.494973897934,3600,910.6061840057373,3600,982.543630361557,1194.5019574165344,37.925363302230835,200.75390219688416,1220.8525130748749,3600,3600,3600,3600,170.31164145469666,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
9791.84199500084,440.15418696403503,192.8552315235138,83.04480051994324,56.727651834487915,134.34655141830444,261.4077732563019,47.61564373970032,16.796780109405518,36.098283767700195,20.681432247161865,46.00170683860779,58.46295499801636,25.59811782836914,138.70500326156616,323.49397110939026,3600,3600,29.120096445083618,680.7318091392517
12467.344774484634,28.607759714126587,63.66201210021973,92.65634799003601,29.545081853866577,230.58667278289795,40.03608560562134,64.28151869773865,59.531991958618164,37.65156149864197,32.42524218559265,47.41634941101074,342.20089387893677,322.3378782272339,134.21170139312744,3600,3600,3600,57.624840259552,84.56883692741394
13478.612241744995,189.48309707641602,24.850788354873657,514.1957767009735,78.40302419662476,311.4584090709686,34.16601276397705,63.52540063858032,107.05239653587341,188.23334097862244,97.0201199054718,88.21378636360168,43.773329734802246,269.55352234840393,431.7152101993561,3600,3600,3600,41.32276225090027,195.64526462554932
9537.195209503174,15.86477255821228,52.09075212478638,22.970455169677734,162.07680082321167,203.98449873924255,250.11171340942383,32.8481822013855,22.635395526885986,106.4613425731659,39.598225116729736,25.803974390029907,31.894336938858032,148.1279730796814,655.84228348732,383.1990077495575,3600,3600,25.41530990600586,158.27018570899963
14576.712261676788,30.82255268096924,171.91839957237244,37.69935870170593,113.06431102752686,42.01975965499878,36.46791434288025,29.548749923706055,38.13950324058533,192.76768612861633,47.4778048992157,21.68871283531189,49.83239412307739,1637.0289154052734,216.75759863853455,509.86029839515686,3600,3600,601.6183021068573,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
16818.748720407486,94.17591953277588,129.50590586662292,36.809361934661865,24.628154277801514,656.2625484466553,172.39563369750977,84.02940034866333,18.454777717590332,47.09632587432861,155.85389184951782,695.3081855773926,37.578224658966064,84.78326272964478,126.76029992103577,3600,3600,3600,55.10682797431946,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
16179.750333070755,29.216777086257935,104.40306615829468,23.134487867355347,292.4252691268921,36.46809220314026,138.26213192939758,53.92002868652344,34.297441244125366,21.04486894607544,204.62497639656067,23.279351711273193,47.12379288673401,40.172972440719604,699.7772166728973,3600,3600,3600,31.599859714508057,3600
26589.406596899033,1722.7878062725067,388.9753587245941,564.1979606151581,1089.4868576526642,3600,1070.5423429012299,500.0266966819763,64.73001480102539,253.54546928405762,3600,70.38452768325806,188.06084179878235,20.35466456413269,1446.823855638504,618.0855317115784,3600,3600,591.4046685695648,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
32303.906007051468,306.6406669616699,1528.5047590732574,3600,1054.8771102428436,1469.510802268982,1508.1672587394714,1517.3840482234955,144.19969153404236,106.22093939781189,3600,52.65232014656067,777.884902715683,267.7143347263336,3600,260.1344361305237,3600,3600,1710.0147368907928,3600
16343.089172363281,518.1831390857697,33.494388818740845,40.9637508392334,197.93541431427002,48.63262963294983,147.99356865882874,59.03135871887207,21.540379524230957,30.12273597717285,37.07765436172485,17.970292806625366,28.065518617630005,25.243932247161865,433.9163694381714,3600,3600,3600,302.9180393218994,3600
13997.850328922272,36.802886724472046,32.8055362701416,16.700990200042725,292.56839203834534,205.74874019622803,199.03947496414185,144.68652033805847,15.674275159835815,38.95030927658081,30.069955587387085,35.01996684074402,266.3186640739441,154.85735273361206,37.899709939956665,1658.564234495163,3600,3600,32.143320083618164,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
16664.519606113434,277.55568742752075,134.4394931793213,195.1110601425171,77.01352286338806,180.53864097595215,242.0876486301422,266.4976637363434,248.834246635437,219.3114094734192,30.950493335723877,230.48356556892395,18.045007944107056,22.645740509033203,32.626725912094116,3600,3600,3600,88.3786997795105,3600
25127.82826089859,28.44991683959961,46.723087310791016,46.81913781166077,55.22949242591858,49.66371273994446,151.4899697303772,3600,15.10055685043335,35.9958016872406,134.8244652748108,40.39685583114624,1656.9653475284576,3600,1166.5924108028412,3600,3600,3600,99.57750606536865,3600
16654.85268139839,276.72708773612976,132.43467044830322,195.77013683319092,75.5465145111084,176.46802353858948,242.6149423122406,268.53124475479126,246.5778558254242,221.2962737083435,29.48832130432129,228.1377191543579,18.340251445770264,22.678340196609497,31.868985652923584,3600,3600,3600,88.37231397628784,3600
16073.335827112198,19.309858322143555,44.731998443603516,599.4892728328705,46.12649393081665,48.03929328918457,12.616133689880371,1108.7140665054321,64.39746594429016,35.24983310699463,138.33126592636108,11.922533988952637,155.73931789398193,12.778410196304321,488.3376455307007,1445.5590250492096,3600,3600,1041.9932124614716,3600
19585.59731245041,81.0357756614685,140.71838331222534,3600,127.66430020332336,341.9965705871582,63.213441371917725,259.9269404411316,24.42327332496643,35.787848711013794,23.959757804870605,21.242340803146362,109.53280305862427,19.791353702545166,310.894522190094,3600,3600,3600,25.410001277923584,3600
