Score,20cae5fe475d571da703f89d5da4bb8f,79c109a8c1da53c6b636d3835f11a19d,a1276d5dcb822aa03806df58fa9ca1c8,06b138e8a6da806e88ac7da2919cef30,f55acea8f0d207becbbbd26a11d97841,2f219dfa21d996e1834aa247f934f304,dbe18c99e95ac42816b99b96d36a8732,3498eea73b78ddc444cbee48b121c541,792495b57d6145fd21d7076eab2ab06a,89120de895868a3fccd74f30f78a5448,46e119b7ff8d0781354bfe68139c99b5,9777418f75e1dfbd7d34e9b0ba4bf0b5,385a678ba820d79c6fb5f497adaf32ec,40ae60a61929b6bfa2ac99ab4b9a0f7e,a0c7aea176b5a2b65c27c8af7039326b,0d3e99a07b6a6b67ac59d706c0af9d68,b6c44ccb3174b7f0a69185b11de86cfa,a7bbcc6535cca5a37f015f29090e8797,6b2ccabf0304af478a558b8a333ced32
56523.150312423706,291.3956792354584,315.3234031200409,535.6234922409058,1380.807737827301,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
56713.565373659134,338.31737875938416,336.27894282341003,652.2816941738129,1386.6873579025269,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
66476.34246993065,3600,1676.3424699306488,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
56097.46567559242,474.5080597400665,230.61229395866394,577.5100038051605,814.8353180885315,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
65580.01509928703,3600,780.0150992870331,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
51440.02771425247,289.768794298172,268.3330044746399,416.1751956939697,617.0141549110413,3600,1580.4745647907257,3600,3600,1468.2620000839233,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
53030.12289738655,226.97865533828735,157.3443260192871,324.07166743278503,490.0888843536377,3600,3600,3600,3600,1431.6393642425537,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
68400,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
51355.45494675636,273.42420840263367,252.05183243751526,442.35746240615845,662.2267143726349,3600,1691.0786085128784,3600,3600,1234.3161206245422,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
51488.23348116875,340.53743863105774,213.5167579650879,421.96880555152893,950.7728073596954,3600,1697.5777115821838,3600,3600,1063.8599600791931,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
55337.34297680855,249.45834946632385,213.11868524551392,420.3052875995636,454.4606544971466,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
53558.51617074013,316.9524862766266,209.86051058769226,452.4270372390747,933.5744178295135,3600,3600,3600,3600,1245.7017188072205,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
47586.49844408035,176.29049134254456,118.69766283035278,261.3442904949188,456.4098045825958,3600,1001.3875830173492,3600,3600,852.0723087787628,3600,3600,3600,3600,3600,3600,3600,1520.2963030338287,3600,3600
59725.890605926514,791.0673933029175,538.8855798244476,795.9376327991486,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
47190.30095744133,172.53657293319702,117.76166415214539,204.11688661575317,370.8486566543579,3600,1287.1306989192963,3600,3600,461.5537257194519,3600,3600,3600,3600,3600,3600,3600,1376.3527524471283,3600,3600
50748.06825256348,362.94810676574707,217.71673393249512,346.092365026474,573.935173034668,3600,1168.461744070053,3600,3600,1278.9141297340393,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
50250.696503162384,225.40756845474243,133.70355367660522,358.5684869289398,448.4438045024872,3600,1030.7506370544434,3600,3600,1253.822452545166,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
50786.65813541412,230.3263156414032,214.78091430664062,314.5408833026886,499.75522208213806,3600,981.438384771347,3600,3600,1745.816415309906,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
55820.93091797829,307.2202627658844,192.61759734153748,400.3068208694458,920.7862370014191,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
47644.856417655945,197.72254753112793,111.18708729743958,289.05285930633545,355.5094590187073,3600,1532.0815172195435,3600,3600,823.3900561332703,3600,3600,3600,3600,3600,3600,3600,1135.9128911495209,3600,3600
53145.69757080078,302.8834674358368,242.89092230796814,554.3732447624207,752.6694779396057,3600,3600,3600,3600,892.88045835495,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
52282.78543806076,151.49943470954895,170.09213995933533,324.51297879219055,452.6964843273163,3600,3600,3600,3600,783.9844002723694,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
52417.49119901657,215.426922082901,134.24237155914307,325.06428694725037,622.6910610198975,3600,3600,3600,3600,720.0665574073792,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
55617.05062532425,275.7239544391632,192.55189776420593,337.3804552555084,811.3943178653717,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
53414.45083785057,401.66528725624084,182.0986135005951,607.4772510528564,613.6282875537872,3600,3600,3600,3600,1209.581398487091,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
62668.46726727486,884.6423161029816,583.824951171875,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
56752.02323246002,384.861962556839,343.6911675930023,482.85507702827454,1540.6150252819061,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
58008.67834329605,691.7050375938416,483.61374068260193,1215.9263541698456,1617.433210849762,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
54862.360506772995,520.0757658481598,382.1685619354248,943.5754446983337,1115.6063780784607,3600,3600,3600,3600,1500.934356212616,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
63950.33391785622,1678.0079364776611,1072.3259813785553,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
