Score,ce49f590c98885f7ac95567f2b1e7dd5,f561c52b987bdb9031a477864070b759,a45b60e53917968f922b97c6f8aa8db3,71270454196ae092b28d0a74300a85e1,bbfe2b27182d2ee7fefdb557f458ac9c,b172b4c218f1e44e205575d2b51e82c4,67c533489a498495525efee429340958,cdd131110acc861a5a01fae6c4936c91,4408f30395fb799e01b34b0dc7ee1d62,0a4ed112f2cdc0a524976a15d1821097,973d699ec01b88da869233a79aaa1912,768956cc8d1f2d18ae1929f6bb26557a
33548.238907814026,10.70302939414978,89.31903100013733,1048.2168474197388,3600,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
30224.46628189087,13.680535793304443,19.61960482597351,475.6846673488617,915.4814739227295,3600,3600,3600,3600,3600,3600,3600,3600
40660.53595280647,3600,3600,1060.5359528064728,3600,3600,3600,3600,3600,3600,3600,3600,3600
36158.50193023682,129.39118218421936,3600,29.110748052597046,3600,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36607.75630021095,3600,585.6419858932495,3600,3600,3600,3600,3600,22.114314317703247,3600,3600,3600,3600
32728.084008693695,140.6410608291626,15.290539741516113,172.15240812301636,3600,3600,3600,3600,3600,3600,3600,3600,3600
33940.391165971756,369.75430130958557,3600,30.37804079055786,1140.2588238716125,3600,3600,3600,3600,3600,3600,3600,3600
33789.357692956924,70.73274207115173,817.6079275608063,501.01702332496643,3600,3600,3600,3600,3600,3600,3600,3600,3600
34109.532737493515,229.69508457183838,3600,23.788028240203857,1456.0496246814728,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
30739.12469792366,7.780486345291138,314.69747495651245,36.65202593803406,1579.9947106838226,3600,3600,3600,3600,3600,3600,3600,3600
29993.42723274231,9.425114393234253,60.11074161529541,16.847512245178223,3600,3600,3600,3600,1107.0438644886017,3600,3600,3600,3600
33577.893755197525,148.83140349388123,3600,19.36880922317505,1009.6935424804688,3600,3600,3600,3600,3600,3600,3600,3600
28700.23995089531,15.687253713607788,890.3588445186615,465.37994742393494,977.0944697856903,3600,3600,3600,1151.719435453415,3600,3600,3600,3600
34309.56463050842,425.307097196579,3600,32.43499445915222,1451.8225388526917,3600,3600,3600,3600,3600,3600,3600,3600
29325.442968845367,5.678371429443359,1637.675335407257,730.1401677131653,1281.5800161361694,3600,3600,3600,470.3690781593323,3600,3600,3600,3600
30329.903930664062,117.96294569969177,3600,450.6317365169525,747.0839824676514,3600,3600,3600,214.22526597976685,3600,3600,3600,3600
33438.86045503616,110.11305117607117,3600,31.49009346961975,897.2573103904724,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
