Score,878bcc11e1e243680f7946bcf428f465,f54b352934be08821aa75b3424112956,e8abb9c83efdd96a99990f3b914ea873,aaa3654cc92d80da84ecf5d18040c634,c03f7f84f6ac9e523c17e391c3895183,1e0da402100982e53001a64281149dd9,0f262afd5b117000f8b4734d175aadab,6008b958ff6877f32c26b72728df4523,0d3160b80aa406bfc718c007265b9e73,573cc82ec61e01fd6e6308493ee56289,c8b129b9e4835b8a40d5ef0d27a45bef,44fd38bd0c5fc7336be468161dee4eda
8523.783525943756,175.13515448570251,283.20914912223816,376.9938669204712,392.10712122917175,398.18121433258057,401.7910068035126,464.41596150398254,531.7550585269928,534.3759019374847,662.3330514431,703.4860396385193,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
7038.836767435074,128.06574773788452,202.34746146202087,225.88476300239563,422.3750419616699,528.4357173442841,342.01415252685547,664.5321288108826,850.2333915233612,437.963574886322,869.5822587013245,676.6864297389984,1690.7160997390747
19832.020040273666,887.9245994091034,578.6526591777802,3600,3600,1489.5992839336395,917.6229710578918,508.9159207344055,386.3002076148987,3600,196.58475732803345,466.4196410179138,3600
16669.861712932587,476.90817880630493,529.4910950660706,965.2698543071747,873.6607129573822,1042.4562339782715,739.9253199100494,1400.9335114955902,3600,629.4453747272491,1550.2801206111908,1261.4913110733032,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
13720.982687234879,301.39732933044434,626.2556099891663,702.0099518299103,317.9779095649719,308.4593868255615,546.366462469101,835.1986141204834,3600,515.8123638629913,1028.0914771556854,1339.413582086563,3600
34953.0110270977,3600,3600,929.6335797309875,3600,3600,660.4737889766693,962.9036583900452,3600,3600,3600,3600,3600
10630.698846578598,123.438405752182,276.97630977630615,845.0078864097595,161.65286874771118,540.1428582668304,571.9582977294922,240.57416105270386,1762.2736582756042,572.3485538959503,3600,562.9668169021606,1373.3590297698975
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
13716.249322891235,3600,401.0484116077423,410.80359411239624,295.42997670173645,714.0832679271698,661.6556248664856,850.928632736206,1142.0863246917725,439.6650941371918,1061.508599281311,539.0397968292236,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
8727.596437454224,180.67621684074402,242.74764680862427,288.7894494533539,377.6543433666229,432.8311905860901,359.4958755970001,577.3227820396423,761.4148173332214,498.94973611831665,848.863468170166,558.8509111404419,3600
7831.614536523819,126.32796311378479,160.51589560508728,257.50481390953064,326.8650577068329,502.3839068412781,207.06425619125366,554.0589632987976,420.54707860946655,419.052903175354,468.45377922058105,788.8399188518524,3600
9425.4693608284,149.6829891204834,373.00106287002563,330.3388903141022,368.1492245197296,718.6328871250153,433.7456269264221,529.9104478359222,848.1499469280243,473.5877332687378,811.5317080020905,788.7388439178467,3600
7611.173781633377,159.05623149871826,287.2385263442993,307.666140794754,384.9830906391144,408.7728259563446,301.810421705246,443.5189666748047,337.24702405929565,330.0547652244568,703.2312047481537,347.5945839881897,3600
8612.861857652664,99.61746573448181,94.53397464752197,274.2664728164673,354.59480834007263,490.0757944583893,413.6933317184448,656.5927844047546,713.0687437057495,390.47254157066345,819.4236080646515,706.5223321914673,3600
7165.691943407059,116.51526856422424,209.66541051864624,260.0300316810608,202.98623156547546,420.44584703445435,205.9426350593567,393.8270695209503,388.41056394577026,349.60204672813416,502.36697697639465,515.8998618125916,3600
9847.312477588654,352.49612498283386,247.4652543067932,356.62498807907104,498.02729296684265,652.1596574783325,477.98984384536743,703.7889652252197,743.4430525302887,612.5123312473297,812.4286968708038,790.3762700557709,3600
8713.030543327332,183.50436878204346,226.20096564292908,279.56286549568176,352.5900058746338,436.36004161834717,347.6414291858673,616.6075971126556,773.641438961029,472.25066566467285,843.2300779819489,581.4410870075226,3600
8475.126984596252,177.38416719436646,280.880734205246,250.00761008262634,343.3037967681885,669.361198425293,377.1242165565491,434.6843304634094,602.1695482730865,352.6070668697357,761.0932474136353,626.5110683441162,3600
11439.870537996292,134.94997906684875,244.96804475784302,488.8855001926422,976.5924491882324,713.3906977176666,550.2466859817505,1414.878873348236,979.9645617008209,532.5257568359375,1291.1889698505402,512.2790193557739,3600
22060.655971050262,215.348947763443,979.7585077285767,442.87820768356323,1374.9710762500763,538.1739530563354,3600,1467.073930978775,1111.1113789081573,3600,3600,1531.3399686813354,3600
9000.608922481537,168.01674342155457,255.21831512451172,389.30303716659546,406.40262365341187,530.881422996521,338.9599006175995,509.45782256126404,610.3823938369751,654.5426094532013,858.5357980728149,678.9082555770874,3600
33632.105320215225,845.6228289604187,840.7017307281494,1417.053842306137,1728.72691822052,3600,3600,3600,3600,3600,3600,3600,3600
10963.225234985352,259.6217794418335,119.97659540176392,543.0425064563751,502.2833697795868,557.4028694629669,573.0108096599579,877.0703048706055,1129.569298505783,1238.9646637439728,837.6092441082001,3600,724.673793554306
8607.303486585617,230.41856694221497,367.4504861831665,430.63809514045715,610.08811378479,661.0753529071808,524.9716610908508,832.6039085388184,1279.6295824050903,447.5298321247101,1178.0067059993744,1263.3239064216614,781.5672750473022
6922.645012617111,76.39995074272156,159.97072386741638,209.20586729049683,216.63399934768677,384.10990595817566,183.33093762397766,385.21122694015503,454.9343354701996,349.3624994754791,425.72437715530396,477.76118874549866,3600
6317.838670730591,132.03712248802185,186.64408016204834,165.7668731212616,285.2855865955353,266.42173767089844,249.08905029296875,283.8153700828552,356.047700881958,173.1216757297516,349.4252989292145,270.18417477607727,3600
6350.970324277878,214.12107920646667,147.73624563217163,339.8401346206665,275.05794858932495,667.36856341362,434.1745421886444,664.0941278934479,472.8474061489105,483.76954889297485,546.1937510967255,415.51148653030396,1690.255490064621
4123.158641338348,97.48826932907104,166.10156393051147,193.5365924835205,228.7672312259674,238.44824385643005,169.12635898590088,459.2086627483368,347.6517684459686,436.47570300102234,309.9725339412689,563.6843905448914,912.697322845459
5991.300215482712,89.22020149230957,176.3402020931244,106.92410016059875,159.6464822292328,228.29049730300903,183.6788170337677,212.01487755775452,385.379478931427,265.61250734329224,259.2797784805298,324.913272857666,3600
7240.811560869217,168.06895303726196,180.83343720436096,259.07168984413147,231.0241003036499,316.7172181606293,247.223206281662,463.62270426750183,349.55714297294617,195.072829246521,810.5145883560181,419.1056911945343,3600
4954.614025354385,205.39013624191284,229.64078187942505,348.30908489227295,225.11668300628662,335.05322337150574,230.71531438827515,385.09706568717957,381.3162007331848,255.1703598499298,769.2818133831024,452.45069456100464,1137.0726673603058
4068.534337282181,111.12023258209229,224.989164352417,154.74636697769165,176.1788649559021,375.68166637420654,228.6931345462799,351.4979500770569,301.0678722858429,274.44004821777344,438.49748039245605,397.0639343261719,1034.5576221942902
7360.348885059357,93.02087593078613,158.20867323875427,222.94995021820068,239.47954726219177,243.5513699054718,201.1955759525299,507.7495319843292,435.62131237983704,422.1324179172516,857.5327794551849,378.90685081481934,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
22188.584790468216,150.1978898048401,725.2526710033417,701.9521996974945,1132.6193525791168,3600,1276.2370345592499,1334.1247923374176,3600,872.6081826686859,1595.5926678180695,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
3481.8877573013306,83.37627673149109,112.54436826705933,144.83675599098206,291.88093996047974,249.3082811832428,133.22710394859314,408.8226399421692,187.0291304588318,115.2590274810791,218.26348757743835,304.99187088012695,1232.347874879837
20267.153705120087,610.8938431739807,351.74329948425293,486.50048089027405,549.0136847496033,838.207569360733,169.8736114501953,1263.1079654693604,3600,3600,3600,1597.813250541687,3600
6507.937128782272,120.84734511375427,424.1657032966614,426.7764494419098,112.54206681251526,463.381121635437,803.7517681121826,601.4902300834656,433.82536792755127,462.1478672027588,1209.7879090309143,904.0885558128357,545.1327443122864
9949.202600240707,208.43502283096313,264.9711036682129,346.6604838371277,244.53058123588562,712.769208908081,501.6683886051178,1030.7907350063324,645.5211482048035,501.4922604560852,888.0852570533752,1004.2784104347229,3600
9050.83618402481,226.994149684906,245.24467778205872,272.47312688827515,456.01495933532715,751.9062650203705,460.7213017940521,529.0049633979797,499.13834261894226,374.855019569397,830.6012048721313,803.8821730613708,3600
7894.651309728622,193.93592143058777,249.96371865272522,292.0405864715576,865.0407855510712,430.1035723686218,602.1573457717896,626.4233303070068,980.6330478191376,702.0897359848022,857.9833045005798,924.9924414157867,1169.287519454956
8541.221135139465,214.988511800766,392.73903226852417,722.6428017616272,732.8563311100006,463.84293818473816,463.47705459594727,897.6803209781647,1227.4450125694275,475.23084568977356,668.7542757987976,1742.6247305870056,538.939279794693
5680.381387710571,60.032824754714966,154.52589511871338,168.51870942115784,158.4796440601349,203.22539901733398,229.86707067489624,222.6126606464386,270.77804350852966,163.68692064285278,206.27438879013062,242.37983107566833,3600
7685.828032255173,1776.581297636032,268.51963329315186,364.1644027233124,308.45350408554077,376.84214186668396,569.6199362277985,270.0098741054535,622.2318186759949,323.815878868103,570.6495156288147,657.6613156795502,1577.278713464737
5585.187255620956,177.64061617851257,239.241384267807,263.3483397960663,423.18314504623413,352.9151825904846,446.20984840393066,380.0271360874176,573.9353060722351,394.2270781993866,476.44923186302185,561.84144115448,1296.16854596138
5152.283828496933,95.19455289840698,55.136889934539795,126.56090831756592,125.46489119529724,185.64933156967163,134.33503007888794,158.07863235473633,194.17576265335083,119.36614871025085,161.2881350517273,197.03354573249817,3600
2499.5942962169647,115.34351134300232,134.49459075927734,148.32940220832825,168.64729070663452,168.4648950099945,147.40022563934326,193.9649157524109,263.5655286312103,195.2571666240692,228.38139057159424,197.08377504348755,538.6616039276123
