Score,53799aafcd0c684a2adc79400bd35f82,21667cf04beae213adbab0d48408a7e4,e51a98d78f61103e0672579e87cfd7e5,85240babab8083e1b381e2971d875ab8,14a5ff0d6213dcfe182ec656764bbdfb,bab57c8799cb05c8c1757c60d4ebdefd,8f7cd9fb4b8852fdf9a21c606724c71a,361290e60ab2a8ea9dccfcff65bf0778,6bb485770dbc3943ea84933a03131958,524848d379582b63060ed43d3729b9f3,8a7a61a63a718e4dc5aba5426b31c063,5437ba8972228ea5531a69a9aa064acc
37012.133794784546,1231.9927244186401,1683.760183095932,1696.3808872699738,3600,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
20944.461854934692,480.7220284938812,1520.5302135944366,1748.586814880371,1791.7222137451172,871.1254680156708,1455.0192031860352,3600,820.8350961208344,1777.86576962471,1526.5214228630066,3600,1751.5336244106293
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
17405.908851385117,364.85412764549255,740.2566382884979,1045.7817854881287,3600,726.430742263794,1388.9473667144775,992.4097583293915,785.0610795021057,1482.6072273254395,1511.967230796814,3600,1167.5928950309753
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
14094.41168308258,615.0858204364777,1111.6644546985626,950.5678007602692,1471.4711213111877,819.5224342346191,1303.1914780139923,1107.693220615387,923.8558762073517,1359.6873397827148,1398.1913533210754,1525.7692382335663,1507.7115454673767
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
17944.388855218887,521.1456067562103,955.4616687297821,985.585381269455,1309.8450808525085,792.6084928512573,1360.9799735546112,1003.6791706085205,848.6521248817444,3600,1391.3429079055786,1575.0884478092194,3600
41196.245562553406,3600,3600,1596.2455625534058,3600,3600,3600,3600,3600,3600,3600,3600,3600
31266.750341892242,1749.9477834701538,1604.0238330364227,1361.917228460312,3600,1471.9952638149261,3600,3600,3600,3600,3600,1730.861404657364,1748.004828453064
31963.424982070923,1168.4393570423126,1570.4042961597443,3600,3600,1065.9527904987335,3600,1411.3955116271973,1547.2330267429352,3600,3600,3600,3600
13380.970204353333,637.7305583953857,881.0351846218109,844.0674266815186,1477.0426530838013,763.7478108406067,1278.3921473026276,989.523833990097,755.0764737129211,1632.4514727592468,1340.3541429042816,1462.096718788147,1319.4517812728882
32552.46957039833,958.8959467411041,1509.8777747154236,3600,3600,1427.0577054023743,3600,3600,3600,1785.094711303711,3600,3600,1671.5434322357178
14819.213324308395,452.58114862442017,1052.5350422859192,1323.5536234378815,1593.6035044193268,808.0853650569916,1305.653889656067,938.5947978496552,824.6620025634766,1561.421737909317,1742.3101317882538,1660.678172826767,1555.5339078903198
16829.662660121918,487.98218870162964,893.1692905426025,1122.3760905265808,1791.13542842865,1111.1658427715302,1428.3930444717407,918.7808661460876,845.3259537220001,1568.913990497589,3600,1645.5872588157654,1416.8327054977417
19363.573314905167,669.9103243350983,1176.51345205307,1709.1800804138184,1535.169652223587,1139.3268065452576,1264.4537951946259,1008.6166577339172,1049.292034626007,1220.0286495685577,3600,1391.0818622112274,3600
15797.479926109314,430.3976266384125,879.2825253009796,1069.8334555625916,3600,780.5604634284973,1255.07878780365,943.395369052887,838.6553821563721,1567.5760629177094,1504.366828918457,1373.1260595321655,1555.2073647975922
20636.572138786316,537.8324227333069,742.8808016777039,907.4558880329132,3600,841.9496982097626,1778.255938053131,1224.1577062606812,892.4092066287994,1513.8467061519623,1397.7837710380554,3600,3600
26003.277067661285,473.81194734573364,1088.9012124538422,1558.486653804779,3600,789.6716001033783,1749.5285787582397,1277.3803522586823,1065.4967229366302,3600,3600,3600,3600
15627.329222917557,546.7186772823334,881.9177267551422,946.2913753986359,1460.6000669002533,634.3113098144531,1161.1498963832855,890.108231306076,915.0559208393097,1329.9043834209442,1634.582558631897,3600,1626.6890761852264
15485.66687655449,487.5887801647186,937.3001236915588,1189.2134416103363,1465.5150425434113,838.9195013046265,1275.3857204914093,1471.1089656352997,1424.0615773200989,1647.1199507713318,1591.1138093471527,1656.6119451522827,1501.7280185222626
13485.452659845352,771.4874887466431,917.6234822273254,951.5593390464783,1369.3943943977356,679.2377796173096,1404.449515581131,980.3207969665527,770.6077079772949,1237.185452222824,1421.6947989463806,1357.3268148899078,1624.565089225769
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
14881.71785402298,497.8113236427307,979.2704968452454,1026.0489225387573,1542.525022983551,919.2306642532349,1415.1042218208313,1095.1466000080109,1006.0909984111786,1455.1239368915558,1498.855687379837,1709.6852977275848,1736.824681520462
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
16193.496609926224,467.73348236083984,888.5223300457001,849.5862967967987,1415.004555940628,704.5296361446381,1596.7402737140656,1249.7574126720428,935.8427927494049,3600,1497.7580490112305,1354.606260061264,1633.4155204296112
16789.56623649597,524.1758909225464,880.5974237918854,1179.261388540268,1630.6609308719635,745.3825736045837,1611.3038358688354,998.7834899425507,723.1031186580658,1652.6741211414337,1658.5241289138794,1585.0993342399597,3600
13701.341819286346,502.5128860473633,834.0695188045502,878.1415252685547,1320.8821666240692,699.4419798851013,1439.471237897873,992.4870836734772,1022.3759377002716,1345.4218981266022,1457.7728497982025,1684.6582808494568,1524.1064546108246
38925.550025463104,3600,1238.345490694046,3600,3600,3600,3600,3600,1687.2045347690582,3600,3600,3600,3600
16681.240120649338,475.8116223812103,897.709819316864,1146.5449314117432,1694.6228759288788,803.1269247531891,1463.1877510547638,1126.2393741607666,814.4218447208405,1467.6221778392792,1582.1836614608765,3600,1609.769137620926
25366.787281274796,660.4989244937897,1107.2260298728943,978.6400952339172,1513.632136106491,772.6737470626831,3600,3600,842.9143507480621,3600,3600,1491.201997756958,3600
32598.277841329575,3600,1075.4229311943054,1381.2455520629883,3600,3600,3600,3600,1514.052087545395,1682.4364988803864,1745.1207716464996,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
32555.436666488647,3600,1280.7551283836365,1527.9896309375763,3600,3600,3600,3600,1522.4897847175598,1426.151790857315,3600,3600,1598.0503315925598
14280.306103229523,637.0114858150482,916.4773392677307,1050.2367782592773,1347.7100594043732,810.2611398696899,1572.391457080841,996.3895578384399,771.3408288955688,1504.9748601913452,1565.3953487873077,1589.5135262012482,1518.6037216186523
13088.618214130402,680.2765789031982,914.589565038681,915.3024487495422,1349.6480190753937,756.0940718650818,1397.6791961193085,1086.260500907898,619.0839533805847,1297.7963500022888,1514.3126187324524,1209.7879111766815,1347.7870001792908
13430.775646209717,635.0081763267517,875.0833425521851,971.3378858566284,1488.9028515815735,650.1242427825928,1639.3063156604767,825.7185044288635,766.4474625587463,1224.729637145996,1540.0196630954742,1491.8921597003937,1322.2054045200348
14186.044378042221,898.8650407791138,1100.384326696396,754.4665343761444,1599.972705602646,892.7408413887024,1203.1477580070496,916.1036784648896,702.9338004589081,1515.4584624767303,1631.5236384868622,1611.1241855621338,1359.3234057426453
