Score,2b032f8a8976a302ad125eb50a3e8445,6c52aca5b5fd284bf1940b84df90a367,4a8285a53f30b35016b0c85ea17ba155,ff9e9b01d50d01ecb6740472d7dd36cd,46d75199933980fdb856f13e5b1817dd,cccee4b0d4c70a5d5422663e2d8887da,dd7164f2592c9675618c5c99af9b70f3,aa6e6f67719ca43aef922f2ebabc409a,e85e793a66a2c9d390f40acf29a5346b,a917b02a7c31e74c8ccf8b8f001abf37,a6ed647f85f20be4aedd1e9ce31cbdcd,7dc0e1b5fedbd8351907f1316b58e68f
34124.25455284119,823.4912383556366,1120.4176387786865,1671.7601478099823,1708.585527896881,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
30670.494316339493,690.7385120391846,250.66984367370605,336.52920842170715,592.556752204895,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
41163.533789396286,3600,1563.533789396286,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36274.168050050735,945.5396404266357,1387.79238986969,1540.8360197544098,3600,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
28752.61947274208,1002.4046349525452,124.51379728317261,200.00286650657654,803.5501224994659,1422.1480515003204,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
39959.89787054062,359.8978705406189,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
27339.19651699066,181.44286036491394,27.106011867523193,90.99782419204712,153.48233771324158,1686.1674828529358,3600,3600,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
37256.301676273346,3600,1471.9203889369965,1758.1516785621643,1626.2296087741852,3600,3600,3600,3600,3600,3600,3600,3600
28416.132269382477,470.4248425960541,132.28124403953552,201.90533709526062,840.1234061717987,1571.3974394798279,3600,3600,3600,3600,3600,3600,3600
27766.25125694275,384.94803261756897,114.64873719215393,190.65416479110718,690.5285816192627,1185.4717407226562,3600,3600,3600,3600,3600,3600,3600
28791.21111226082,677.8271543979645,206.51195549964905,293.71316742897034,1045.6611728668213,1367.4976620674133,3600,3600,3600,3600,3600,3600,3600
34305.93837213516,1062.0650961399078,173.76119947433472,670.1120765209198,3600,3600,3600,3600,3600,3600,3600,3600,3600
