Score,cd361d33986dccd7f2d86016d6c35241,29e101b66dfddb440e974b9feec5b1aa,303ba61141150f84b0d8b44839df59fd,1ea68d0008f01c50a1e4fec77dd0775e,4ffb80a0ad8b753fee1492101ffcbdbb,b5028686db9bd1073fa09cbd8c805f47,1f44da3598ccf8bcbe9a90fb1b2f1ebd,2902c241b2196f5fd914509fdc124ba7,2b8a711debc3a6edd01e7b4e305342d9,0982db5b0b15642e79e8242881529b39,02e4f23ed59566d343b605dc2cc30a01,004b0f451f7d96f6a572e9e76360f51a
37046.39635467529,344.4422435760498,701.9541110992432,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
40550.273972034454,950.2739720344543,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
29688.35032725334,789.7405090332031,12.681058645248413,3600,3600,3600,24.824529886245728,3600,3600,3600,3600,3600,61.10422968864441
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
22410.02607536316,582.067464351654,214.349027633667,1.8140170574188232,5.02539587020874,4.992111444473267,3600,1.7780590057373047,3600,3600,3600,3600,3600
41372.92163848877,1772.9216384887695,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
30079.42139148712,967.1560244560242,36.558422327041626,3600,3600,3600,122.8094253540039,3600,3600,3600,3600,3600,152.89751935005188
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
15187.18005657196,633.6963465213776,39.097963094711304,1.916973352432251,5.4401514530181885,5.384473562240601,26.148032665252686,1.7943902015686035,3600,3600,3600,3600,73.70172572135925
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
23318.27236700058,496.3845624923706,1207.3135385513306,1.835221290588379,5.560305595397949,5.372030735015869,3600,1.8067083358764648,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
21900.52485847473,267.67816138267517,17.070647478103638,2.085401773452759,5.8919456005096436,5.847459316253662,3600,1.9512429237365723,3600,3600,3600,3600,3600
28815.631897449493,3600,3600,1.9485933780670166,5.954665184020996,5.862393379211426,3600,1.8662455081939697,3600,3600,3600,3600,3600
20592.743800878525,634.2573866844177,1551.1368367671967,1.6945772171020508,5.116347551345825,5.223219156265259,3600,1.6712641716003418,3600,3600,3600,3600,393.6441693305969
20140.715562343597,569.0263414382935,809.5076413154602,1.841339111328125,5.450789928436279,5.194063901901245,3600,1.8256800174713135,3600,3600,3600,3600,747.8697066307068
18553.777396917343,466.8867931365967,35.987900257110596,1.9315950870513916,5.418609142303467,5.3167884349823,3600,1.8199937343597412,3600,3600,3600,3600,36.415717124938965
23567.784275770187,324.70436334609985,1629.729743719101,1.6966514587402344,5.036096572875977,4.928612470626831,3600,1.6888082027435303,3600,3600,3600,3600,3600
19901.033578395844,1183.8701779842377,3600,1.861356258392334,4.7756006717681885,4.764638423919678,366.1559624671936,1.732177734375,3600,3600,3600,3600,337.87366485595703
26088.048624515533,872.5386981964111,3600,1.969163179397583,5.908436298370361,5.744988918304443,3600,1.8873379230499268,3600,3600,3600,3600,3600
40325.51540875435,725.5154087543488,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
33068.10522508621,365.4657757282257,16.540913105010986,3600,3600,3600,286.09853625297546,3600,3600,3600,3600,3600,3600
29960.10914874077,652.5812590122223,25.285969495773315,3600,3600,3600,84.38191366195679,3600,3600,3600,3600,3600,397.86000657081604
32853.343393564224,371.06226229667664,28.177101135253906,3600,3600,3600,3600,3600,3600,3600,3600,3600,54.1040301322937
34805.47359395027,593.3946187496185,3600,3600,3600,3600,1105.5682117938995,3600,3600,3600,3600,3600,706.5107634067535
39902.51226758957,302.5122675895691,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
24320.127492666245,3600,3600,668.2077424526215,348.19446873664856,355.92896723747253,113.46123600006104,675.8801047801971,3600,3600,3600,3600,558.4549734592438
39843.03616023064,243.0361602306366,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
31296.922182559967,439.8139247894287,550.076587677002,3600,3600,3600,527.2654247283936,3600,3600,3600,3600,3600,979.7662453651428
25606.261647462845,391.71384358406067,3600,1.8744628429412842,5.476036310195923,5.401903867721558,3600,1.795400857925415,3600,3600,3600,3600,3600
22740.03030204773,267.21092653274536,857.7717266082764,2.0056333541870117,5.685013294219971,5.434957504272461,3600,1.9220447540283203,3600,3600,3600,3600,3600
19092.30978989601,310.731317281723,570.9603047370911,1.8856391906738281,5.628468751907349,5.5607171058654785,3600,1.7874350547790527,3600,3600,3600,3600,195.75590777397156
16118.447318315506,200.97252249717712,54.50470042228699,1.8461377620697021,5.580693244934082,5.379856586456299,1396.3217270374298,1.7213451862335205,3600,3600,3600,3600,52.12033557891846
18593.988189697266,362.627304315567,84.33711051940918,1.901824951171875,5.598672151565552,5.461196422576904,3600,1.7919692993164062,3600,3600,3600,3600,132.2701120376587
18982.77873802185,311.48635745048523,459.0475594997406,1.8764567375183105,5.5571372509002686,5.552392244338989,3600,1.8034920692443848,3600,3600,3600,3600,197.4553427696228
25579.197380065918,364.4122495651245,3600,1.8634943962097168,5.554491758346558,5.4744651317596436,3600,1.892679214477539,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
28815.219594955444,3600,3600,1.948014497756958,5.714398384094238,5.740245580673218,3600,1.8169364929199219,3600,3600,3600,3600,3600
43200,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
28815.0520465374,3600,3600,1.934664011001587,5.677947998046875,5.60930061340332,3600,1.8301339149475098,3600,3600,3600,3600,3600
28815.389999866486,3600,3600,1.960827112197876,5.78446364402771,5.765691041946411,3600,1.8790180683135986,3600,3600,3600,3600,3600
28814.909123182297,3600,3600,1.9292116165161133,5.610728740692139,5.565719127655029,3600,1.8034636974334717,3600,3600,3600,3600,3600
26734.955411195755,1519.7398941516876,3600,1.936161994934082,5.754581928253174,5.671335935592651,3600,1.8534371852874756,3600,3600,3600,3600,3600
26355.60028195381,1140.36687874794,3600,1.952784538269043,5.783345699310303,5.63307523727417,3600,1.8641977310180664,3600,3600,3600,3600,3600
15887.749581098557,683.0929322242737,80.84366989135742,1.8401341438293457,5.451730728149414,5.535846471786499,357.2561528682709,1.7559268474578857,3600,3600,3600,3600,351.9731879234314
29194.103640317917,304.86136269569397,31.146620512008667,3600,3600,3600,28.63382363319397,3600,3600,3600,3600,3600,29.461833477020264
20425.207109451294,385.6359694004059,912.7290945053101,1.9791896343231201,5.429647207260132,5.366965055465698,3600,1.9731011390686035,3600,3600,3600,3600,1112.0931425094604
20292.60824584961,603.6132724285126,3600,1.864351749420166,5.452085494995117,5.325777769088745,1415.236575603485,1.7491953372955322,3600,3600,3600,3600,259.36698746681213
19605.855274438858,327.6182074546814,384.9231164455414,1.8853979110717773,5.4870617389678955,5.354043960571289,878.8482577800751,1.7391891479492188,3600,3600,3600,3600,3600
19021.31730222702,863.4487855434418,105.18597841262817,1.8947441577911377,5.331130266189575,5.190918207168579,3600,1.7670185565948486,3600,3600,3600,3600,38.49872708320618
17406.552273750305,483.6670801639557,777.5576264858246,2.976737260818481,7.799168109893799,7.431288719177246,591.8018724918365,2.936853408813477,3600.0,3600.0,3600.0,3600.0,1132.3816471099854
