Score,1427381a809c64c721838894ece6756d,34fa0922e66aee3b6f6ffe1760f459d4,d1f4348ad66cae01386777daae51c024,01dd5feb463fa80f73809718f6ff735b,2ef023ae6c46e4415734f9349a36d678,a552a058e6376a36b1f1b2724f228364,008e7716c69009090ff6bd0048dc55f8,dcf5b8224d1e0748871c83ee10067255,907e7dc703e16ad2c7e56a33fe3b3e5f,727cd7c528ac106f134cc882c9202108
30561.516307115555,5.032560586929321,1756.4837465286255,3600,3600,3600,3600,3600,3600,3600,3600
32412.15593600273,12.155936002731323,3600,3600,3600,3600,3600,3600,3600,3600,3600
28319.552728176117,5.9235680103302,1708.3821568489075,3600,3600,1405.2470033168793,3600,3600,3600,3600,3600
33284.146705150604,884.1467051506042,3600,3600,3600,3600,3600,3600,3600,3600,3600
32422.735784053802,22.73578405380249,3600,3600,3600,3600,3600,3600,3600,3600,3600
36000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
16210.562866210938,20.42032551765442,1030.569401025772,3600,531.3338327407837,189.97069764137268,1731.0475659370422,638.5917418003082,3600,1268.6293015480042,3600
36000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
31364.002003908157,3600,1062.2532153129578,3600,3600,3600,3600,3600,3600,1501.7487885951996,3600
32403.082428216934,3.082428216934204,3600,3600,3600,3600,3600,3600,3600,3600,3600
36000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
28179.785799503326,226.3822410106659,3600,3600,3600,1015.6677117347717,3600,1737.7358467578888,3600,3600,3600
30231.903158903122,3600,754.6391360759735,3600,3600,3600,3600,3600,3600,677.2640228271484,3600
27734.779039144516,370.7330105304718,1320.285153388977,3600,3600,843.7608752250671,3600,3600,3600,3600,3600
36000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
36000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
19328.031198978424,2.501950979232788,299.36493730545044,3600,3600,3600,665.9683423042297,97.06813144683838,3600,263.12783694267273,3600
29994.287561178207,2.1072137355804443,3600,3600,3600,3600,3600,3600,3600,1192.180347442627,3600
22953.107036828995,2.1967132091522217,579.5660126209259,3600,3600,3600,3600,352.53727555274963,3600,418.807035446167,3600
13899.124683618546,15.881626844406128,245.07479810714722,3600,1423.9201519489288,427.9806399345398,368.80452036857605,467.3031599521637,3600,150.1597864627838,3600
12618.919187307358,2.8463048934936523,150.80199217796326,3600,420.6421232223511,314.19487166404724,310.48963618278503,498.6539161205292,3600,121.29034304618835,3600
13783.92175912857,15.39003038406372,388.96206760406494,3600,912.3740797042847,532.4021253585815,424.2355544567108,484.52843832969666,3600,226.0294632911682,3600
15698.61499786377,2.8891704082489014,127.94601559638977,3600,452.46236753463745,275.8309533596039,303.13765716552734,3600,3600,136.34883379936218,3600
14417.627206802368,3.968557357788086,363.3341541290283,3600,1484.7130286693573,537.5501973628998,360.04796385765076,671.8429245948792,3600,196.17038083076477,3600
12572.577246189117,3.202066421508789,158.89184188842773,3600,514.1071050167084,409.1867105960846,298.4237627983093,260.89539074897766,3600,127.87036871910095,3600
13648.730718374252,16.08651041984558,282.1510043144226,3600,1127.5046632289886,460.0305209159851,353.6226511001587,409.78005957603455,3600,199.55530881881714,3600
36000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
34107.55889034271,3600,3600,3600,1707.5588903427124,3600,3600,3600,3600,3600,3600
32441.791904211044,41.79190421104431,3600,3600,3600,3600,3600,3600,3600,3600,3600
29489.083599567413,3600,300.0242063999176,3600,3600,3600,3600,3600,3600,389.0593931674957,3600
29497.785228013992,3600,302.2233350276947,3600,3600,3600,3600,3600,3600,395.5618929862976,3600
26682.5129506588,406.63467240333557,585.7726285457611,3600,3600,3600,3600,3600,3600,490.10564970970154,3600
34117.14672994614,3600,3600,3600,1717.1467299461365,3600,3600,3600,3600,3600,3600
29334.778276205063,3600,247.4148383140564,3600,3600,3600,3600,3600,3600,287.36343789100647,3600
16677.241137981415,4.195574760437012,151.94215774536133,3600,774.2112958431244,609.0076222419739,604.5198390483856,3600,3600,133.36464834213257,3600
13968.253456354141,9.858402729034424,265.2756857872009,3600,1368.645229101181,419.58454298973083,559.0643017292023,335.8507707118988,3600,209.97452330589294,3600
32402.374977111816,2.3749771118164062,3600,3600,3600,3600,3600,3600,3600,3600,3600
12398.536940574646,3.136889696121216,172.5118932723999,3600,474.0225145816803,308.63593769073486,316.27825379371643,179.34685802459717,3600,144.60459351539612,3600
16372.364770174026,2.9574904441833496,161.3320505619049,3600,548.6706585884094,532.8133115768433,589.2955560684204,3600,3600,137.29570293426514,3600
13959.462975502014,2.6897144317626953,134.05707216262817,3600,565.2454085350037,414.8970272541046,819.7729096412659,1084.6957907676697,3600,138.10505270957947,3600
12595.632629871368,34.31044363975525,432.2282497882843,3600.0,427.7122089862824,231.837464094162,302.9209566116333,53.86044931411743,3600.0,312.7628574371338,3600.0
