Score,50019e4419d48196bb4b95933a8b5030,b8c7c777e76995e5bf7b517f2db234ba,0d81711a3d73c828e8c6e12607eda82d,de7a6b03999e2bc5bd750831c2662a4d,c73edc350cfa8e07af58db50054aea45,05c8e94aaee86390eaf6e68dd3ec3570,47e1ada0070708c2953d322c06aea00d,52aaf653a79ca14fa1127cda32aa94ce,0a27eb7c16c1e69ff4d087d217ac89cb,994783ef4ed3a0366842e1b6f9128a6f,634a271f5fe339007a186539d615e92f
15588.516392469406,37.301175355911255,73.637775182724,75.64177250862122,206.75701451301575,401.2743031978607,1154.8971002101898,1247.3815262317657,1591.6257252693176,3600,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
25421.61732363701,63.31566762924194,27.218526363372803,1141.4113764762878,1271.0735664367676,3600,3600,3600,3600,3600,1318.5981867313385,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
26782.64989423752,3600,192.31541180610657,110.84587168693542,3600,3600,177.28527164459229,1102.203339099884,3600,3600,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
22045.62805891037,3600,51.2840211391449,137.07012939453125,3600,1007.1236000061035,428.05559039115906,978.0758347511292,3600,3600,1444.018883228302,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
10789.640544891357,424.5715148448944,37.71071910858154,125.37826180458069,200.0126292705536,731.0652232170105,1381.407974243164,535.2876579761505,3600,512.7828741073608,1556.144957780838,1685.2787325382233
36766.45424079895,3600,3600,766.4542407989502,3600,3600,3600,3600,3600,3600,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
33699.37529015541,3600,3600,1076.1706626415253,223.2046275138855,3600,3600,3600,3600,3600,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
20866.559684991837,379.84220910072327,58.69369029998779,63.893452644348145,114.87695002555847,928.2060251235962,3600,1321.0473577976227,3600,3600,3600,3600
18295.31823539734,281.7942156791687,68.65821814537048,67.81441593170166,3600,112.95361661911011,672.5016505718231,894.4040679931641,3600,1797.1920504570007,3600,3600
22313.358330965042,3600,179.98865604400635,61.581191062927246,3600,3600,3600,181.00005459785461,181.77570033073425,3600,109.01272892951965,3600
