Score,72c0d81e16d91bcaed808efcde2e5069,eed5189b73738270ae3fdb8b33bf31c8,d40a68825bdbcdd7642b249325a7b6a2,461df1a7056560279d532bc2743022b6,77b7f7bbf75faaee28f473b9941de103,12b4a08e412a3bffb513ca65639c7c69,773f3bd29e202ff700d8b5b459857a2c,30f0db845937bbda3ffde60e5ed4cb3f,ef16970ab9da31165d3c401ff9b29168,b3167d999edd81291f33636464f2f8e6,e7248b57a310ad461924eb17956cdf3a
2865.465042114258,90.8790807723999,91.78671407699585,92.54972887039185,93.63967323303223,98.11439275741577,168.08976674079895,169.53208541870117,452.6810975074768,455.47235894203186,464.58832716941833,688.1318166255951
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
2329.938944578171,53.17816615104675,188.1048104763031,85.63532400131226,347.9426884651184,197.9420130252838,80.24282240867615,53.76515221595764,196.1063232421875,289.3925898075104,633.0550765991211,204.5739781856537
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
3910.9236118793488,57.18783640861511,149.50880098342896,140.75649213790894,475.51001024246216,136.09317779541016,272.1071267127991,201.99457669258118,278.20009779930115,158.76974749565125,495.88067746162415,1544.9150681495667
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
3426.247223377228,73.0958354473114,162.01019620895386,271.8283133506775,269.18165731430054,154.07364130020142,74.42258262634277,149.08120012283325,639.4923300743103,184.34217810630798,743.1579167842865,705.5613720417023
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
39600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
3319.4629034996033,51.609811544418335,68.56959056854248,54.61028742790222,328.9073827266693,172.6771469116211,169.43927431106567,166.35195517539978,475.75784063339233,758.5709488391876,535.7446932792664,537.2239720821381
2074.5485606193542,35.57196497917175,130.33160948753357,172.97712898254395,227.26350116729736,131.04814314842224,48.7284517288208,229.16645622253418,502.09620904922485,135.75319409370422,129.22896695137024,332.3829348087311
2610.3781735897064,74.19355988502502,77.1664206981659,79.69432306289673,168.70740914344788,324.0487027168274,73.73550868034363,47.590567111968994,281.31310057640076,424.78680634498596,480.8482942581177,578.2934811115265
2027.3865604400635,147.1040198802948,151.43880319595337,88.69704246520996,179.56652331352234,66.19990086555481,120.46114015579224,73.60767531394958,169.40346479415894,168.37615609169006,322.80073404312134,539.731100320816
1401.0352175235748,50.30328869819641,104.6778359413147,50.325424671173096,154.61132979393005,108.50634431838989,49.697556257247925,152.33572912216187,204.17337822914124,191.1689910888672,260.05251717567444,75.18282222747803
