Score,7083b70c1976162e2693d7a493717ffd,c76f3c6c2e2eae85fc5f3d499f3db88d,59825ed96dc3bbdbd8789a4870b323ec,2115182958f6cfb5a172a24f989b86dd,6f0e236c999de0a5e3c46fd3463b1d0d,a7a9ca7e06b6b1e979950ea96183d07d,1b3c7ac17705be94daaddb5f5ae4816b,d60f56735dc8e89d7d91a01f4340df0c
25213.568626880646,13.568626880645752,3600,3600,3600,3600,3600,3600,3600
28800,3600,3600,3600,3600,3600,3600,3600,3600
18375.640699386597,59.747735261917114,239.9510519504547,75.94191217422485,3600,3600,3600,3600,3600
28800,3600,3600,3600,3600,3600,3600,3600,3600
21763.54887700081,44.01052236557007,119.53835463523865,3600,3600,3600,3600,3600,3600
28800,3600,3600,3600,3600,3600,3600,3600,3600
25948.685704231262,3600,748.6857042312622,3600,3600,3600,3600,3600,3600
25262.007301568985,62.007301568984985,3600,3600,3600,3600,3600,3600,3600
17906.52977538109,106.98752331733704,176.78655672073364,3600,3600,1754.1262583732605,3600,1468.629436969757,3600
25304.03445458412,104.0344545841217,3600,3600,3600,3600,3600,3600,3600
18561.764380693436,3.713871717453003,173.41961860656738,384.6308903694153,3600,3600,3600,3600,3600
26936.00081729889,3600,1736.0008172988892,3600,3600,3600,3600,3600,3600
18681.896787166595,89.65088963508606,228.86979222297668,363.3761053085327,3600,3600,3600,3600,3600
21899.139722824097,80.12778377532959,219.0119390487671,3600,3600,3600,3600,3600,3600
18940.449634075165,112.93888545036316,137.09109210968018,3600,690.4196565151215,3600,3600,3600,3600
23078.255690813065,3600,142.54235124588013,3600,3600,1335.7133395671844,3600,3600,3600
20026.92674636841,84.9713671207428,185.1689465045929,3600,1756.7864327430725,3600,3600,3600,3600
17788.567851543427,150.73055911064148,164.58669090270996,3600,1416.5112805366516,1656.7393209934235,3600,3600,3600
9910.069949388504,1105.590675830841,183.518887758255,3600,345.090701341629,1128.2411675453186,497.5315330028534,1393.8638846874237,1656.2330992221832
23558.660246133804,3600,163.1322841644287,3600,1795.5279619693756,3600,3600,3600,3600
17713.958545923233,3600,182.79160380363464,3600,3600,1793.0574584007263,887.9780476093292,3600,450.13143610954285
19870.61368703842,3600,302.53389859199524,3600,707.3475654125214,860.732223033905,3600,3600,3600
17070.53924369812,41.90710926055908,631.6982018947601,3600,1198.1837799549103,798.7501525878906,3600,3600,3600
16862.072020053864,3600,202.8415961265564,3600,594.5493745803833,526.9691889286041,1137.7118604183197,3600,3600
25794.75802397728,3600,594.7580239772797,3600,3600,3600,3600,3600,3600
17571.412311077118,3600,256.5140836238861,3600,748.4301788806915,1383.4600536823273,783.007994890213,3600,3600
18231.957112550735,131.7824592590332,1740.2177889347076,3600,1297.1066126823425,662.8502516746521,3600,3600,3600
28800,3600,3600,3600,3600,3600,3600,3600,3600
26521.635724782944,3600,1321.6357247829437,3600,3600,3600,3600,3600,3600
18447.370005846024,1230.543011188507,772.3927822113037,3600,927.7687237262726,3600,3600,3600,1116.6654887199402
16412.602915525436,3600,724.4817395210266,3600,665.3469197750092,1118.9632687568665,1557.778110742569,3600,1546.0328767299652
25363.105513572693,3600,163.10551357269287,3600,3600,3600,3600,3600,3600
22771.971918821335,3600,296.7592816352844,3600,3600,875.2126371860504,3600,3600,3600
25662.985022306442,3600,462.98502230644226,3600,3600,3600,3600,3600,3600
22931.490531682968,3600,304.3332121372223,3600,3600,1027.1573195457458,3600,3600,3600
19900.426663398743,3600,298.2900171279907,3600,687.4983458518982,914.6383004188538,3600,3600,3600
28800,3600,3600,3600,3600,3600,3600,3600,3600
15018.50191617012,3600,142.98889017105103,3600,574.7427484989166,1293.1052114963531,732.5662021636963,3600,1475.0988638401031
25225.22026205063,25.220262050628662,3600,3600,3600,3600,3600,3600,3600
18512.81302547455,3600,110.45977735519409,3600,3600,1155.759136915207,3600,1467.8929269313812,1378.701184272766
16750.247279405594,3600,423.4009699821472,3600,3600,466.0158553123474,3600,1060.5604169368744,400.27003717422485
18632.263907194138,3600,109.70954990386963,3600,3600,1198.0380563735962,3600,1553.6438581943512,1370.8724427223206
25647.746799468994,3600,447.74679946899414,3600,3600,3600,3600,3600,3600
23682.81235551834,3600,1031.3890976905823,3600,3600,3600,3600,3600,1051.4232578277588
28800,3600,3600,3600,3600,3600,3600,3600,3600
11906.949740171432,1428.9344217777252,167.13116908073425,3600,1093.3088285923004,451.64947175979614,3600,1141.4000179767609,424.5258309841156
14591.021330595016,1428.2125663757324,183.01792240142822,3600,3600,809.3526201248169,3600,880.5051326751709,489.93308901786804
14791.666598320007,1429.5482988357544,275.6941587924957,3600,3600,711.8534064292908,3600,1054.0499866008759,520.5207476615906
14223.083681821823,1426.2675020694733,276.50382828712463,3600,3600,377.00243163108826,3600,932.7463703155518,410.5635495185852
11880.110175132751,3600,157.91951894760132,3600,751.1377441883087,351.49644207954407,1502.1471784114838,1466.4317922592163,450.9774992465973
14385.647022008896,14.32438039779663,22.17255687713623,3600.0,1622.5848920345306,919.9047622680664,3600.0,3600.0,1006.660430431366
