Score,f296fe701a562022c0de0cf565fbca7d,475803537529d9d14a034957f48a6d38,19e2c3a0865c8c1b4543d11213bebe5f,c3e53c353f30d9e2eb54ed93d6ce4f02,57f4ea7ab160d996e38e69fac59869c4,edceb8782e72e290fa54757dbfdd0173,8b18bb75459a4161633ba2a3c8ee183e,eddd68e14d69cce7190b99f4e7abdafb,9d9c4fa425282759eb9e98b82fb5f56e,bbfed8974655bca520259deb10d2347b,14e4cfcf0d83b2185fad41684d00d4dc,a45a0358685867bd4f1c7f7c0b0e379c,ded23680dfeab2879c05bc0e4de21126,915a25bd189357e4c6d7771b69a6849f,3a75ad246dbc750a7391ad887c5b0835,e08f11f0a3bd266ee5c78ce332de107f,f376d4c191518ed704326960b6b19a4b,c6568fc8805127e876c4c23551bf49fa,b44ea915362c3a140269003d45b1d053,f45e5faf1bcccbdd3065dd6367c3bd16,697c96ac45534726c7dbd96faa11a86a,5865fb9a6575d2ae6542c36ab96646a9,af05a6b68a1cff165b684d9ff0ae3b3b,c0e6e6eeebd48ca600cfc7d662fa804c,54c2da6d387a6f5ad6e014ae4d4decfc,0265448c232e3a25aa5bcd29b1b14567,aa9b67fd19d54ad51b93ee4ba5dc75fc,195852083a05edee1902233698eec14a,5e1c11b77cdf3717b81b957120f0f477,df1bd67978b9b0ec1d326ba174bc273c,09b61bbf19748094a7d896aac314ab36,1507d9812624b3e0eaf15e40100be020
23539.125056743622,47.34755039215088,72.85688209533691,75.18357229232788,79.5451979637146,85.78138566017151,88.34773349761963,93.40425109863281,106.22109532356262,125.60057330131531,134.25571084022522,136.12892174720764,162.2014720439911,162.29121565818787,214.57540941238403,221.01753973960876,299.17400598526,344.15293192863464,359.2650351524353,397.01945638656616,412.71528148651123,459.35582423210144,482.14305114746094,513.4682612419128,548.9499616622925,601.6241335868835,775.1816272735596,829.7530539035797,1311.5639216899872,3600,3600,3600,3600
96890.30161738396,240.06571507453918,706.5923092365265,1401.4125835895538,827.3867461681366,3600,3600,3600,20.152782440185547,3600,94.69148087501526,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
20070.1542031765,60.50901746749878,138.6914176940918,79.56009244918823,175.34943914413452,113.68404912948608,148.24429368972778,377.08045411109924,376.86264419555664,685.7523953914642,182.6698763370514,782.7298219203949,198.90499687194824,173.5273518562317,262.30192518234253,303.4240210056305,520.9547970294952,566.1447649002075,583.9646003246307,108.60829949378967,600.0906581878662,3600,220.0285358428955,482.01153445243835,776.3921449184418,708.5665187835693,764.9208374023438,1742.4211373329163,178.53920221328735,499.0472342967987,3600,685.2465977668762,373.9255437850952
85297.367613554,288.607533454895,731.4182596206665,1130.290138244629,922.5245320796967,624.7103848457336,427.6027412414551,3600,350.824565410614,3600,1099.7499623298645,3600,3600,3600,3600,3600,3600,3600,3600,149.9906449317932,3600,3600,3600,3600,3600,371.6488513946533,3600,3600,3600,3600,3600,3600,3600
11930.263499498367,19.887064456939697,57.43304371833801,39.28050661087036,44.673269748687744,43.071539878845215,52.236236810684204,616.4781577587128,1.201223373413086,261.0555865764618,20.616453886032104,757.1490178108215,63.06909799575806,50.967047691345215,97.49823951721191,318.3158106803894,171.66886043548584,149.489511013031,114.56994891166687,586.9035856723785,156.12771701812744,364.2274475097656,433.787162065506,1613.890319108963,180.13582825660706,87.75213408470154,279.4951033592224,333.17295598983765,246.57750391960144,86.28844714164734,3600,532.0998241901398,551.1448543071747
98738.78888320923,255.55225729942322,742.0373821258545,1396.004245042801,748.3338525295258,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,1235.2279965877533,3600,3600,3600,3600,3600,3600,3600,3600,3600,761.6331496238708,3600,3600,3600,3600,3600,3600,3600
27191.24096107483,55.085843086242676,80.75099015235901,100.34182929992676,82.17981624603271,91.19899559020996,112.71694779396057,223.96435046195984,574.4764323234558,3600,112.56779861450195,3600,110.32562136650085,147.19801926612854,184.8509042263031,107.59341764450073,551.9900877475739,463.19888615608215,495.84567403793335,365.8972837924957,413.27293705940247,843.3638751506805,771.0571596622467,383.2176048755646,373.9316098690033,56.90700697898865,702.102162361145,656.0649135112762,378.78880524635315,752.3519885540009,3600,3600,3600
81055.10034441948,101.94116497039795,1023.810320854187,1331.7821323871613,707.6845982074738,497.414541721344,539.106597661972,1015.1728208065033,3600,240.57801342010498,544.5181694030762,3600,3600,3600,1649.940937280655,574.53613114357,3600,3600,3600,3600,3600,3600,3600,828.6149165630341,3600,3600,3600,3600,3600,3600,3600,3600,3600
16455.97367954254,39.48430013656616,89.99712657928467,80.61508870124817,125.66661381721497,84.98928475379944,126.19545269012451,71.88152241706848,150.25434803962708,310.4075086116791,54.63314414024353,343.2062711715698,6.732390403747559,97.10667824745178,194.7114133834839,301.49191784858704,449.4724004268646,451.23439359664917,384.40974736213684,452.6135833263397,426.260617017746,101.76201462745667,5.238092660903931,1233.7381563186646,584.8765137195587,305.0932056903839,844.7779321670532,1261.9725441932678,56.105639934539795,3600,310.7223391532898,3600,310.3234384059906
94766.91610479355,283.5702247619629,964.5420970916748,1481.8181233406067,1447.2129154205322,629.173476934433,1719.783805847168,3600,3600,3600,325.59047961235046,3600,3600,3600,1515.2249817848206,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
8094.23921084404,18.811187982559204,29.682207584381104,29.490119218826294,34.01232314109802,29.544182538986206,35.27869439125061,65.46253371238708,93.24021649360657,3600,26.588019132614136,330.5345849990845,70.8514358997345,38.620407819747925,60.160276651382446,17.967334747314453,98.16301679611206,106.29543781280518,84.93533897399902,94.77158784866333,92.5887439250946,222.23912382125854,425.2483377456665,577.3567128181458,123.87441778182983,2.0661590099334717,172.501305103302,203.44298934936523,356.0185613632202,72.90283441543579,280.76002764701843,110.97774720191956,589.8533449172974
96783.65915942192,218.385484457016,663.1956579685211,1215.7558734416962,692.3543593883514,3600,3600,3600,140.02507281303406,3600,253.942711353302,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
7466.304336547852,15.894836187362671,29.295862674713135,28.851850271224976,34.86707425117493,24.748778343200684,26.461548328399658,100.47187066078186,43.67947244644165,83.55996894836426,15.433651208877563,136.28680634498596,13.002009391784668,29.899277925491333,52.25359296798706,43.96953058242798,90.47658348083496,115.18925142288208,70.05873680114746,132.45803046226501,82.71783351898193,182.93690061569214,286.6203992366791,17.731059551239014,118.50478029251099,24.17636728286743,197.06963729858398,158.73199915885925,5.3443498611450195,289.9435098171234,3600,767.6575148105621,648.0112524032593
12228.153099298477,16.90056300163269,36.48429083824158,31.067172288894653,44.51010608673096,43.21694254875183,52.831303358078,678.1135625839233,77.38536739349365,603.414587020874,40.33580446243286,528.4671673774719,53.902883529663086,66.29248404502869,93.42140889167786,22.32182788848877,170.25350189208984,158.51734375953674,177.50157260894775,92.70266151428223,182.3248209953308,274.64753437042236,263.0176157951355,583.6764028072357,235.32056617736816,19.582643270492554,300.5005009174347,276.32444953918457,391.5491461753845,1230.0300903320312,3600,615.2779319286346,1268.260845899582
5311.342855453491,15.722230672836304,33.67446208000183,27.854915380477905,27.613114595413208,32.12230658531189,32.39074635505676,120.43653559684753,86.65627360343933,590.8454642295837,37.32905459403992,14.811447620391846,34.61657905578613,36.46923828125,53.132967472076416,50.16784906387329,114.73929762840271,87.68611097335815,85.84497666358948,190.61202788352966,90.6001136302948,174.8084897994995,201.39176845550537,421.8489100933075,127.39691042900085,63.350735902786255,185.87129735946655,197.92121577262878,110.84383511543274,31.661712884902954,19.995643138885498,479.57735300064087,1533.3492715358734
5891.625403404236,14.060630083084106,30.723726749420166,22.995813369750977,28.301491498947144,25.252349376678467,30.568649291992188,237.8547968864441,46.687893867492676,548.1403427124023,19.145819664001465,363.0738356113434,65.65497136116028,36.93304514884949,43.66913342475891,68.83231449127197,98.72580552101135,94.2222695350647,79.11336421966553,205.39677810668945,79.26391983032227,183.25559067726135,202.5675241947174,146.49492764472961,108.98399376869202,112.82045459747314,175.80133318901062,155.46312952041626,213.58284759521484,326.5106303691864,806.9792954921722,964.9975085258484,355.5512170791626
4883.717388629913,19.825950860977173,36.05141091346741,33.26449227333069,32.07303762435913,33.40319299697876,39.093716859817505,63.7104856967926,28.04978632926941,383.3779835700989,23.66358995437622,201.51148676872253,52.61213946342468,43.6657829284668,71.48886251449585,60.58007836341858,173.44762754440308,134.18960189819336,119.5173134803772,50.54097843170166,127.98830246925354,213.1550168991089,341.24133706092834,6.960310220718384,215.04202938079834,9.798730850219727,207.15939784049988,299.5272362232208,309.1513557434082,52.036110639572144,161.8551790714264,993.3525738716125,346.3822898864746
16514.99941420555,48.86300230026245,100.05083394050598,62.76299214363098,91.0212824344635,77.82883286476135,101.10700917243958,261.54146432876587,28.51106882095337,54.652427196502686,116.51885938644409,1314.189218044281,169.11537647247314,145.30898261070251,199.40501499176025,21.361843824386597,466.34459376335144,280.36319851875305,406.42375326156616,348.1074845790863,392.00526762008667,25.58243489265442,634.109587430954,503.07233572006226,481.9977614879608,204.77623534202576,755.9859442710876,849.5054523944855,651.9643433094025,110.49052906036377,3600,412.03228402137756,3600
16070.001351594925,20.29886484146118,41.4423189163208,34.880167961120605,38.57265019416809,38.421249866485596,52.5378520488739,263.8816487789154,31.097285747528076,1006.4680626392365,48.142069578170776,1455.1871967315674,69.7011969089508,46.55477237701416,77.66461062431335,104.50867986679077,184.79394507408142,153.53340578079224,177.9703974723816,344.89230394363403,154.48617506027222,84.60234808921814,534.7456130981445,3600,296.9273295402527,45.24795055389404,207.1354377269745,297.47915530204773,347.4366068840027,377.79627561569214,1795.1010615825653,538.4947187900543,3600
18351.844983816147,37.705878019332886,88.14390993118286,56.79837727546692,72.76676893234253,60.56986093521118,125.02915239334106,502.98709774017334,180.07631921768188,1248.47900390625,61.29605960845947,3600,41.72698354721069,85.9036283493042,125.02839231491089,466.9227271080017,295.82392621040344,276.8619062900543,225.68425464630127,86.80025553703308,444.257488489151,12.724092721939087,3600,294.0324993133545,479.91289472579956,324.6386148929596,469.89012122154236,489.4100046157837,168.03813123703003,378.1518888473511,144.63359928131104,3600,307.5511465072632
29563.573506832123,53.51617479324341,210.6738498210907,93.8511323928833,191.5653030872345,172.91716051101685,150.6874737739563,357.4267556667328,23.528717279434204,1153.4086420536041,111.29031133651733,3600,4.953497648239136,215.73672246932983,378.1638677120209,10.10720682144165,676.5058100223541,780.3940351009369,864.5078256130219,355.5829179286957,428.8694143295288,993.7239606380463,3600,3600,791.9129824638367,627.7099506855011,1264.5061538219452,1228.0642845630646,3600,243.02396988868713,178.85363054275513,3600,2.0917558670043945
7628.693821668625,13.927872657775879,29.543209314346313,23.755007028579712,27.365009784698486,24.728590488433838,34.77662920951843,268.8489091396332,65.70543217658997,1689.4442162513733,1.5567550659179688,1381.9088594913483,81.32096338272095,36.89539051055908,47.47342872619629,156.4460871219635,116.2340657711029,125.2150604724884,93.03323674201965,74.27259230613708,118.23556613922119,346.82830333709717,111.21742224693298,12.674240827560425,131.03212690353394,114.47116136550903,149.96971702575684,190.10606598854065,141.0842387676239,352.7264976501465,1585.0095617771149,39.255656242370605,43.6319477558136
8972.762158155441,15.064826488494873,28.539357662200928,23.065825939178467,30.99498724937439,27.283214330673218,37.12107300758362,172.010897397995,52.82847857475281,1012.2941799163818,4.13054084777832,205.7286455631256,25.704055070877075,38.331554889678955,40.792073011398315,41.54838037490845,132.82320404052734,94.49533653259277,87.59757995605469,43.160874366760254,104.90574145317078,298.4852342605591,202.9512836933136,1011.7021234035492,133.64229941368103,74.49229121208191,148.35348796844482,202.51013922691345,67.19153499603271,662.1367771625519,3600,4.8584020137786865,348.0177581310272
12610.8482503891,18.914432048797607,40.96079611778259,32.957706451416016,36.073028326034546,32.15045142173767,42.681251764297485,125.05297613143921,24.332587957382202,1214.2483894824982,29.64844799041748,105.56137371063232,42.62797522544861,45.393375873565674,60.77017903327942,88.19906663894653,126.31872081756592,156.52407336235046,136.29627752304077,110.0315797328949,119.40291237831116,356.7970197200775,41.081125259399414,3600,210.02510499954224,149.26533961296082,222.29510140419006,230.33742332458496,496.1089527606964,238.1353166103363,3600,635.2905051708221,243.3667595386505
