Score,945d67baeb7860df648ab6ef4782d5ed,3ff114cc7bee4f39fa56a0325e605c2d,9811b95bfd5888014d27e6dd384ff502,bd19da88800086971e554e9d66bc641d,05ed64e4e6229f446082752936768489,2eb039a5aa6bfb6e41d3afd41071ca55,a58b8a5eb61d3110d9fa36a03de588d2,5cb1ca8fe8a9d9125ea9accd498445f1,db4a0d4ba26c46d66ad6cdcb0645a4d9,7b9d8b9b31b530effd634f5a8f1f4411,e84b00b1f134e0e071a2baf54cfc90e8,55199d55fa9c3751a525d6c0a0e649bd,7b4622a3ab523264378a560199de47ed,67b4844c4bfbaf961cbbd79b953aa5c2,aa4a861240c0c39b5aa44602133ae5e1,4d7f6efbae05b66ffbbd509a430d57f8,40737c2f46512069d54b0d2bb3b47a20,9c7043290cee8127c3626d8067759267,8b31606e10656ff7eb2936262b647443,ea827f81bd0e9735739adc0d9da1b446,f15ad4206d95a3f8f1358b33301539be,ae7e391be73431e5dddf2bbafe95758a,1f6cf91464c6a19022144774b162a3cc,d7f2e4ec8e631387c928c79e1054c663,953e9ff735bdf5ada27b0ab2b908b6af,d3daba681653ea969bedf0c4a2fdb947,4611cd26b441b8c5866e4a2c5a7952dc,8270ae50e6f2881136868db6d3a88eee,2a4680a801ad32ab8768030250daf0c8,8db36208fc6ce43b4002cf048c549b3f,b86f2425cafeb1239d65bd529e372e02,d5f6b2092795aad67d1df1fd3a329552
39520.50302839279,79.04729223251343,161.1248013973236,196.68061590194702,200.80497288703918,202.24724555015564,258.62015748023987,262.12328243255615,356.5036430358887,402.0768187046051,403.14829540252686,432.2532832622528,515.2022294998169,521.508510351181,637.4490020275116,760.7440655231476,794.3233187198639,879.0023815631866,926.6039478778839,941.0933382511139,1037.6676979064941,1085.3999688625336,1133.9854202270508,1220.3028819561005,1475.9084341526031,1478.0750362873077,1558.6063868999481,3600,3600,3600,3600,3600,3600
109362.86665225029,3600,3600,3600,3600,3600,328.09052324295044,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,1034.7761290073395,3600,3600,3600,3600,3600,3600,3600,3600,3600
35974.64142370224,27.130761861801147,279.00978446006775,380.0070466995239,327.13948583602905,331.42520451545715,305.99690222740173,271.1337802410126,483.65893840789795,507.2212584018707,406.59447026252747,292.11701560020447,748.5892562866211,336.9890031814575,958.4617218971252,770.4105625152588,614.196320772171,328.1027178764343,893.0907001495361,28.39657235145569,910.040034532547,621.323370218277,687.9204177856445,805.3386654853821,1396.9543135166168,1120.5551006793976,542.8380179405212,3600,3600,3600,3600,3600,3600
109416.96387934685,3600,3600,3600,3600,3600,1001.3001356124878,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,415.66374373435974,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
57427.84743690491,22.665122509002686,168.87588262557983,192.16738891601562,230.3983883857727,239.7572705745697,693.9709687232971,409.0159041881561,399.7525336742401,254.78735303878784,763.6448421478271,905.5955238342285,407.70506834983826,833.2263164520264,587.9916994571686,856.8967087268829,741.5908541679382,3600,1760.1294145584106,8.169745445251465,3600,3600,1151.5064511299133,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
107452.00666189194,3600,3600,3600,3600,3600,401.8213384151459,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,1304.3445522785187,3600,3600,3600,1345.8407711982727,3600,3600,3600,3600,3600,3600,3600,3600,3600
35627.045186281204,1122.138382434845,277.3686065673828,262.21174144744873,302.9092173576355,274.30174231529236,250.99327182769775,230.890784740448,373.8882260322571,462.99253964424133,290.8968632221222,308.38076972961426,748.7106604576111,389.7206494808197,714.3397860527039,780.8010294437408,583.159660577774,291.81358671188354,764.987494468689,245.99859261512756,734.4893951416016,648.8849396705627,537.2831869125366,664.9797043800354,1302.7257463932037,969.7699041366577,492.40870451927185,3600,3600,3600,3600,3600,3600
94610.19691491127,474.7947072982788,735.3535368442535,1055.995242357254,1135.1549520492554,1620.5807936191559,1013.4989705085754,3600,3600,1338.7808291912079,3600,3600,3600,3600,3600,3600,3600,3600,3600,836.0378830432892,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
47270.11800646782,1094.3739829063416,408.69667625427246,503.90865111351013,467.8663022518158,405.2110583782196,361.80581068992615,513.1232886314392,766.3843882083893,539.5522406101227,507.52384209632874,456.8809938430786,1237.1347744464874,458.7361946105957,1393.369098186493,1146.9609200954437,1025.1190469264984,513.233793258667,1273.096020936966,260.3419325351715,1199.7304010391235,934.5501446723938,1296.3508942127228,988.7717685699463,3600,3600,717.395781993866,3600,3600,3600,3600,3600,3600
109511.46077919006,3600,3600,3600,3600,3600,1449.1061043739319,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,62.35467481613159,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
