Score,8d458780fb74c28c01a5fe89990ad521,d7f381cd99ca40ba3324c8cc03a54269,112b0ac22b2a567cd3badfed3a5497fd,a6d7268b35eec18656a85ad91b0413e9,ec84eecb124c63d4757e083dd0e5a9ff,578b5e6a2f0b295168cb6c5420810a72,644fd765d26bd4a380922ccd0f594c58,2dd4b14a8a820e7baa073554ae2c6cb0,6aacae96461cb65176942b6dc88ea470,ff867fd35aa52058382a8b0c21cd1f38,fa5c6d6736a42650656c5bc018413254,b3840e295097a13e6697fff6be813eeb,23c4e178c94c0dff82ea6c87abed7ecc,8704094951693f99fd21403a039c8131,2c3c28f6d939d157e909c57a265fc908,99d134de6323a845a2828596a48bbb1d,fe8b1ef742724947620a419d0180a640,87ec32f70c5e3a279e636f7f62e70a19,1156429862d3c03160406d6d1a786f11,03e9d1abe418a1727bbf2ead77d69d02,964162c1faee2c1e3a4dfa4f9c75c34f,54ab5a53d2fdfcda16ec74768b29f901,41457ee03686b32962c12445524f62a9,eaf2f0803dd2045f1b189ee834ef0c8f,751afd7ddf8f242ed7bd93517ba82149,189e5991b041a89700513106988e720d,d17aa530bbd09452b0f32daf4ab9c8f0,fb5d0254bc4b8d258eb84ea1dbcdda13,cd86fbfd8b7e0d66ec5fe8fe85c014d3
85117.42882633209,92.20219826698303,112.93639874458313,148.8117241859436,185.7983317375183,530.8942561149597,1246.7859172821045,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
90785.21643137932,369.48667764663696,3600,376.0651168823242,3600,6.4338157176971436,3600,3600,3600,3600,3600,3600,3600,3600,33.23082113265991,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72285.39882183075,46.34844923019409,30.20161008834839,31.097436666488647,313.6058886051178,116.14506149291992,838.9166173934937,564.7650580406189,3600,3600,3600,3600,3600,3600,571.0293576717377,3600,3600,717.1121952533722,3600,3600,3600,3600,3600,656.1771473884583,3600,3600,3600,3600,3600,3600
101617.47019076347,3600,3600,3600,817.4701907634735,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
82208.13750839233,180.55630111694336,253.98661065101624,198.44490933418274,730.5480606555939,79.87778091430664,3600,3600,3600,3600,3600,3600,3600,3600,837.9287049770355,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,726.7951407432556,3600,3600
91255.41733121872,562.6120336055756,3600,251.3807291984558,3600,72.37911796569824,3600,3600,3600,3600,3600,3600,3600,3600,369.04545044898987,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
83384.17587542534,67.03283548355103,117.12004613876343,89.26958894729614,841.1078553199768,315.6255078315735,3600,3600,3600,3600,3600,3600,3600,3600,1233.3434071540833,3600,3600,3600,3600,3600,3600,3600,3600,1520.6766345500946,3600,3600,3600,3600,3600,3600
97481.99018645287,3600,3600,3600,62.13310503959656,3600,219.85708141326904,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
59528.39998650551,13.160318613052368,29.437137842178345,33.832091093063354,269.8812928199768,207.50414323806763,845.8492550849915,308.23652243614197,3600,1304.1609268188477,1590.4841656684875,3600,3600,3600,202.96188473701477,1546.03897023201,3600,303.4086320400238,3600,3600,3600,3600,3600,232.6459195613861,3600,1237.9238448143005,3600,1002.8748815059662,3600,3600
98139.82462596893,3600,3600,3600,141.45564365386963,3600,798.3689823150635,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
