Score,04ded94454830d4ea960327e8b91f5a3,d1940d3d830eb16a7d2270ca4af4acba,3184e52e950ac39095a801c418f68d50,1548977b4e27032fe07cda357782cd6a,37a11ae189df2834a3f294736f34608f,1e74212168124b696531fed471b480b1,425c81fc3af7f5124b6282583d80df11,16ca57f2cdffd5b0260fc771017e1f04,4f2d6659b5c9bf594ea12e3e1a85799f,9a06700729bf3426beb8a62040f92960,db15a85651e0d941a11bf8640625edd8,1eea3d913d346b900252d77fc0cb25c8,d11944fbca2dd6540f18bd05b6ccda0c,a5dc6226e4c0bebb06926efe55640995,8ffd718f763ed7a3f691cf46e57f8d98,16c5482d8e658b54e20d59cfd4b1d588,23daec2c71ce3c1e346e6042f3dc42eb,7db30d12cb06f0dc2f30abff80d96d6a,a9cb77454c6cfdf4092fb304d3aae8b7,ab3438b504b296fcee78ec9e71969863
58787.34136581421,118.6443145275116,708.7231080532074,894.9346916675568,1287.2655158042908,1777.7737357616425,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
60382.538244485855,1178.7442803382874,1779.5866787433624,1116.8667051792145,3600,1734.6349697113037,3600,3600,3600,3600,3600,572.7056105136871,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
57989.0916326046,739.2470321655273,237.97374057769775,546.5262291431427,1192.8650832176208,1272.4795475006104,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
60327.03838586807,84.5549807548523,210.12173461914062,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,1008.5008246898651,3600,3600,3600,1423.8608458042145,3600
66903.22336935997,1093.0967605113983,1010.1266088485718,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
60961.6736869812,750.5092680454254,167.45550203323364,1201.5295069217682,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,1242.179409980774,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
57668.45675611496,132.2456464767456,577.7421779632568,580.9646103382111,1089.044723033905,1288.4595983028412,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
66849.38319039345,1023.0069215297699,1026.376268863678,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
66247.80559039116,282.3880834579468,1165.4175069332123,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
65264.07151031494,3600,376.79329538345337,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,87.27821493148804,3600
63435.66389346123,601.3354105949402,194.10689210891724,1440.22159075737,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
63174.37291455269,355.59489703178406,196.5731885433197,1422.2048289775848,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
57857.15495324135,11.180130958557129,840.7327139377594,585.5323989391327,1287.8012022972107,1131.9085071086884,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
66903.84108686447,1035.7596707344055,1068.081416130066,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
54387.01387786865,1648.0686552524567,1465.9156296253204,862.0145545005798,1370.8745918273926,1505.1254577636719,3600,3600,3600,3600,3600,3600,3600,3600,3600,531.2188868522644,3600,3600,3600,203.79610204696655,3600
57161.193994283676,175.70762157440186,64.07011938095093,1572.1960582733154,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,893.3693549633026,3600,3600,3600,455.8508400917053,3600
67381.41099596024,1235.8655135631561,3600,1345.5454823970795,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
56419.15273189545,338.5635459423065,1254.590880870819,950.398604631424,1642.929232597351,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,359.0820755958557,3600,3600,1473.5883922576904,3600
62013.610540390015,1234.042377948761,919.154335975647,913.8099048137665,1346.6039216518402,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
58477.3559589386,496.7295866012573,506.6789710521698,721.4524159431458,1268.6044049263,1483.8905804157257,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
68573.83933568001,173.83933568000793,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
49474.24387192726,43.73987150192261,55.63369655609131,1232.0320410728455,3600,1775.0177524089813,3600,3600,3600,3600,3600,3600,1768.4861743450165,3600,3600,309.0036725997925,758.2670340538025,3600,3600,332.0636293888092,3600
55187.545129060745,365.61821126937866,1203.6641285419464,609.3743624687195,1036.89199924469,1380.3660175800323,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,191.6304099559784,3600,3600,3600,3600
52379.53153800964,96.70835471153259,936.6912124156952,611.2464146614075,1434.462152481079,1073.665475845337,3600,3600,3600,3600,3600,3600,1363.488857269287,3600,3600,3600,3600,3600,3600,63.269070625305176,3600
53859.07994937897,66.24549889564514,84.49116325378418,920.1679096221924,3600,1131.559017419815,3600,3600,3600,3600,3600,3600,3600,3600,3600,795.4971408843994,3600,3600,3600,461.1192193031311,3600
50989.89363002777,150.76391410827637,318.7651607990265,711.9174456596375,1476.4127206802368,977.268755197525,3600,3600,3600,3600,3600,3600,3600,3600,3600,538.8202061653137,3600,3600,3600,15.945427417755127,3600
67662.69651198387,1520.1734066009521,1342.5231053829193,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
54816.63486671448,57.39359164237976,86.29438734054565,1619.935304403305,3600,1257.9329175949097,3600,3600,3600,3600,3600,3600,3600,3600,3600,1150.303403377533,3600,3600,3600,244.77526235580444,3600
57888.89756178856,341.28767132759094,1001.6403350830078,506.61555004119873,1000.4230251312256,1038.930980205536,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
57695.66160440445,296.1803505420685,522.0396118164062,706.1292686462402,1136.6891074180603,1034.6232659816742,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
72000,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
58932.96846199036,45.76525354385376,104.11328506469727,3600,3600,1790.007310628891,3600,3600,3600,3600,3600,3600,3600,3600,3600,1418.7884438037872,3600,3600,3600,1574.2941689491272,3600
69123.18932056427,3600,723.18932056427,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
65859.66181087494,197.77116179466248,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,861.8906490802765,3600
52057.91361665726,367.0009994506836,1794.3853623867035,1302.1723227500916,1392.2734241485596,1359.2021803855896,3600,3600,3600,3600,3600,3600,3600,1059.5915234088898,3600,1213.4581112861633,3600,3600,3600,369.8296928405762,3600
67844.3808298111,3600,3600,1568.772225856781,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,1475.6086039543152,3600
